EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:34:41 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.598834E-06,0.003242151,0.00324047,0.001003902,0.05670296,0.3466907,0.1928011,0.05350914,0.01570237,0.00453878,0.005140009,0.004282412,0.06106341,1.329185E-05,0.002819659,0.003737844,0.05980391,0,0,0,0,0
2,1.61634E-06,0.003258848,0.003273434,0.001604833,0.05817614,0.341524,0.1863765,0.05243002,0.01546013,0.004529213,0.00513998,0.003916436,0.06006661,1.331346E-05,0.002823631,0.003712073,0.06042906,0,0,0,0,0
3,1.635736E-06,0.00327136,0.003311247,0.001343277,0.05894134,0.3375163,0.1809109,0.05131234,0.0152395,0.004517571,0.005140135,0.003600675,0.05916298,1.334766E-05,0.002831765,0.003691426,0.0610669,0,0,0,0,0
4,1.652465E-06,0.003287486,0.003347648,0.001545882,0.06016896,0.3343444,0.1761596,0.0501559,0.01503412,0.00450303,0.005140189,0.003326435,0.0582784,1.337605E-05,0.002838522,0.003673383,0.0616821,0,0,0,0,0
5,1.668007E-06,0.003298447,0.003382626,0.001329326,0.06080469,0.3319587,0.1720334,0.04898557,0.01484665,0.00448713,0.005140262,0.00308922,0.05740898,1.339664E-05,0.002844376,0.003660335,0.06230044,0,0,0,0,0
6,1.680888E-06,0.003309914,0.003412727,0.001172902,0.06100532,0.3301921,0.1683996,0.04780434,0.01467476,0.004469855,0.005140356,0.002886616,0.05651942,1.341155E-05,0.002846819,0.003652849,0.06291038,0,0,0,0,0
7,1.694456E-06,0.003323718,0.003442005,0.001299856,0.06151275,0.3288604,0.1651286,0.04660762,0.01451497,0.004450792,0.005140394,0.002719179,0.0556538,1.34269E-05,0.002849044,0.003648608,0.06349317,0,0,0,0,0
8,1.709099E-06,0.003334764,0.003471111,0.001195428,0.06176061,0.3279415,0.1621771,0.04540619,0.01436874,0.004430828,0.005140457,0.002585377,0.05481812,1.344314E-05,0.002851715,0.003652056,0.064064,0,0,0,0,0
9,1.724825E-06,0.00334793,0.003500928,0.001399025,0.06258745,0.3272873,0.1594482,0.04419261,0.01423262,0.004409379,0.005140477,0.002484709,0.05402061,1.346088E-05,0.002855179,0.003663249,0.0646015,0,0,0,0,0
10,1.741559E-06,0.003358228,0.003531622,0.001289819,0.06318853,0.3269235,0.1569346,0.04297816,0.01410895,0.004387465,0.005140542,0.002415466,0.05326116,1.348045E-05,0.002859646,0.003686802,0.06512713,0,0,0,0,0
