EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:34:41 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FIB

timestep,value
1,0.03113987
2,0.02991758
3,0.02882459
4,0.02802046
5,0.0273072
6,0.02673255
7,0.02630397
8,0.0259196
9,0.02566276
10,0.02541577
11,0.02521467
12,0.02512093
13,2.463134E-06
14,0.000272066
15,0.0005451649
16,0.0008148327
17,0.001063642
18,0.001328702
19,0.001552437
20,0.001773013
21,0.002003183
22,0.002314481
23,0.002585802
24,0.002902419
25,0.0116208
26,0.01196106
27,0.01231415
28,0.01272801
29,0.01303473
30,0.01333119
31,0.01355718
32,0.01381684
33,0.0139256
34,0.01411541
35,0.01420494
36,0.01428432
37,0.02949925
38,0.02897797
39,0.02822401
40,0.02734374
41,0.02618574
42,0.02487857
43,0.02343482
44,0.02227212
45,0.02132826
46,0.02068343
47,0.01994882
48,0.01925611
49,0.02208143
50,0.02130553
51,0.02086042
52,0.02060235
53,0.0206107
54,0.02168815
55,0.02331922
56,0.02518777
57,0.02666551
58,0.02801888
59,0.02901934
60,0.02968311
61,0.01846631
62,0.0193516
63,0.02001295
64,0.02050944
65,0.02051045
66,0.02012947
67,0.01937492
68,0.01859865
69,0.0180802
70,0.01758331
71,0.01714089
72,0.01676271
73,0.01229519
74,0.01205623
75,0.01172152
76,0.01134913
77,0.01121383
78,0.01111602
79,0.0111772
80,0.01124819
81,0.01139478
82,0.01157924
83,0.01193369
84,0.01213442
85,0.0002951437
86,0.0006104687
87,0.0008702516
88,0.001163948
89,0.001456085
90,0.001744169
91,0.001956804
92,0.002122086
93,0.002261324
94,0.002273695
95,0.00229927
96,0.002279686
97,-0.001252708
98,-0.001296986
99,-0.001412533
100,-0.001500628
101,-0.001540091
102,-0.001577201
103,-0.001573294
104,-0.001596899
105,-0.001584588
106,-0.001520987
107,-0.001391606
108,-0.001313257
109,-0.002876423
110,-0.002659877
111,-0.00242867
112,-0.002184562
113,-0.002038977
114,-0.001956295
115,-0.001889376
116,-0.001800975
117,-0.001711203
118,-0.00165414
119,-0.001625336
120,-0.001573415
121,0.00748256
122,0.007421125
123,0.007289501
124,0.007172783
125,0.007071876
126,0.007075226
127,0.007054729
128,0.006974211
129,0.006857002
130,0.00672991
131,0.006642788
132,0.006572761
133,0.0008660822
134,0.0009256818
135,0.001076986
136,0.001278564
137,0.001489102
138,0.00168058
139,0.001820241
140,0.002006071
141,0.002251965
142,0.002551898
143,0.002813954
144,0.002988908
145,0.009027281
146,0.00896077
147,0.008765095
148,0.008421396
149,0.007918943
150,0.007471737
151,0.007052227
152,0.006627055
153,0.0061661
154,0.005617816
155,0.00508125
156,0.004636616
157,0.01025455
158,0.009697897
159,0.009345942
160,0.009054226
161,0.008837764
162,0.008658986
163,0.008524475
164,0.00838334
165,0.008294937
166,0.008302097
167,0.008326692
168,0.008348857
169,0.0001685608
170,0.0002197161
171,0.0001889183
172,0.000122488
173,3.795161E-05
174,-2.830176E-05
175,-0.0001225689
176,-0.0002122743
177,-0.0003473704
178,-0.0004361236
179,-0.0005026399
180,-0.0005370607
181,-0.005783221
182,-0.005739288
183,-0.005705286
184,-0.00565577
185,-0.005622499
186,-0.00559288
187,-0.005533887
188,-0.005506139
189,-0.005483358
190,-0.005454211
191,-0.005459737
192,-0.005462254
193,-0.0009737384
194,-0.00107451
195,-0.001159642
196,-0.001226751
197,-0.001228284
198,-0.001139381
199,-0.001057825
200,-0.0008854299
201,-0.0007159395
202,-0.0004877271
203,-0.0002715564
204,-9.923336E-05
205,-0.002247577
206,-0.002127204
207,-0.002062285
208,-0.00199957
209,-0.00197677
210,-0.002068125
211,-0.002208366
212,-0.002362339
213,-0.002542491
214,-0.002725957
215,-0.002940593
216,-0.003125396
217,-0.002642869
218,-0.002827598
219,-0.003030077
220,-0.00321143
221,-0.003371331
222,-0.003429877
223,-0.003416888
224,-0.00335369
225,-0.003261503
226,-0.003122234
227,-0.00297745
228,-0.002852896
229,-0.001124487
230,-0.001209532
231,-0.001414459
232,-0.001673684
233,-0.00193881
234,-0.00223946
235,-0.002560818
236,-0.002907749
237,-0.003273849
238,-0.003637989
239,-0.003972999
240,-0.004257398
241,-0.003581374
242,-0.003693643
243,-0.003697229
244,-0.003610079
245,-0.003437776
246,-0.003250657
247,-0.002968248
248,-0.002669084
249,-0.002341232
250,-0.002009068
251,-0.001667688
252,-0.001329995
253,-0.001903353
254,-0.001707238
255,-0.001536464
256,-0.001393495
257,-0.001287878
258,-0.001246297
259,-0.001440136
260,-0.001703383
261,-0.001977138
262,-0.002191468
263,-0.002379835
264,-0.002527161
265,-0.00410133
266,-0.004220865
267,-0.004356886
268,-0.00452076
269,-0.0046794
270,-0.004854186
271,-0.004885898
272,-0.004790669
273,-0.004652614
274,-0.004533377
275,-0.00443298
276,-0.004347975
277,-0.006926141
278,-0.006919946
279,-0.00692684
280,-0.006904362
281,-0.006871145
282,-0.006819678
283,-0.00676754
284,-0.006752095
285,-0.006781043
286,-0.006795047
287,-0.006818929
288,-0.006853322
289,-0.003128414
290,-0.003247897
291,-0.003360843
292,-0.003467488
293,-0.003551966
294,-0.003658611
295,-0.00380004
296,-0.003898688
297,-0.00394239
298,-0.003980706
299,-0.003986609
300,-0.003981452
301,-0.003904307
302,-0.00382019
303,-0.003715051
304,-0.003587489
305,-0.003457703
306,-0.003341599
307,-0.00321099
308,-0.003126011
309,-0.003056818
310,-0.003029471
311,-0.002978428
312,-0.002951168
313,-0.005252049
314,-0.005219287
315,-0.005194644
316,-0.005212873
317,-0.005238694
318,-0.005253587
319,-0.005231739
320,-0.005201843
321,-0.005108312
322,-0.005020905
323,-0.004942228
324,-0.004919583
325,-0.007516061
326,-0.007476894
327,-0.007435784
328,-0.007399954
329,-0.007358544
330,-0.007337817
331,-0.007312743
332,-0.007311284
333,-0.007318641
334,-0.007363142
335,-0.007419322
336,-0.007455762
337,-0.008428649
338,-0.008461319
339,-0.008470074
340,-0.00847081
341,-0.008450609
342,-0.008424498
343,-0.008387093
344,-0.008357833
345,-0.008335545
346,-0.008315345
347,-0.008293943
348,-0.00826259
349,-0.005586404
350,-0.005584609
351,-0.005586529
352,-0.005611291
353,-0.005658829
354,-0.005704484
355,-0.005758173
356,-0.005811804
357,-0.005860542
358,-0.005877876
359,-0.005856444
360,-0.005812862
361,-0.003177644
362,-0.003136211
363,-0.003027357
364,-0.002978152
365,-0.002940411
366,-0.002922231
367,-0.002884808
368,-0.002839067
369,-0.002772058
370,-0.00269687
371,-0.002665498
372,-0.002684328
373,-0.004394771
374,-0.004390051
375,-0.004447158
376,-0.004524078
377,-0.004602134
378,-0.004659908
379,-0.004718494
380,-0.004757103
381,-0.004823558
382,-0.004887293
383,-0.00496542
384,-0.00505695
385,-0.007340407
386,-0.007372578
