EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:34:41 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

timestep,value
1,1.568001
2,1.543205
3,1.521085
4,1.50146
5,1.484177
6,1.469345
7,1.456967
8,1.447193
9,1.440144
10,1.435922
11,1.434594
12,1.436006
13,1.446737
14,1.464356
15,1.487032
16,1.505915
17,1.519487
18,1.532655
19,1.545107
20,1.556575
21,1.566954
22,1.576696
23,1.585255
24,1.591473
25,1.58
26,1.571065
27,1.564675
28,1.560455
29,1.557443
30,1.556572
31,1.554781
32,1.553963
33,1.555353
34,1.55906
35,1.565455
36,1.575048
37,1.596315
38,1.62137
39,1.633796
40,1.647304
41,1.661022
42,1.674356
43,1.686764
44,1.699812
45,1.709761
46,1.715798
47,1.716336
48,1.710072
49,1.696833
50,1.684213
51,1.67163
52,1.659229
53,1.647348
54,1.636134
55,1.625638
56,1.615984
57,1.607816
58,1.601693
59,1.596947
60,1.593726
61,1.602365
62,1.610441
63,1.617881
64,1.624602
65,1.630707
66,1.636435
67,1.641514
68,1.645458
69,1.648569
70,1.650566
71,1.651158
72,1.650223
73,1.639142
74,1.629611
75,1.62118
76,1.613356
77,1.606679
78,1.600905
79,1.595699
80,1.591147
81,1.587298
82,1.584241
83,1.583018
84,1.583489
85,1.586746
86,1.589304
87,1.591201
88,1.592938
89,1.594684
90,1.59571
91,1.596265
92,1.596434
93,1.596561
94,1.596529
95,1.595778
96,1.59431
97,1.600773
98,1.60722
99,1.613182
100,1.617755
101,1.621251
102,1.624148
103,1.626996
104,1.629099
105,1.629909
106,1.629896
107,1.629434
108,1.628142
109,1.62683
110,1.625565
111,1.624355
112,1.623848
113,1.623856
114,1.623376
115,1.622463
116,1.62105
117,1.614888
118,1.609341
119,1.604551
120,1.599795
121,1.605361
122,1.61136
123,1.610024
124,1.607455
125,1.603533
126,1.59976
127,1.595747
128,1.592198
129,1.589512
130,1.586057
131,1.581879
132,1.577571
133,1.569133
134,1.561001
135,1.553927
136,1.547725
137,1.541471
138,1.5359
139,1.530871
140,1.526077
141,1.521664
142,1.517727
143,1.514533
144,1.512011
145,1.508108
146,1.503753
147,1.499156
148,1.494408
149,1.489695
150,1.485413
151,1.482021
152,1.478617
153,1.474817
154,1.47105
155,1.467277
156,1.463529
157,1.463263
158,1.462606
159,1.461706
160,1.460646
161,1.459438
162,1.458035
163,1.456798
164,1.455468
165,1.453482
166,1.451915
167,1.450722
168,1.448364
169,1.442554
170,1.437058
171,1.431962
172,1.427246
173,1.422902
174,1.419423
175,1.416628
176,1.414361
177,1.413108
178,1.411439
179,1.41024
180,1.409597
181,1.410034
182,1.410475
183,1.410832
184,1.410894
185,1.413038
186,1.417149
187,1.418574
188,1.419116
189,1.418836
190,1.418623
191,1.418018
192,1.416626
193,1.414891
194,1.412929
195,1.41077
196,1.408687
197,1.406429
198,1.404277
199,1.403032
200,1.402203
201,1.401125
202,1.400354
203,1.400105
204,1.399484
205,1.400811
206,1.402953
207,1.404483
208,1.405767
209,1.40695
210,1.408427
211,1.40867
212,1.408227
213,1.407413
214,1.406509
215,1.405583
216,1.404724
217,1.407005
218,1.409214
219,1.411874
220,1.413921
221,1.415243
222,1.416002
223,1.416315
224,1.416365
225,1.416279
226,1.416094
227,1.415993
228,1.415823
229,1.416099
230,1.416761
231,1.41772
232,1.418779
233,1.421074
234,1.42456
235,1.426521
236,1.428179
237,1.429788
238,1.431591
239,1.433537
240,1.436733
241,1.438226
242,1.438849
243,1.438638
244,1.437574
245,1.436516
246,1.43499
247,1.434157
248,1.434668
249,1.435623
250,1.435947
251,1.435807
252,1.435986
253,1.435558
254,1.435095
255,1.434651
256,1.435118
257,1.436587
258,1.437795
259,1.439191
260,1.441967
261,1.444904
262,1.446071
263,1.446572
264,1.446924
265,1.449123
266,1.451984
267,1.454645
268,1.457222
269,1.460195
270,1.463448
271,1.465181
272,1.465997
273,1.466359
274,1.466751
275,1.4669
276,1.467008
277,1.469766
278,1.472487
279,1.475146
280,1.477715
281,1.480149
282,1.482377
283,1.484336
284,1.487573
285,1.491705
286,1.493734
287,1.495035
288,1.49586
289,1.497137
290,1.499365
291,1.502893
292,1.505359
293,1.50705
294,1.508425
295,1.509701
296,1.510841
297,1.51258
298,1.514546
299,1.516227
300,1.517515
301,1.5182
302,1.518911
303,1.51982
304,1.521275
305,1.523472
306,1.525759
307,1.53026
308,1.53689
309,1.54152
310,1.544402
311,1.545606
312,1.546725
313,1.54728
314,1.548184
315,1.548291
316,1.548306
317,1.54846
318,1.548969
319,1.550363
320,1.551808
321,1.552455
322,1.552909
323,1.55367
324,1.555059
325,1.551459
326,1.548225
327,1.546119
328,1.544742
329,1.542829
330,1.541129
331,1.540185
332,1.539739
333,1.539475
334,1.539642
335,1.540291
336,1.541335
337,1.542835
338,1.544176
339,1.544934
340,1.545153
341,1.544897
342,1.544452
343,1.543965
344,1.543817
345,1.543931
346,1.54506
347,1.547191
348,1.547491
349,1.546745
350,1.545885
351,1.544551
352,1.54316
353,1.542045
354,1.541556
355,1.54146
356,1.541431
357,1.541629
358,1.541594
359,1.541195
360,1.540774
361,1.547902
362,1.555496
363,1.561942
364,1.567359
365,1.571063
366,1.573483
367,1.575353
368,1.576747
369,1.577646
370,1.578106
371,1.57797
372,1.577371
373,1.572565
374,1.571314
375,1.570625
376,1.570065
377,1.569761
378,1.569681
379,1.570018
380,1.571934
381,1.575803
382,1.579237
383,1.582711
384,1.586302
385,1.587528
386,1.588633
387,1.589809
388,1.591192
389,1.59287
390,1.594942
391,1.597287
392,1.601048
393,1.606064
394,1.608338
395,1.609418
396,1.60985
