EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:34:41 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.12155,0.648655,0.3345949,1.810635,1.35844,1.775128,2.10147,1.51696,1.376516,0.8666942,0.3209926,3.280909,0.8054298,1.440948,1.310045,1.583236,0.8137196,2.200062,2.432013,45.82321,186.4367,0
2,1.119631,0.647617,0.3341843,1.147256,1.322861,1.769075,2.092464,1.519838,1.374754,0.8681179,0.3209929,3.243274,0.8043704,1.440452,1.307986,1.585105,0.8149388,2.194332,2.431935,46.38274,186.4984,0
3,1.118115,0.6484641,0.3337288,1.583785,1.339817,1.762757,2.083584,1.521145,1.372114,0.8679144,0.3209822,3.209677,0.8032839,1.42321,1.305934,1.582398,0.8143038,2.186817,2.431661,45.65494,186.4154,0
4,1.119662,0.6477688,0.3339131,1.395968,1.32975,1.758098,2.076852,1.522683,1.370371,0.8682579,0.3209771,3.1762,0.8031715,1.429538,1.306478,1.58314,0.8155068,2.18222,2.431796,46.04223,186.4321,0
5,1.120371,0.6488034,0.334093,1.508053,1.343358,1.753593,2.070625,1.523476,1.368177,0.8680251,0.3209707,3.143063,0.8031041,1.424635,1.30677,1.580577,0.815587,2.177099,2.431717,45.69158,186.3904,0
6,1.122217,0.6487187,0.3346064,1.707055,1.353002,1.749977,2.065613,1.524302,1.366347,0.8679763,0.3209628,3.107237,0.803535,1.431309,1.308212,1.578513,0.8164845,2.173672,2.431835,45.74426,186.3893,0
7,1.122091,0.6482769,0.3347123,1.552608,1.346014,1.747321,2.061903,1.525335,1.36481,0.8679538,0.320958,3.067316,0.8033465,1.436424,1.30816,1.576343,0.81752,2.171587,2.432038,45.98252,186.424,0
8,1.121739,0.648829,0.3347531,1.63972,1.351574,1.744755,2.058512,1.526047,1.363016,0.8675897,0.3209516,3.025493,0.8030586,1.434092,1.307782,1.57187,0.8178354,2.169443,2.432083,45.78601,186.4132,0
9,1.121417,0.6484314,0.3347088,1.385509,1.33883,1.743003,2.056203,1.527115,1.361639,0.8674436,0.3209477,2.981349,0.8026349,1.438019,1.307247,1.568443,0.818797,2.168809,2.432254,46.04833,186.4433,0
10,1.121124,0.6489989,0.3346499,1.4738,1.343736,1.741092,2.053861,1.527834,1.35992,0.8669228,0.3209409,2.937909,0.802192,1.433766,1.306598,1.56272,0.8189013,2.167809,2.432229,45.78675,186.4177,0
11,1.122476,0.6490787,0.3349611,1.574721,1.348483,1.739555,2.052001,1.528681,1.35842,0.8665518,0.3209337,2.896737,0.8023232,1.438608,1.307287,1.557524,0.8195868,2.167779,2.432303,45.7842,186.4107,0
12,1.121946,0.6484854,0.3348215,1.286011,1.329664,1.738796,2.051088,1.529997,1.357305,0.8663425,0.3209299,2.856561,0.801766,1.443211,1.306472,1.553536,0.8205697,2.168957,2.432474,46.1199,186.4494,0
13,1.120833,0.658743,0.3044029,1.238981,1.306225,1.488005,1.634134,1.178218,1.0631,0.757894,0.3140506,2.839837,1.290066,1.443644,1.42282,1.121529,0.7577839,2.169442,2.432433,45.92788,186.4308,0
14,1.121544,0.65902,0.3044352,1.154926,1.307988,1.48859,1.635084,1.176095,1.065975,0.7569858,0.3140367,2.81822,1.2875,1.439707,1.421099,1.124522,0.7574272,2.169865,2.432472,45.88167,186.4128,0
