EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:34:41 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

timestep,value
1,1.461307
2,1.474815
3,1.467863
4,1.47208
5,1.466382
6,1.461665
7,1.464121
8,1.460925
9,1.465636
10,1.462875
11,1.459719
12,1.466489
13,1.4695
14,1.470979
15,1.473589
16,1.473917
17,1.467487
18,1.470501
19,1.470451
20,1.47074
21,1.470638
22,1.486628
23,1.481985
24,1.479153
25,1.476925
26,1.472103
27,1.477745
28,1.476056
29,1.467198
30,1.478792
31,1.476342
32,1.495154
33,1.487281
34,1.497023
35,1.490415
36,1.481836
37,1.483382
38,1.483614
39,1.481064
40,1.488498
41,1.484982
42,1.491173
43,1.484549
44,1.478693
45,1.482868
46,1.487852
47,1.48403
48,1.483156
49,1.494398
50,1.491478
51,1.487916
52,1.481409
53,1.482497
54,1.482775
55,1.482772
56,1.48261
57,1.48226
58,1.48185
59,1.482848
60,1.482003
61,1.481737
62,1.490229
63,1.485527
64,1.485541
65,1.485529
66,1.494753
67,1.491777
68,1.490248
69,1.498141
70,1.494645
71,1.496336
72,1.493745
73,1.494787
74,1.50572
75,1.501268
76,1.498024
77,1.508921
78,1.503683
79,1.505541
80,1.502608
81,1.501032
82,1.497907
83,1.520459
84,1.511974
85,1.511982
86,1.51311
87,1.5104
88,1.51802
89,1.519617
90,1.514953
91,1.512635
92,1.511864
93,1.51867
94,1.517887
95,1.516357
96,1.516108
97,1.518363
98,1.530434
99,1.526666
100,1.524723
101,1.523975
102,1.527995
103,1.536203
104,1.532446
105,1.530099
106,1.532364
107,1.535996
108,1.533225
109,1.532339
110,1.533205
111,1.533103
112,1.542874
113,1.541405
114,1.542079
115,1.53957
116,1.538666
117,1.53919
118,1.545725
119,1.549678
120,1.551373
121,1.546836
122,1.553205
123,1.560678
124,1.564026
125,1.555926
126,1.555789
127,1.554552
128,1.560255
129,1.565102
130,1.558368
131,1.554415
132,1.555534
133,1.552777
134,1.549092
135,1.555819
136,1.552462
137,1.550169
138,1.553694
139,1.549955
140,1.548726
141,1.546255
142,1.544587
143,1.54525
144,1.54313
145,1.547822
146,1.54618
147,1.542142
148,1.539818
149,1.536452
150,1.539823
151,1.542453
152,1.538387
153,1.536387
154,1.536601
155,1.533754
156,1.535106
157,1.531552
158,1.529058
159,1.527112
160,1.5254
161,1.523748
162,1.522073
163,1.528189
164,1.522532
165,1.522445
166,1.531993
167,1.531341
168,1.528544
169,1.523458
170,1.521639
171,1.520235
172,1.517673
173,1.516151
174,1.521832
175,1.517157
176,1.525612
177,1.522701
178,1.522628
179,1.526954
180,1.526672
181,1.523931
182,1.528315
183,1.52428
184,1.522645
185,1.544172
186,1.538013
187,1.534208
188,1.538744
189,1.534622
190,1.54435
191,1.537068
192,1.541789
193,1.539908
194,1.538579
195,1.534398
196,1.532187
197,1.52615
198,1.528368
199,1.529255
200,1.529462
201,1.524772
202,1.529442
203,1.525922
204,1.522453
205,1.528605
206,1.530882
207,1.525966
208,1.526211
209,1.52313
210,1.52698
211,1.528921
212,1.527372
213,1.52415
214,1.52259
215,1.52183
216,1.521252
217,1.51137
218,1.517965
219,1.518007
220,1.516127
221,1.513174
222,1.51014
223,1.506655
224,1.504569
225,1.502632
226,1.500894
227,1.504436
228,1.501012
229,1.500457
230,1.499187
231,1.500666
232,1.497322
233,1.514911
234,1.512838
235,1.50698
236,1.503668
237,1.501946
238,1.501355
239,1.499617
240,1.515748
241,1.509932
242,1.515247
243,1.509213
244,1.505406
245,1.508284
246,1.498044
247,1.503707
248,1.507808
249,1.508845
250,1.503903
251,1.500108
252,1.502272
253,1.497801
254,1.495224
255,1.488901
256,1.496583
257,1.494678
258,1.493031
259,1.494728
260,1.510938
261,1.503596
262,1.498453
263,1.494968
264,1.489388
265,1.495127
266,1.491977
267,1.490277
268,1.488675
269,1.497442
270,1.497794
271,1.491275
272,1.487414
273,1.48897
274,1.489555
275,1.485921
276,1.485352
277,1.485402
278,1.484998
279,1.484651
280,1.484291
281,1.484712
282,1.485557
283,1.484456
284,1.504635
285,1.498574
286,1.496189
287,1.4988
288,1.494633
289,1.489469
290,1.499485
291,1.500977
292,1.495973
293,1.492874
294,1.490891
295,1.489514
296,1.488405
297,1.499014
298,1.494055
299,1.502197
300,1.496296
301,1.492759
302,1.491086
303,1.489813
304,1.4914
305,1.49334
306,1.488705
307,1.512123
308,1.507582
309,1.517983
310,1.509656
311,1.50169
312,1.50394
313,1.513127
314,1.506808
315,1.502902
316,1.500388
317,1.497272
318,1.496735
319,1.503004
320,1.499164
321,1.496606
322,1.494892
323,1.494192
324,1.49576
325,1.497546
326,1.496705
327,1.507408
328,1.503693
329,1.499469
330,1.498046
331,1.501857
332,1.499105
333,1.49786
334,1.497323
335,1.497194
336,1.496716
337,1.503328
338,1.500976
339,1.504718
340,1.501786
341,1.501726
342,1.499437
343,1.498391
344,1.501211
345,1.500046
346,1.513448
347,1.513869
348,1.508355
349,1.510771
350,1.510267
351,1.506138
352,1.5042
353,1.503423
354,1.506372
355,1.504729
356,1.505923
357,1.507349
358,1.504872
359,1.503694
360,1.502775
361,1.5218
362,1.511399
363,1.515068
364,1.513306
365,1.511075
366,1.50653
367,1.506393
368,1.501372
369,1.499492
370,1.496745
371,1.493676
372,1.494492
373,1.505268
374,1.500975
375,1.49887
376,1.500574
377,1.497087
378,1.493335
379,1.487707
380,1.500093
381,1.498393
382,1.498473
383,1.498214
384,1.497921
385,1.496587
386,1.494865
387,1.493111
388,1.491714
389,1.491418
390,1.492496
391,1.492507
392,1.509093
393,1.509778
394,1.504575
395,1.50372
396,1.501422
