EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:34:41 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,3.364844,3.584778,3.832963,2.574291,2.745359,2.745359,2.910965,2.910965,2.910965,2.91095,3.441716,3.99721,3.943488,3.670508,3.730007,3.368292,3.368308,3.06328,2.180363,2.380123,1,1
2,3.368974,3.592629,3.831842,2.649566,2.743343,2.743343,2.908961,2.908961,2.908961,2.909209,3.443096,3.994618,3.93864,3.670853,3.730443,3.367366,3.36734,3.061643,2.180223,2.379064,1,1
3,3.368246,3.582136,3.808865,2.558197,2.744162,2.744162,2.909765,2.909765,2.909765,2.910489,3.44381,3.989758,3.921353,3.669677,3.724803,3.367746,3.367681,3.062253,2.180251,2.37944,1,1
4,3.370676,3.58973,3.821711,2.619167,2.743602,2.743601,2.909208,2.909208,2.909208,2.910606,3.445329,3.99212,3.929298,3.670668,3.728366,3.367521,3.36742,3.061797,2.180205,2.379144,1,1
5,3.368708,3.584354,3.814731,2.564649,2.744364,2.744363,2.909963,2.909963,2.909963,2.912225,3.446144,3.99162,3.92606,3.670421,3.726301,3.367921,3.367784,3.062402,2.180237,2.37953,1,1
6,3.367861,3.58621,3.825428,2.568719,2.744939,2.744939,2.910538,2.910538,2.910538,2.913834,3.447421,3.995024,3.934877,3.671028,3.728718,3.368266,3.368098,3.062887,2.180272,2.379851,1,1
7,3.369221,3.591109,3.833004,2.606971,2.744564,2.744564,2.91017,2.91017,2.91017,2.914658,3.448756,3.996373,3.940301,3.671876,3.730831,3.368167,3.36797,3.062602,2.180259,2.379675,1,1
8,3.368795,3.588559,3.829729,2.575891,2.744903,2.744903,2.910507,2.910506,2.910506,2.916333,3.449726,3.9961,3.939533,3.672058,3.730114,3.36839,3.36817,3.062875,2.180283,2.379853,1,1
9,3.370809,3.593485,3.834939,2.616264,2.744248,2.744248,2.909856,2.909856,2.909856,2.917151,3.450999,3.996527,3.943325,3.672901,3.731834,3.368145,3.367908,3.062348,2.180244,2.379516,1,1
10,3.370488,3.590149,3.828535,2.57819,2.74458,2.74458,2.910184,2.910184,2.910184,2.919067,3.451894,3.995485,3.940947,3.672974,3.73043,3.368351,3.3681,3.062601,2.180256,2.379676,1,1
11,3.369949,3.591107,3.834833,2.573961,2.744938,2.744938,2.91054,2.91054,2.91054,2.92112,3.453024,3.99744,3.947462,3.673568,3.731852,3.368586,3.368328,3.062895,2.180273,2.379869,1,1
12,3.372538,3.596806,3.839793,2.624065,2.744003,2.744003,2.909613,2.909613,2.909613,2.921994,3.454314,3.997455,3.951179,3.674425,3.733615,3.36821,3.367948,3.062142,2.180211,2.379385,1,1
13,3.373924,3.595138,3.831815,2.60258,2.74381,2.74381,2.909416,2.909416,2.909416,2.92369,3.456294,3.995172,3.947143,3.67455,3.732013,3.368252,3.367963,3.061959,2.180184,2.379259,1,1
14,3.374118,3.595585,3.833143,2.594489,2.74384,2.74384,2.909443,2.909443,2.909443,2.923559,3.458433,3.995447,3.953485,3.674977,3.732221,3.368324,3.368069,3.061967,2.180166,2.379259,1,1
15,3.374713,3.597352,3.836945,2.599602,2.74372,2.74372,2.909322,2.909323,2.909323,2.923174,3.460714,3.996112,3.960952,3.675471,3.733084,3.36833,3.36811,3.061862,2.180139,2.379188,1,1
16,3.37461,3.597749,3.83851,2.587225,2.743864,2.743864,2.909465,2.909465,2.909465,2.922949,3.463022,3.996544,3.967286,3.675798,3.733262,3.368465,3.368275,3.061972,2.180129,2.379256,1,1
17,3.372637,3.596705,3.842597,2.543001,2.744698,2.744698,2.910295,2.910295,2.910295,2.923314,3.465413,3.998387,3.975934,3.675974,3.733584,3.36894,3.368779,3.062656,2.180161,2.3797,1,1
18,3.374862,3.602982,3.852381,2.602726,2.744226,2.744226,2.909829,2.909829,2.909829,2.922299,3.468347,3.99964,3.98467,3.67661,3.736108,3.368815,3.368677,3.062293,2.180136,2.379474,1,1
19,3.375051,3.60253,3.851313,2.586847,2.744118,2.744118,2.909721,2.90972,2.909721,2.921556,3.470842,3.999066,3.988658,3.676976,3.735676,3.36884,3.368718,3.062196,2.180125,2.379411,1,1
20,3.375177,3.604099,3.855211,2.587789,2.743983,2.743983,2.909585,2.909585,2.909585,2.920707,3.473484,3.999604,3.995233,3.677579,3.736298,3.368852,3.368739,3.062077,2.180106,2.379333,1,1
21,3.375188,3.605314,3.858594,2.5848,2.743905,2.743905,2.909506,2.909506,2.909506,2.919837,3.476166,4.000048,4.001322,3.678161,3.736754,3.368889,3.368776,3.062002,2.180086,2.379283,1,1
22,3.380347,3.613523,3.858098,2.654631,2.741632,2.741632,2.907243,2.907243,2.907243,2.916718,3.479118,3.997217,4.001896,3.679056,3.737483,3.367879,3.367755,3.060145,2.17991,2.378077,1,1
23,3.379238,3.603988,3.835779,2.565197,2.742368,2.742368,2.907964,2.907964,2.907964,2.916506,3.481316,3.992162,3.995264,3.678229,3.731647,3.368242,3.368095,3.060673,2.179913,2.378394,1,1
24,3.378175,3.607653,3.851077,2.574782,2.74287,2.74287,2.908461,2.908461,2.908461,2.916001,3.484273,3.996278,4.007538,3.679255,3.734717,3.368547,3.368366,3.061074,2.179913,2.378651,1,1
25,3.377321,3.610784,3.862038,2.579134,2.743157,2.743157,2.908749,2.908749,2.908749,2.91523,3.487358,3.998856,4.015753,3.68025,3.736637,3.368684,3.368483,3.061316,2.179913,2.378811,1,1
26,3.375863,3.612012,3.87119,2.559643,2.743702,2.743702,2.909293,2.909293,2.909293,2.915389,3.49038,4.00122,4.023053,3.681094,3.737858,3.369064,3.368706,3.061771,2.179935,2.379111,1,1
27,3.377566,3.619581,3.880245,2.615834,2.742905,2.742905,2.908504,2.908504,2.908504,2.914489,3.493688,4.002058,4.028334,3.682278,3.739806,3.368819,3.368308,3.061137,2.179883,2.37871,1,1
28,3.377557,3.617665,3.876103,2.578158,2.743111,2.743111,2.908706,2.908706,2.908706,2.914829,3.496575,4.000864,4.029367,3.68255,3.738499,3.36902,3.368364,3.061285,2.179881,2.378803,1,1
29,3.375268,3.617063,3.885526,2.527173,2.744081,2.744081,2.909671,2.909671,2.909671,2.916162,3.499538,4.003447,4.036967,3.683194,3.739529,3.369599,3.368808,3.062078,2.179916,2.379318,1,1
