EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:34:41 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

timestep,value
1,2.959891
2,2.957812
3,2.957132
4,2.957206
5,2.957355
6,2.958394
7,2.958104
8,2.957878
9,2.957016
10,2.95651
11,2.956843
12,2.95559
13,3.174265
14,3.1633
15,3.153314
16,3.144029
17,3.136849
18,3.129442
19,3.12194
20,3.115592
21,3.109631
22,3.100675
23,3.093593
24,3.090346
25,3.036271
26,3.03266
27,3.027941
28,3.023622
29,3.021773
30,3.017348
31,3.01418
32,3.008939
33,3.007006
34,3.005278
35,3.004845
36,3.006226
37,2.971292
38,2.972293
39,2.974262
40,2.975317
41,2.978038
42,2.980165
43,2.983956
44,2.987895
45,2.990057
46,2.990992
47,2.993675
48,2.996577
49,2.938384
50,2.942052
51,2.945711
52,2.949313
53,2.951434
54,2.951294
55,2.950352
56,2.949213
57,2.948896
58,2.948891
59,2.949298
60,2.950421
61,2.979225
62,2.97841
63,2.979536
64,2.980988
65,2.983266
66,2.985159
67,2.989234
68,2.993859
69,2.996376
70,2.999903
71,3.003103
72,3.006343
73,3.02195
74,3.022461
75,3.024943
76,3.028332
77,3.028509
78,3.029895
79,3.030805
80,3.031884
81,3.032882
82,3.033904
83,3.030214
84,3.030245
85,3.108529
86,3.107956
87,3.10823
88,3.107095
89,3.105997
90,3.106337
91,3.107152
92,3.107821
93,3.107353
94,3.108045
95,3.109324
96,3.110703
97,3.141284
98,3.140626
99,3.142124
100,3.144918
101,3.146892
102,3.147911
103,3.147331
104,3.148436
105,3.150312
106,3.150856
107,3.150103
108,3.150576
109,3.167453
110,3.166585
111,3.165595
112,3.162832
113,3.16165
114,3.16223
115,3.1631
116,3.163877
117,3.164155
118,3.163408
119,3.16255
120,3.162386
121,3.125379
122,3.125389
123,3.124529
124,3.124176
125,3.125808
126,3.12648
127,3.126964
128,3.126638
129,3.125844
130,3.126969
131,3.128578
132,3.129087
133,3.167196
134,3.167618
135,3.165715
136,3.163916
137,3.163301
138,3.161704
139,3.160899
140,3.160296
141,3.159186
142,3.157761
143,3.156149
144,3.15523
145,3.127521
146,3.126942
147,3.128088
148,3.129838
149,3.132272
150,3.133479
151,3.133943
152,3.135702
153,3.13819
154,3.14054
155,3.143131
156,3.144993
157,3.114675
158,3.117455
159,3.11919
160,3.120552
161,3.121557
162,3.122377
163,3.121633
164,3.12195
165,3.122717
166,3.120608
167,3.118992
168,3.119476
169,3.191639
170,3.191568
171,3.191626
172,3.19204
173,3.192551
174,3.191339
175,3.190927
176,3.190001
177,3.189079
178,3.190048
179,3.189349
180,3.188451
181,3.250009
182,3.249043
183,3.248003
184,3.247977
185,3.242423
186,3.236717
187,3.238689
188,3.238733
189,3.237975
190,3.236708
191,3.235155
192,3.23617
193,3.197702
194,3.198462
195,3.199251
196,3.199948
197,3.200115
198,3.198691
199,3.195718
200,3.192669
201,3.190859
202,3.187876
203,3.184513
204,3.18364
205,3.163155
206,3.160427
207,3.160438
208,3.160857
209,3.161073
210,3.161493
211,3.161295
212,3.16233
213,3.164565
214,3.16671
215,3.168677
216,3.170187
217,3.196686
218,3.197713
219,3.196481
220,3.197634
221,3.19949
222,3.200529
223,3.200764
224,3.200164
225,3.198892
226,3.197036
227,3.194118
228,3.191555
229,3.175834
230,3.175463
231,3.17587
232,3.177069
233,3.17503
234,3.172364
235,3.176486
236,3.180773
237,3.184545
238,3.187677
239,3.190541
240,3.189163
241,3.172898
242,3.174734
243,3.173784
244,3.174685
245,3.172708
246,3.170666
247,3.167872
248,3.161482
249,3.156614
250,3.154141
251,3.153136
252,3.15049
253,3.180393
254,3.17848
255,3.176645
256,3.173129
257,3.168318
258,3.167006
259,3.166865
260,3.163951
261,3.161259
262,3.165163
263,3.1678
264,3.169524
265,3.207582
266,3.205256
267,3.206065
268,3.206582
269,3.205096
270,3.20259
271,3.202376
272,3.201642
273,3.198835
274,3.194905
275,3.1923
276,3.190541
277,3.23623
278,3.234414
279,3.233089
280,3.231352
281,3.229351
282,3.226892
283,3.22456
284,3.218979
285,3.212458
286,3.215273
287,3.216024
288,3.215885
289,3.211438
290,3.209019
291,3.204127
292,3.203074
293,3.203344
294,3.203043
295,3.202636
296,3.201513
297,3.197748
298,3.193379
299,3.19171
300,3.188174
301,3.108625
302,3.109656
303,3.109803
304,3.109098
305,3.107613
306,3.107172
307,3.102731
308,3.097132
309,3.098708
310,3.098174
311,3.10211
312,3.104679
313,3.141477
314,3.140257
315,3.143247
316,3.145531
317,3.147338
318,3.148604
319,3.147503
320,3.14642
321,3.147113
322,3.147244
323,3.146986
324,3.146689
325,3.192905
326,3.192225
327,3.190216
328,3.187948
329,3.189375
330,3.190592
331,3.190199
332,3.189985
333,3.191338
334,3.192805
335,3.194246
336,3.195373
337,3.216665
338,3.216543
339,3.217704
340,3.21803
341,3.219232
342,3.219712
343,3.220125
344,3.219672
345,3.219039
346,3.216726
347,3.213283
348,3.214617
349,3.152012
350,3.152369
351,3.153809
352,3.155727
353,3.15721
354,3.157788
355,3.158407
356,3.159692
357,3.160301
358,3.161104
359,3.162046
360,3.162292
361,3.132013
362,3.128804
363,3.129997
364,3.129747
365,3.131379
366,3.133385
367,3.134777
368,3.135673
369,3.13668
370,3.137026
371,3.137856
372,3.13853
373,3.178006
374,3.175794
375,3.177783
376,3.178942
377,3.180057
378,3.181976
379,3.184027
380,3.182866
381,3.18101
382,3.182773
383,3.184312
384,3.186096
385,3.281878
386,3.282601
387,3.28256
388,3.281938
389,3.280813
390,3.279306
391,3.278023
392,3.274648
393,3.270573
394,3.272357
395,3.27412
396,3.274556
