EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:51:11 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"biomass (predicted) SB juv comp YOY","biomass (observed) SB juv comp YOY","biomass (predicted) SB 2-5 MRIP CPUE","biomass (observed) SB 2-5 MRIP CPUE","biomass (predicted) SB 2-5 CT LISTS","biomass (observed) SB 2-5 CT LISTS","biomass (predicted) SB adult MRIP CPUE","biomass (observed) SB adult MRIP CPUE","biomass (predicted) SB adult CT LISTS","biomass (observed) SB adult CT LISTS","biomass (predicted) AM juv jai","biomass (observed) AM juv jai","biomass (predicted) AM adult nad 1","biomass (observed) AM adult nad 1","biomass (predicted) AM adult nad 2","biomass (observed) AM adult nad 2","biomass (predicted) AM adult nad 3","biomass (observed) AM adult nad 3","biomass (predicted) AM adult nad 4","biomass (observed) AM adult nad 4","biomass (predicted) AM adult nad 5","biomass (observed) AM adult nad 5","biomass (predicted) AM adult nad 6+","biomass (observed) AM adult nad 6+","biomass (predicted) AM adult mad 1","biomass (observed) AM adult mad 1","biomass (predicted) AM adult mad 2","biomass (observed) AM adult mad 2","biomass (predicted) AM adult mad 3","biomass (observed) AM adult mad 3","biomass (predicted) AM adult mad 4","biomass (observed) AM adult mad 4","biomass (predicted) AM adult mad 5","biomass (observed) AM adult mad 5","biomass (predicted) SDF biomass","biomass (observed) SDF biomass","biomass (predicted) BF juv comp YOY","biomass (observed) BF juv comp YOY","biomass (predicted) BF adult MRIP CPUE","biomass (observed) BF adult MRIP CPUE","biomass (predicted) BF adult NC PSIGNS","biomass (observed) BF adult NC PSIGNS","biomass (predicted) WF juv comp yoy","biomass (observed) WF juv comp yoy","biomass (predicted) WF adult MRIP","biomass (observed) WF adult MRIP","biomass (predicted) WF adult DE trawl","biomass (observed) WF adult DE trawl","biomass (predicted) AH adult NEFSC-A","biomass (observed) AH adult NEFSC-A","biomass (predicted) AH adult NEFSC-B","biomass (observed) AH adult NEFSC-B",
1,0.008512118,,0.03624148,,0.03624148,,0.01863681,,0.01863681,,0.2746212,,0.9408811,,0.7254176,,0.2991113,,0.1058604,,0.03903873,,0.03063661,,0.9408811,,0.7254176,,0.2991113,,0.1058604,,0.03903873,,0.271414,,0.003920671,,0.2156893,,0.2156893,,0.001209947,,0.01264967,,0.01264967,,0.149781,,0.149781,,
2,0.008615237,,0.03626506,,0.03626506,,0.01875779,,0.01875779,,0.2617198,,0.912398,,0.6984127,,0.2836422,,0.1019983,,0.03784323,,0.03013936,,0.912398,,0.6984127,,0.2836422,,0.1019983,,0.03784323,,0.2710451,,0.003554396,,0.21152,,0.21152,,0.001189125,,0.01255266,,0.01255266,,0.1487583,,0.1487583,,
3,0.00868684,,0.03625987,,0.03625987,,0.01885856,,0.01885856,,0.2846907,,0.8895683,,0.6735629,,0.2695337,,0.09796986,,0.03665926,,0.02958669,,0.8895683,,0.6735629,,0.2695337,,0.09796986,,0.03665926,,0.270575,,0.003221625,,0.2073114,,0.2073114,,0.001164931,,0.0124247,,0.0124247,,0.1473058,,0.1473058,,
4,0.008768438,,0.03616524,,0.03616524,,0.01893679,,0.01893679,,0.2889782,,0.8466245,,0.6372975,,0.2526295,,0.09261378,,0.03506603,,0.02867454,,0.8466245,,0.6372975,,0.2526295,,0.09261378,,0.03506603,,0.2699427,,0.002911889,,0.2029875,,0.2029875,,0.001128837,,0.01223173,,0.01223173,,0.1441429,,0.1441429,,
5,0.008769896,,0.03604789,,0.03604789,,0.01898407,,0.01898407,,0.2887201,,0.8696463,,0.6385579,,0.2468443,,0.09034855,,0.03457549,,0.02852433,,0.8696463,,0.6385579,,0.2468443,,0.09034855,,0.03457549,,0.2691383,,0.002640129,,0.1987326,,0.1987326,,0.001109453,,0.01206996,,0.01206996,,0.1433245,,0.1433245,,
6,0.008659941,0.5239273,0.0360715,0.07805933,0.0360715,,0.01904813,0.1977561,0.01904813,,0.2398988,3.320719,0.9293808,,0.6689384,,0.2513572,,0.09108035,,0.03518317,,0.02915154,,0.9293808,,0.6689384,,0.2513572,,0.09108035,,0.03518317,,0.2691021,1.189521,0.002431612,0.09565267,0.1949499,2.357404,0.1949499,,0.001134433,0.0008898013,0.01205476,0.02414547,0.01205476,,0.1484405,0.73528,0.1484405,,
7,0.008632118,,0.03634221,,0.03634221,,0.01914975,,0.01914975,,0.2781952,,1.019486,,0.7192311,,0.2627195,,0.09380756,,0.03657658,,0.03034405,,1.019486,,0.7192311,,0.2627195,,0.09380756,,0.03657658,,0.2697476,,0.002296934,,0.1917928,,0.1917928,,0.001194868,,0.01219696,,0.01219696,,0.157979,,0.157979,,
8,0.008788394,,0.03704144,,0.03704144,,0.0194116,,0.0194116,,0.5310937,,1.238397,,0.8268785,,0.2913675,,0.1017805,,0.03996916,,0.03302618,,1.238397,,0.8268785,,0.2913675,,0.1017805,,0.03996916,,0.2713642,,0.002274858,,0.1903468,,0.1903468,,0.001327924,,0.01270626,,0.01270626,,0.1764733,,0.1764733,,
9,0.009140274,,0.03803916,,0.03803916,,0.01992387,,0.01992387,,0.551575,,1.423249,,0.9266706,,0.3188976,,0.1093164,,0.04339567,,0.03574347,,1.423249,,0.9266706,,0.3188976,,0.1093164,,0.04339567,,0.2744669,,0.002363134,,0.1907083,,0.1907083,,0.001493181,,0.01351921,,0.01351921,,0.1982836,,0.1982836,,
10,0.009609345,,0.03913059,,0.03913059,,0.02052608,,0.02052608,,0.3748924,,1.50626,,0.9957027,,0.3370539,,0.1138435,,0.04591072,,0.03778483,,1.50626,,0.9957027,,0.3370539,,0.1138435,,0.04591072,,0.2777456,,0.002522203,,0.191628,,0.191628,,0.001634229,,0.01442742,,0.01442742,,0.2168197,,0.2168197,,
11,0.01019674,,0.04102952,,0.04102952,,0.02135869,,0.02135869,,0.4332959,,1.653884,,1.105537,,0.3652312,,0.1211878,,0.04966317,,0.04075959,,1.653884,,1.105537,,0.3652312,,0.1211878,,0.04966317,,0.2811351,,0.002792285,,0.1942258,,0.1942258,,0.001816549,,0.01569504,,0.01569504,,0.2389697,,0.2389697,,
12,0.01084548,,0.0431046,,0.0431046,,0.02258067,,0.02258067,,0.5269808,,1.707212,,1.162115,,0.3786357,,0.1238775,,0.05186657,,0.04256421,,1.707212,,1.162115,,0.3786357,,0.1238775,,0.05186657,,0.2853532,,0.003154347,,0.1985846,,0.1985846,,0.001989632,,0.01716999,,0.01716999,,0.2564865,,0.2564865,,
13,0.01159195,,0.04526537,,0.04526537,,0.02424593,,0.02424593,,0.4282157,,1.70405,,1.2221,,0.3979546,,0.1282906,,0.05448258,,0.04426732,,1.70405,,1.2221,,0.3979546,,0.1282906,,0.05448258,,0.2890134,,0.003577476,,0.1970297,,0.1970297,,0.002162464,,0.01869025,,0.01869025,,0.2709342,,0.2709342,,
14,0.01232803,,0.04758823,,0.04758823,,0.026342,,0.026342,,0.3162779,,1.642597,,1.259485,,0.4110761,,0.1310176,,0.05624754,,0.04546366,,1.642597,,1.259485,,0.4110761,,0.1310176,,0.05624754,,0.2924473,,0.0040371,,0.1974787,,0.1974787,,0.002345938,,0.02037675,,0.02037675,,0.2817179,,0.2817179,,
15,0.01305959,,0.05018248,,0.05018248,,0.02892143,,0.02892143,,0.3654775,,1.538929,,1.267116,,0.4163032,,0.1315806,,0.05695493,,0.04598251,,1.538929,,1.267116,,0.4163032,,0.1315806,,0.05695493,,0.2954569,,0.004513343,,0.1996926,,0.1996926,,0.002541317,,0.02215888,,0.02215888,,0.2878844,,0.2878844,,
16,0.01374191,,0.05267475,,0.05267475,,0.03188441,,0.03188441,,0.3186941,,1.384622,,1.243227,,0.4124655,,0.1296625,,0.05647038,,0.0457116,,1.384622,,1.243227,,0.4124655,,0.1296625,,0.05647038,,0.2978392,,0.004973593,,0.2029406,,0.2029406,,0.002740954,,0.02388754,,0.02388754,,0.2885759,,0.2885759,,
17,0.01430287,,0.05501662,,0.05501662,,0.03504301,,0.03504301,,0.3212712,,1.207112,,1.197369,,0.401495,,0.1258401,,0.05502047,,0.04480249,,1.207112,,1.197369,,0.401495,,0.1258401,,0.05502047,,0.2994728,,0.005392222,,0.2063628,,0.2063628,,0.002933541,,0.02542642,,0.02542642,,0.2843855,,0.2843855,,
18,0.01462841,0.4111474,0.0572651,0.2606177,0.0572651,,0.03831372,0.402417,0.03831372,,0.5202266,2.427192,1.079704,,1.158068,,0.3928188,,0.1227145,,0.05364986,,0.04402626,,1.079704,,1.158068,,0.3928188,,0.1227145,,0.05364986,,0.3005626,1.218652,0.005771638,0.06487971,0.2097987,2.421236,0.2097987,,0.00313076,0.00117927,0.0268252,0.09171461,0.0268252,,0.2797373,0.3541486,0.2797373,,
19,0.01469513,,0.059621,,0.059621,,0.04190661,,0.04190661,,0.7214212,,1.048184,,1.146807,,0.3954565,,0.1227255,,0.05334393,,0.04413124,,1.048184,,1.146807,,0.3954565,,0.1227255,,0.05334393,,0.3018661,,0.006159263,,0.2141086,,0.2141086,,0.003386201,,0.02835899,,0.02835899,,0.2813713,,0.2813713,,
