EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:49:56 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.009102068,0.03764488,0.01968107,0.3612218,1.161415,0.8148602,0.2964186,0.1036404,0.04047899,0.03307795,0.2734191,0.00284034,0.1990397,0.001366092,0.0133082,0.00946913,0.1772304,0.3307846,16.09531,19.83896,12.80908,17.74037
1986,0.01446264,0.0589765,0.04274075,0.6252841,1.307958,1.183837,0.4118504,0.1275919,0.05450907,0.04532352,0.301679,0.006101972,0.2183888,0.003521432,0.02853017,0.02105554,0.297601,1.289278,20.06409,21.81152,12.0945,18.6966
1987,0.05368274,0.1335382,0.2579623,1.169569,2.65574,1.069597,0.5176959,0.1562516,0.05929385,0.05379813,0.3463681,0.01129866,0.5291354,0.01475312,0.1094221,0.03587373,0.6673641,5.310517,21.59762,25.91349,14.10649,22.46786
1988,0.2803029,0.2758908,0.8237319,1.275363,2.957561,1.458727,0.3279068,0.1416033,0.05390783,0.04708828,0.4081703,0.07415668,1.152045,0.0287903,0.2249148,0.08559375,1.203378,7.437244,17.44101,18.60865,12.00472,18.06304
1989,0.9454543,0.4838121,1.162105,0.9491198,3.263333,2.117321,0.5970411,0.1103717,0.05821783,0.04970277,0.4868053,0.1331651,1.805931,0.01914885,0.2323934,0.1687658,2.607981,7.498884,20.4675,29.33184,17.8203,26.07109
1990,1.835917,1.434808,1.832363,1.277789,3.41937,2.350003,0.8465646,0.2068778,0.04771686,0.05609435,0.6484336,0.1756307,2.771335,0.04064381,0.3311035,0.3853188,5.184643,8.985354,21.36553,26.32845,15.51467,24.05279
1991,1.446217,2.10874,2.004723,0.9100296,3.494536,1.969082,0.7670568,0.245217,0.07369907,0.04450123,0.8581746,0.1372747,2.697797,0.008045192,0.2217717,0.5313275,7.869463,3.309265,19.07546,22.98387,13.44131,21.01773
1992,1.167966,2.156502,1.940969,0.5149497,2.049862,1.883875,0.6529647,0.2350551,0.08653229,0.04663707,1.108233,0.06358138,2.018296,0.002177381,0.07638725,0.5684437,9.624604,0.4029972,16.33449,22.37076,13.663,20.21323
1993,0.9660293,2.104774,2.278591,0.4832073,1.799006,1.569212,0.8195853,0.2591221,0.0966919,0.05837361,1.406371,0.04850183,1.654545,0.001212409,0.03226324,0.727881,11.87258,0.1183899,17.52351,24.88645,13.91779,21.65328
1994,0.9711944,1.883868,2.97025,0.661362,1.819723,1.394563,0.638334,0.2985504,0.09096684,0.05567205,1.727884,0.0498881,1.518084,0.0009388276,0.02096205,0.932499,13.80888,0.06318419,18.18538,27.32351,15.30734,23.66851
1995,1.042901,1.752146,3.612836,0.6804143,1.55225,0.9594436,0.4163966,0.1681568,0.06637853,0.03242341,2.032647,0.06245555,1.53397,0.0006610591,0.01490577,0.8095565,12.12624,0.02283148,14.09637,19.12844,12.46199,18.07446
1996,1.053979,1.67105,4.063783,0.6506701,1.896689,1.334611,0.4201339,0.1492836,0.04789838,0.02767062,2.283554,0.06451331,1.582352,0.0008858888,0.01159354,0.8922393,14.91998,0.01783002,18.64121,32.80321,19.14714,27.76074
1997,1.153438,1.849657,4.802282,0.8611235,2.171708,1.172251,0.4717347,0.1316773,0.03851789,0.02010758,2.627787,0.05953634,1.690273,0.0008925612,0.01176205,1.235493,16.13073,0.02959273,18.5473,24.32104,12.54589,21.17672
1998,1.159932,1.983676,5.067962,0.6312356,2.241807,1.443543,0.3795878,0.131951,0.03083835,0.01488056,2.959519,0.06898795,1.792807,0.0007665795,0.01056181,1.132332,19.72887,0.01939128,18.30318,29.76562,16.54348,25.8117
1999,1.140254,2.095716,5.068523,0.5241166,1.592377,1.118334,0.4067913,0.09687164,0.02896826,0.01147449,3.30882,0.07161104,2.003693,0.0005796851,0.008079951,1.270656,16.94324,0.009222821,14.21686,21.59507,14.43874,20.40375
2000,1.131715,2.017617,4.918275,0.495703,1.43746,1.220117,0.4371074,0.1339607,0.02696803,0.01238829,3.575738,0.08157825,2.068918,0.0006096404,0.006798289,1.103855,18.79956,0.005676722,15.80785,25.73265,14.56116,22.73436
2001,1.100089,2.005935,4.891947,0.5328433,1.553236,0.8550212,0.4039084,0.122858,0.03223193,0.0113303,3.820892,0.07422812,2.034946,0.0005214789,0.006529843,1.179781,16.98163,0.003689002,14.38591,20.89033,12.06858,19.18572
2002,0.9747503,1.8138,4.434252,0.2936012,1.043735,0.8141789,0.2435557,0.09556624,0.02446263,0.009524242,3.909429,0.07297368,1.925372,0.0003319934,0.005015064,0.6405372,12.8011,0.001104972,11.39443,18.09101,13.28664,17.61234
2003,0.9705577,1.699159,4.133867,0.5912411,1.334381,1.102449,0.4443668,0.1065913,0.0341499,0.01327772,3.955693,0.0735924,1.903668,0.0006369854,0.006412089,1.029626,15.63473,0.002338028,19.27954,34.55241,19.25393,28.718
2004,1.07566,1.810737,4.375557,0.9666618,2.375693,0.866679,0.4141171,0.1394301,0.03032341,0.01458059,4.101222,0.0633951,2.010754,0.0008057221,0.0093968,1.420728,17.061,0.005913745,19.56959,28.0615,15.44159,24.28493
2005,1.129464,1.939438,4.793477,0.6902187,2.251227,1.386276,0.2875035,0.1133932,0.03348594,0.01267348,4.293901,0.06417935,2.16782,0.0007768382,0.01060566,1.271723,19.43923,0.006529888,17.34762,26.62799,16.40955,23.92348
2006,1.232188,2.108909,5.184646,0.6855516,2.193318,1.604632,0.5474152,0.09514419,0.03222047,0.01480509,4.550852,0.07816584,2.339313,0.0008870881,0.01094915,1.544522,22.68411,0.008980601,18.92019,31.80005,17.80405,27.49963
2007,1.379377,2.285983,5.473248,0.7430357,2.013033,1.256523,0.5321712,0.1529225,0.02556317,0.01449112,4.845794,0.08635639,2.481436,0.0007782569,0.01058431,1.548271,21.50537,0.009845858,16.17664,22.33594,12.27042,20.3066
2008,1.287949,2.232991,5.135433,0.4931778,1.73035,1.252435,0.4046349,0.1444544,0.03718142,0.0117996,4.989563,0.09144938,2.406805,0.0005701296,0.008853664,1.155165,20.03231,0.003652743,14.58535,26.28736,17.0467,24.15433
2009,1.304192,2.245996,4.929186,0.6982602,1.815688,1.249997,0.5154869,0.1442312,0.04299759,0.01617779,5.125811,0.1001182,2.443121,0.0007625734,0.00921999,1.554658,19.49497,0.004292553,16.77091,28.55536,16.91591,25.1488
2010,1.43081,2.327009,5.11481,0.9650156,2.362301,1.261236,0.5013135,0.1745818,0.0432867,0.01974436,5.287525,0.08855034,2.523619,0.0008634406,0.0114232,1.560158,22.72414,0.007500238,18.14249,28.18951,15.41465,24.69726
2011,1.370669,2.408482,5.410982,0.6836242,2.285734,1.3662,0.4197105,0.1373083,0.04348097,0.01765107,5.461229,0.08747926,2.591201,0.0007327283,0.01170572,1.563494,23.75593,0.004848944,16.25568,29.45567,18.92963,26.74405
2012,1.487483,2.574979,5.974735,0.6591159,1.798238,1.430811,0.4920672,0.1331714,0.03910179,0.01839783,5.734823,0.09385443,2.837692,0.0007631287,0.01141362,1.678897,24.38042,0.005265664,15.10448,22.05479,12.43051,20.41753
2013,1.356657,2.445912,5.705298,0.481708,1.605058,1.115271,0.4713492,0.1455114,0.03477443,0.0158827,5.85406,0.1009582,2.868764,0.0005806806,0.009394241,1.284696,22.22651,0.002003755,13.69495,23.78703,14.66776,22.05672
2014,1.302726,2.377125,5.449661,0.5474795,1.484091,1.028868,0.4099601,0.1508662,0.03942883,0.01522317,5.927738,0.09429824,2.937028,0.0006138953,0.008939263,1.346188,20.80395,0.001429596,13.91177,22.86718,14.25829,21.18971
