EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:49:56 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.008512118,0.03624148,0.01863681,0.2746212,0.9408811,0.7254176,0.2991113,0.1058604,0.03903873,0.03063661,0.271414,0.003920671,0.2156893,0.001209947,0.01264967,0.008049514,0.149781,0.2682328,14.35322,12.1805,6.16138,11.5868
2,0.008615237,0.03626506,0.01875779,0.2617198,0.912398,0.6984127,0.2836422,0.1019983,0.03784323,0.03013936,0.2710451,0.003554396,0.21152,0.001189125,0.01255266,0.007679249,0.1487583,0.2609654,14.06225,11.41569,6.764892,11.05739
3,0.00868684,0.03625987,0.01885856,0.2846907,0.8895683,0.6735629,0.2695337,0.09796986,0.03665926,0.02958669,0.270575,0.003221625,0.2073114,0.001164931,0.0124247,0.007406062,0.1473058,0.2528903,13.8057,10.8825,6.788093,10.74127
4,0.008768438,0.03616524,0.01893679,0.2889782,0.8466245,0.6372975,0.2526295,0.09261378,0.03506603,0.02867454,0.2699427,0.002911889,0.2029875,0.001128837,0.01223173,0.007006836,0.1441429,0.2415038,13.38661,9.283432,4.478328,9.218147
5,0.008769896,0.03604789,0.01898407,0.2887201,0.8696463,0.6385579,0.2468443,0.09034855,0.03457549,0.02852433,0.2691383,0.002640129,0.1987326,0.001109453,0.01206996,0.007069246,0.1433245,0.231782,13.29063,11.72671,11.83599,12.32782
6,0.008659941,0.0360715,0.01904813,0.2398988,0.9293808,0.6689384,0.2513572,0.09108035,0.03518317,0.02915154,0.2691021,0.002431612,0.1949499,0.001134433,0.01205476,0.008139554,0.1484405,0.2361694,13.89212,15.17061,13.26985,15.21485
7,0.008632118,0.03634221,0.01914975,0.2781952,1.019486,0.7192311,0.2627195,0.09380756,0.03657658,0.03034405,0.2697476,0.002296934,0.1917928,0.001194868,0.01219696,0.009341948,0.157979,0.2506922,14.75927,18.69671,14.70094,17.80463
8,0.008788394,0.03704144,0.0194116,0.5310937,1.238397,0.8268785,0.2913675,0.1017805,0.03996916,0.03302618,0.2713642,0.002274858,0.1903468,0.001327924,0.01270626,0.01095329,0.1764733,0.2858341,16.36499,26.39401,22.41647,23.85584
9,0.009140274,0.03803916,0.01992387,0.551575,1.423249,0.9266706,0.3188976,0.1093164,0.04339567,0.03574347,0.2744669,0.002363134,0.1907083,0.001493181,0.01351921,0.01205187,0.1982836,0.3488989,18.08228,29.41266,18.17277,25.17629
10,0.009609345,0.03913059,0.02052608,0.3748924,1.50626,0.9957027,0.3370539,0.1138435,0.04591072,0.03778483,0.2777456,0.002522203,0.191628,0.001634229,0.01442742,0.01201372,0.2168197,0.4214896,19.1455,28.61483,13.82197,23.62565
11,0.01019674,0.04102952,0.02135869,0.4332959,1.653884,1.105537,0.3652312,0.1211878,0.04966317,0.04075959,0.2811351,0.002792285,0.1942258,0.001816549,0.01569504,0.01205526,0.2389697,0.519298,20.55133,33.54272,22.54459,27.62901
12,0.01084548,0.0431046,0.02258067,0.5269808,1.707212,1.162115,0.3786357,0.1238775,0.05186657,0.04256421,0.2853532,0.003154347,0.1985846,0.001989632,0.01716999,0.01186301,0.2564865,0.6516587,21.44982,30.74714,12.75374,24.64677
13,0.01159195,0.04526537,0.02424593,0.4282157,1.70405,1.2221,0.3979546,0.1282906,0.05448258,0.04426732,0.2890134,0.003577476,0.1970297,0.002162464,0.01869025,0.0118511,0.2709342,0.7795212,21.77194,29.01165,13.424,23.20732
