EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:49:56 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.713278E-06,0.003363589,0.003420522,0.001291914,0.06809183,0.3814907,0.188103,0.05167766,0.01607781,0.00484367,0.005161467,0.003091901,0.05631047,1.484908E-05,0.002954912,0.004276329,0.07000962,0,0,0,0,0
1986,2.722297E-06,0.005825958,0.006166059,0.001509702,0.04999475,0.2863463,0.1131169,0.0243832,0.006939958,0.002093037,0.003346345,0.006611511,0.1568032,6.004426E-05,0.009347051,0.001045856,0.1000168,0,0,0,0,0
1987,1.010468E-05,0.008887437,0.01699923,0.003583153,0.1291152,0.3368368,0.1811081,0.03807583,0.01030729,0.003539137,0.003481691,0.02462138,0.3959967,0.000317252,0.02888362,0.01657951,0.1748557,0,0,0,0,0
1988,5.276128E-05,0.009498581,0.1409894,0.005038884,0.1897176,0.6038361,0.1452607,0.04222956,0.01071966,0.003505246,0.004162783,0.04345448,0.8304984,0.0007246535,0.1206897,0.004597363,0.3720839,0,0,0,0,0
1989,0.0001779624,0.009082633,0.05082692,0.003572866,0.1987524,0.9191987,0.3184162,0.04354945,0.01710489,0.005396325,0.005435882,0.1005034,0.6778359,0.0005659652,0.09445068,0.003474235,0.6976003,0,0,0,0,0
1990,0.0003455737,0.01342697,0.04724918,0.003611452,0.1548388,0.8283877,0.4164091,0.08069375,0.01457494,0.00622533,0.01699727,0.07666245,1.218018,0.003371572,0.06312819,0.003419248,1.062249,0,0,0,0,0
1991,0.0002722206,0.02725492,0.06373647,0.002775806,0.1684965,0.6480293,0.3105026,0.07312427,0.01603852,0.003544425,0.01411976,0.1158486,1.264005,0.0002550694,0.0718529,0.002014741,1.473016,0,0,0,0,0
1992,0.0002198457,0.02905362,0.07928307,0.0009014942,0.05754536,0.3991748,0.1980679,0.05662656,0.01537422,0.002901566,0.01836604,0.03892308,0.9090232,3.563315E-05,0.0233501,0.0004755555,1.852136,0,0,0,0,0
1993,0.0001818352,0.05534679,0.1314804,0.0009375475,0.05472916,0.2945296,0.1742054,0.03801852,0.009182832,0.001982951,0.02262068,0.01838888,0.7251086,8.061142E-06,0.004327901,0.001852723,2.057932,0,0,0,0,0
1994,0.0001828074,0.06613685,0.2400357,0.001253547,0.0543297,0.2414805,0.1175416,0.03583366,0.005381512,0.0007190941,0.02115391,0.01972319,0.6611308,1.018444E-05,0.002362985,0.002187953,2.176784,0,0,0,0,0
1995,0.0001963047,0.06999581,0.3735763,0.001478685,0.05387757,0.2154033,0.1167011,0.03467461,0.007309837,0.0004840531,0.0238368,0.01413871,0.5031561,6.456532E-06,0.001515298,0.01629505,3.015626,0,0,0,0,0
1996,0.00019839,0.06600145,0.3201953,0.001212915,0.05619389,0.2438035,0.08936908,0.02232836,0.00373144,0.0003542562,0.02810836,0.02608124,0.5601962,2.447074E-05,0.001948647,0.005224219,3.289991,0,0,0,0,0
