EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:49:56 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,7.383714,3.283026,2.039093,20.68309,10.52169,7.898568,6.919689,6.105236,5.467075,4.934982,2.113826,13.93902,3.447128,10.55212,4.257622,11.28967,4.400042,10.43469,14.79105,166.1772,0,0
1986,7.518365,4.176538,4.351985,15.54371,9.020617,5.982208,5.289476,4.772236,4.229455,3.916474,2.300396,11.67733,5.311513,8.777349,5.372696,9.843093,3.822025,11.18891,13.54167,158.8945,0,0
1987,8.844101,5.219759,6.373381,17.94838,7.998148,7.02424,5.391952,4.884552,4.395295,3.986567,2.769,13.04001,7.213247,9.403138,6.053656,10.34726,4.651571,12.77835,14.65564,164.4496,0,0
1988,7.672256,3.725131,3.713829,17.54008,6.381641,5.962841,5.473484,4.200809,3.704225,3.328894,2.613895,10.80089,5.487785,8.337965,4.547049,10.12148,4.124633,9.388522,14.28567,169.3969,0,0
1989,7.635809,2.748621,2.788598,17.42166,8.833711,7.256111,7.029079,6.512365,5.148233,4.689404,3.109516,11.90572,4.374319,12.95466,4.56739,10.38244,5.057286,14.29991,17.07813,177.7007,0,0
1990,6.42686,1.875221,2.703526,17.31883,7.637406,5.968965,5.287685,4.902869,4.433283,3.674311,3.419147,10.78693,4.058074,7.412767,3.961167,9.847116,4.316863,12.76079,15.60489,173.6224,0,0
1991,5.826303,1.444672,1.809236,17.77824,7.093752,6.166656,5.208514,4.533095,3.973104,3.64461,3.308152,10.72642,3.238504,13.84855,2.734957,10.50865,4.232472,11.63495,15.03044,168.2881,0,0
1992,7.403656,1.445431,2.009693,19.02157,9.964682,6.590917,5.886419,4.836097,4.201228,3.941831,3.128586,12.13161,3.233668,15.16515,2.479749,10.87786,4.260803,11.56819,16.13648,169.7562,0,0
1993,7.472158,1.641879,2.483585,18.58687,10.10624,6.866278,5.280795,4.829958,4.250509,4.173022,3.028701,11.65372,3.552699,10.84103,2.988807,10.35925,4.118109,12.64312,16.09078,165.3757,0,0
1994,7.564874,1.928836,2.574906,16.59667,10.20215,7.059505,5.9146,4.72239,4.903012,4.838048,2.888674,11.36172,3.790416,10.78036,3.457578,10.41811,4.459345,13.84994,16.88621,168.5962,0,0
1995,7.147272,1.866806,2.148497,20.46406,9.156791,6.809099,5.206607,4.623409,4.588719,4.892801,2.418977,11.16102,3.546876,12.2997,3.28565,11.7474,3.994734,10.0579,16.1891,169.5168,0,0
