EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:49:56 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FIB

year,value
1985,0.03789837
1986,0.01618123
1987,0.04874283
1988,0.1872107
1989,0.2651022
1990,0.4637441
1991,0.5517496
1992,0.5486577
1993,0.5924984
1994,0.6238612
1995,0.877082
1996,0.9487507
1997,1.077967
1998,1.240225
1999,1.151942
2000,1.115434
2001,1.218121
2002,0.829338
2003,1.136954
2004,1.276937
2005,1.393981
2006,1.689917
2007,1.685022
2008,1.541872
2009,1.888375
2010,1.405533
2011,1.489508
2012,1.617843
2013,1.44048
2014,1.363094
2015,1.253576
2016,1.266699
2017,1.217055
