EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:49:56 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.119172,0.6494476,0.3347434,1.850669,1.396381,1.812103,2.134567,1.537781,1.393971,0.8768559,0.3210949,3.292054,0.805992,1.456291,1.315159,1.627932,0.8224854,2.225339,2.464667,51.0422,110.426,0
2,1.119113,0.650535,0.3354066,1.8304,1.399321,1.809967,2.133037,1.545569,1.396331,0.8806589,0.3214473,3.27339,0.8068496,1.478721,1.320063,1.648961,0.8293569,2.258399,2.469221,48.36214,195.0653,0
3,1.123631,0.6510661,0.33578,1.746359,1.391436,1.806372,2.128401,1.550144,1.396848,0.8827582,0.3216056,3.270791,0.8073058,1.508653,1.323496,1.677431,0.8326623,2.263572,2.449354,47.27139,177.5169,0
4,1.122907,0.6526886,0.3361894,1.736731,1.425226,1.840796,2.15768,1.574698,1.414131,0.8942009,0.3218424,3.293266,0.808089,1.558244,1.330729,1.766194,0.8430924,2.293136,2.467014,52.54775,82.49545,0
5,1.134885,0.6531222,0.336743,1.578067,1.320189,1.737804,2.069583,1.525592,1.371453,0.8713358,0.3221156,3.313297,0.8081826,1.591839,1.327788,1.705543,0.8304176,2.281542,2.384486,34.65493,285.9437,0
6,1.148748,0.6505825,0.3364487,2.451732,1.269654,1.662407,1.985846,1.476196,1.328995,0.8486706,0.3212449,3.311897,0.8065921,1.568832,1.311853,1.589208,0.7975098,2.13905,2.271791,34.78844,209.871,0
7,1.13903,0.6461454,0.3357924,2.583875,1.237391,1.619788,1.934605,1.444495,1.300145,0.8325552,0.3203962,3.273972,0.8041946,1.53582,1.294483,1.55497,0.7760786,2.04547,2.269837,37.58413,217.7709,0
8,1.11595,0.6386844,0.3330301,1.368942,1.11765,1.514721,1.823132,1.370708,1.235906,0.7949671,0.3191611,3.127844,0.7970681,1.412505,1.256589,1.406757,0.7389252,1.898075,2.214096,33.50106,281.3405,0
9,1.089373,0.6338565,0.3289041,1.721209,1.182097,1.553654,1.847245,1.384043,1.242417,0.7973256,0.3172561,2.924503,0.7893752,1.278822,1.2292,1.361862,0.7327787,1.764023,2.287671,43.28608,165.4532,0
10,1.073369,0.6327426,0.3276795,1.824142,1.282537,1.61904,1.912605,1.426463,1.272851,0.8133094,0.3168357,2.699388,0.7868493,1.163189,1.224079,1.313202,0.7520642,1.782872,2.44426,49.74577,147.4371,0
