EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:49:56 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

year,fleet,group,value
1985,1,1,1.713278E-06
1985,3,11,0.005161467
1986,1,1,2.722297E-06
1986,3,11,0.003346345
1987,1,1,1.010468E-05
1987,3,11,0.003481691
1988,1,1,5.276128E-05
1988,3,11,0.004162783
1989,1,1,0.0001779624
1989,3,11,0.005435882
1990,1,1,0.0003455737
1990,3,11,0.01699727
1991,1,1,0.0002722206
1991,3,11,0.01411975
1992,1,1,0.0002198457
1992,3,11,0.01836604
1993,1,1,0.0001818352
1993,3,11,0.02262068
1994,1,1,0.0001828074
1994,3,11,0.02115391
1995,1,1,0.0001963047
1995,3,11,0.0238368
1996,1,1,0.00019839
1996,3,11,0.02810836
1997,1,1,0.0002171111
1997,3,11,0.01930153
1998,1,1,0.0002183335
1998,3,11,0.02255183
1999,1,1,0.0002146294
1999,3,11,0.01771999
2000,1,1,0.0002130222
2000,3,11,0.01248266
2001,1,1,0.0002070693
2001,3,11,0.006849439
2002,1,1,0.0001834768
2002,3,11,0.006460119
2003,1,1,0.0001826876
2003,3,11,0.003167614
2004,1,1,0.0002024709
2004,3,11,0.003792047
2005,1,1,0.0002125984
2005,3,11,0.003805486
2006,1,1,0.0002319341
2006,3,11,0.0048171
2007,1,1,0.0002596395
2007,3,11,0.006024444
2008,1,1,0.0002424301
2008,3,11,0.006043423
2009,1,1,0.0002454875
2009,3,11,0.005620258
2010,1,1,0.0002693206
2010,3,11,0.0056078
2011,1,1,0.0002580004
2011,3,11,0.009810756
2012,1,1,0.0002799882
2012,3,11,0.01093604
2013,1,1,0.0002553629
2013,3,11,0.007420102
2014,1,1,0.0002452115
2014,3,11,0.01080463
2015,1,1,0.0002277664
2015,3,11,0.00872412
2016,1,1,0.0002073407
2016,3,11,0.01217818
2017,1,1,0.0001817621
2017,3,11,0.01107062
