EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:49:56 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Value

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.602232E-06,0,0,0,0,0,0,0,0,0,0.005138372,0,0,0,0,0,0,0,0,0,0,0
2,1.621642E-06,0,0,0,0,0,0,0,0,0,0.005133013,0,0,0,0,0,0,0,0,0,0,0
3,1.635119E-06,0,0,0,0,0,0,0,0,0,0.005131085,0,0,0,0,0,0,0,0,0,0,0
4,1.650479E-06,0,0,0,0,0,0,0,0,0,0.00512799,0,0,0,0,0,0,0,0,0,0,0
5,1.650753E-06,0,0,0,0,0,0,0,0,0,0.005124683,0,0,0,0,0,0,0,0,0,0,0
6,1.630056E-06,0,0,0,0,0,0,0,0,0,0.005139309,0,0,0,0,0,0,0,0,0,0,0
7,1.624819E-06,0,0,0,0,0,0,0,0,0,0.005152331,0,0,0,0,0,0,0,0,0,0,0
8,1.654235E-06,0,0,0,0,0,0,0,0,0,0.005170803,0,0,0,0,0,0,0,0,0,0,0
9,1.720469E-06,0,0,0,0,0,0,0,0,0,0.00519877,0,0,0,0,0,0,0,0,0,0,0
10,1.808762E-06,0,0,0,0,0,0,0,0,0,0.005201402,0,0,0,0,0,0,0,0,0,0,0
11,1.919327E-06,0,0,0,0,0,0,0,0,0,0.005202726,0,0,0,0,0,0,0,0,0,0,0
12,2.041439E-06,0,0,0,0,0,0,0,0,0,0.00521712,0,0,0,0,0,0,0,0,0,0,0
13,2.181947E-06,0,0,0,0,0,0,0,0,0,0.003362586,0,0,0,0,0,0,0,0,0,0,0
14,2.320499E-06,0,0,0,0,0,0,0,0,0,0.003359446,0,0,0,0,0,0,0,0,0,0,0
15,2.4582E-06,0,0,0,0,0,0,0,0,0,0.003354166,0,0,0,0,0,0,0,0,0,0,0
16,2.586633E-06,0,0,0,0,0,0,0,0,0,0.003346769,0,0,0,0,0,0,0,0,0,0,0
17,2.692222E-06,0,0,0,0,0,0,0,0,0,0.00333821,0,0,0,0,0,0,0,0,0,0,0
18,2.753498E-06,0,0,0,0,0,0,0,0,0,0.003332081,0,0,0,0,0,0,0,0,0,0,0
19,2.766058E-06,0,0,0,0,0,0,0,0,0,0.003334399,0,0,0,0,0,0,0,0,0,0,0
20,2.776411E-06,0,0,0,0,0,0,0,0,0,0.003343231,0,0,0,0,0,0,0,0,0,0,0
21,2.834959E-06,0,0,0,0,0,0,0,0,0,0.003348158,0,0,0,0,0,0,0,0,0,0,0
22,2.951763E-06,0,0,0,0,0,0,0,0,0,0.003342387,0,0,0,0,0,0,0,0,0,0,0
23,3.086625E-06,0,0,0,0,0,0,0,0,0,0.003341289,0,0,0,0,0,0,0,0,0,0,0
24,3.258743E-06,0,0,0,0,0,0,0,0,0,0.003353418,0,0,0,0,0,0,0,0,0,0,0
25,3.57257E-06,0,0,0,0,0,0,0,0,0,0.003479707,0,0,0,0,0,0,0,0,0,0,0
26,4.129626E-06,0,0,0,0,0,0,0,0,0,0.003485298,0,0,0,0,0,0,0,0,0,0,0
27,4.92696E-06,0,0,0,0,0,0,0,0,0,0.003477794,0,0,0,0,0,0,0,0,0,0,0
28,5.833595E-06,0,0,0,0,0,0,0,0,0,0.003479169,0,0,0,0,0,0,0,0,0,0,0
29,6.954599E-06,0,0,0,0,0,0,0,0,0,0.003491024,0,0,0,0,0,0,0,0,0,0,0
30,8.387619E-06,0,0,0,0,0,0,0,0,0,0.003487555,0,0,0,0,0,0,0,0,0,0,0
31,1.000042E-05,0,0,0,0,0,0,0,0,0,0.00348225,0,0,0,0,0,0,0,0,0,0,0
32,1.16624E-05,0,0,0,0,0,0,0,0,0,0.003475628,0,0,0,0,0,0,0,0,0,0,0
33,1.32747E-05,0,0,0,0,0,0,0,0,0,0.003473875,0,0,0,0,0,0,0,0,0,0,0
34,1.505706E-05,0,0,0,0,0,0,0,0,0,0.003482503,0,0,0,0,0,0,0,0,0,0,0
35,1.732486E-05,0,0,0,0,0,0,0,0,0,0.003482918,0,0,0,0,0,0,0,0,0,0,0
36,2.013171E-05,0,0,0,0,0,0,0,0,0,0.003482574,0,0,0,0,0,0,0,0,0,0,0
37,2.341093E-05,0,0,0,0,0,0,0,0,0,0.004168644,0,0,0,0,0,0,0,0,0,0,0
38,2.705192E-05,0,0,0,0,0,0,0,0,0,0.004164989,0,0,0,0,0,0,0,0,0,0,0
39,3.10761E-05,0,0,0,0,0,0,0,0,0,0.004163854,0,0,0,0,0,0,0,0,0,0,0
40,3.557622E-05,0,0,0,0,0,0,0,0,0,0.004160766,0,0,0,0,0,0,0,0,0,0,0
41,4.048703E-05,0,0,0,0,0,0,0,0,0,0.004158209,0,0,0,0,0,0,0,0,0,0,0
42,4.588131E-05,0,0,0,0,0,0,0,0,0,0.004157972,0,0,0,0,0,0,0,0,0,0,0
43,5.168127E-05,0,0,0,0,0,0,0,0,0,0.004154944,0,0,0,0,0,0,0,0,0,0,0
44,5.815927E-05,0,0,0,0,0,0,0,0,0,0.004164605,0,0,0,0,0,0,0,0,0,0,0
45,6.612377E-05,0,0,0,0,0,0,0,0,0,0.004165006,0,0,0,0,0,0,0,0,0,0,0
46,7.509888E-05,0,0,0,0,0,0,0,0,0,0.004161872,0,0,0,0,0,0,0,0,0,0,0
47,8.431519E-05,0,0,0,0,0,0,0,0,0,0.004161325,0,0,0,0,0,0,0,0,0,0,0
48,9.42734E-05,0,0,0,0,0,0,0,0,0,0.004171212,0,0,0,0,0,0,0,0,0,0,0
49,0.0001054787,0,0,0,0,0,0,0,0,0,0.005401865,0,0,0,0,0,0,0,0,0,0,0
50,0.0001161352,0,0,0,0,0,0,0,0,0,0.005394165,0,0,0,0,0,0,0,0,0,0,0
51,0.0001250873,0,0,0,0,0,0,0,0,0,0.005389868,0,0,0,0,0,0,0,0,0,0,0
52,0.0001323917,0,0,0,0,0,0,0,0,0,0.005391467,0,0,0,0,0,0,0,0,0,0,0
53,0.0001390106,0,0,0,0,0,0,0,0,0,0.005399565,0,0,0,0,0,0,0,0,0,0,0
54,0.0001474813,0,0,0,0,0,0,0,0,0,0.00542173,0,0,0,0,0,0,0,0,0,0,0
55,0.000161043,0,0,0,0,0,0,0,0,0,0.005442146,0,0,0,0,0,0,0,0,0,0,0
56,0.000181203,0,0,0,0,0,0,0,0,0,0.005458366,0,0,0,0,0,0,0,0,0,0,0
57,0.0002075344,0,0,0,0,0,0,0,0,0,0.005470009,0,0,0,0,0,0,0,0,0,0,0
58,0.0002391538,0,0,0,0,0,0,0,0,0,0.005479826,0,0,0,0,0,0,0,0,0,0,0
59,0.0002740088,0,0,0,0,0,0,0,0,0,0.005491005,0,0,0,0,0,0,0,0,0,0,0
60,0.000307021,0,0,0,0,0,0,0,0,0,0.005490562,0,0,0,0,0,0,0,0,0,0,0
61,0.0003342326,0,0,0,0,0,0,0,0,0,0.01704161,0,0,0,0,0,0,0,0,0,0,0
