EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:37:13 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.9997508,1,1,0.8717298,1,1,1,1,1,1,1,0.9997939,1,0.9998747,1,0.9997531,1,1,1,1,1,1
2,0.9988986,1,1,0.852374,1,1,1,1,1,1,1,1.001965,1,0.9999904,1,1.000237,1,1,1,1,1,1
3,0.9992302,1,1,1.416409,1,1,1,1,1,1,1,1.005528,1,1.00043,1,1.00039,1,1,1,1,1,1
4,1.001944,1,1,1.411906,1,1,1,1,1,1,1,1.009632,1,1.000021,1,0.9997074,1,1,1,1,1,1
5,1.004424,1,1,1.220869,1,1,1,1,1,1,1,1.013823,1,0.9997122,1,0.9994659,1,1,1,1,1,1
6,1.00514,1,1,1.115628,1,1,1,1,1,1,1,1.017716,1,0.9991874,1,0.9997516,1,1,1,1,1,1
7,1.006184,1,1,1.057266,1,1,1,1,1,1,1,1.021861,1,0.9989994,1,0.9999027,1,1,1,1,1,1
8,1.007891,1,1,1.024739,1,1,1,1,1,1,1,1.026444,1,0.9990907,1,0.9998211,1,1,1,1,1,1
9,1.010052,1,1,1.006534,1,1,1,1,1,1,1,1.031361,1,0.9992838,1,0.9995719,1,1,1,1,1,1
10,1.012383,1,1,0.9963282,1,1,1,1,1,1,1,1.036257,1,0.9994163,1,0.9992414,1,1,1,1,1,1
11,1.014656,1,1,0.9906359,1,1,1,1,1,1,1,1.040572,1,0.9993706,1,0.9988949,1,1,1,1,1,1
12,1.016732,1,1,0.9875231,1,1,1,1,1,1,1,1.043634,1,0.9990752,1,0.998571,1,1,1,1,1,1
13,1.018541,1,1,0.9859052,1,1,1,1,1,1,1,1.044767,1,0.9984995,1,0.9982867,1,1,1,1,1,1
14,1.019938,1,1,0.9853886,1,1,1,1,1,1,1,1.044203,1,0.9975021,1,0.998073,1,1,1,1,1,1
15,1.020907,1,1,0.9857685,1,1,1,1,1,1,1,1.042207,1,0.9961717,1,0.9979389,1,1,1,1,1,1
16,1.021449,1,1,0.9624718,1,1,1,1,1,1,1,1.038922,1,0.9946005,1,0.9978741,1,1,1,1,1,1
17,1.021575,1,1,0.8479246,1,1,1,1,1,1,1,1.034445,1,0.9929339,1,0.997914,1,1,1,1,1,1
18,1.020483,1,1,0.9134991,1,1,1,1,1,1,1,1.028763,1,0.9912472,1,0.9982719,1,1,1,1,1,1
19,1.020626,1,1,0.9500624,1,1,1,1,1,1,1,1.022308,1,0.989655,1,0.9982387,1,1,1,1,1,1
20,1.021162,1,1,0.9706052,1,1,1,1,1,1,1,1.015193,1,0.9880446,1,0.9981514,1,1,1,1,1,1
21,1.021722,1,1,1.67699,1,1,1,1,1,1,1,1.007638,1,0.9863213,1,0.9981107,1,1,1,1,1,1
22,1.023895,1,1,1.31668,1,1,1,1,1,1,1,0.9999353,1,0.9839412,1,0.9975447,1,1,1,1,1,1
23,1.021499,1,1,1.165308,1,1,1,1,1,1,1,0.9917473,1,0.9802929,1,0.9983378,1,1,1,1,1,1
24,1.020306,1,1,1.082241,1,1,1,1,1,1,1,0.9845098,1,0.9772841,1,0.998857,1,1,1,1,1,1
25,1.020597,1,1,1.036792,1,1,1,1,1,1,1,0.9787602,1,0.9748144,1,0.9990017,1,1,1,1,1,1
26,1.022135,1,1,1.012069,1,1,1,1,1,1,1,0.9774095,1,0.9728426,1,0.9988276,1,1,1,1,1,1
27,1.02431,1,1,0.9988657,1,1,1,1,1,1,1,0.9785911,1,0.9713126,1,0.9984872,1,1,1,1,1,1
