EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:37:14 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

year,value
1985,1.478427
1986,1.532108
1987,1.561487
1988,1.664131
1989,1.636186
1990,1.632851
1991,1.596654
1992,1.523206
1993,1.537541
1994,1.499463
1995,1.565181
1996,1.540265
1997,1.491555
1998,1.467057
1999,1.428262
2000,1.410724
2001,1.397635
2002,1.404604
2003,1.423714
2004,1.438913
2005,1.444694
2006,1.450555
2007,1.471082
2008,1.49874
2009,1.528996
2010,1.558687
2011,1.579056
2012,1.573211
2013,1.57146
2014,1.567946
2015,1.5958
2016,1.60764
2017,1.630104
