EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:37:14 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,MortFleetGroup

timestep,fleet,group,value
1,1,1,1.568579E-05
1,3,11,0.001577655
2,1,1,1.568579E-05
2,3,11,0.001577659
3,1,1,1.568579E-05
3,3,11,0.001577643
4,1,1,1.568579E-05
4,3,11,0.001577599
5,1,1,1.568579E-05
5,3,11,0.001577526
6,1,1,1.568579E-05
6,3,11,0.001577444
7,1,1,1.568579E-05
7,3,11,0.001577346
8,1,1,1.568579E-05
8,3,11,0.001577232
9,1,1,1.568579E-05
9,3,11,0.001577103
10,1,1,1.568579E-05
10,3,11,0.001576957
11,1,1,1.568579E-05
11,3,11,0.001576795
12,1,1,1.568579E-05
12,3,11,0.001576616
13,1,1,1.568579E-05
13,3,11,0.001018232
14,1,1,1.568579E-05
14,3,11,0.001017523
15,1,1,1.568579E-05
15,3,11,0.001016797
16,1,1,1.568579E-05
16,3,11,0.001016053
17,1,1,1.568579E-05
17,3,11,0.001015291
18,1,1,1.568579E-05
18,3,11,0.001014512
19,1,1,1.568579E-05
19,3,11,0.001013711
20,1,1,1.568579E-05
20,3,11,0.00101289
21,1,1,1.568579E-05
21,3,11,0.001012049
22,1,1,1.568579E-05
22,3,11,0.001011183
23,1,1,1.568579E-05
23,3,11,0.001010301
24,1,1,1.568579E-05
24,3,11,0.001009393
25,1,1,1.568579E-05
25,3,11,0.00104188
26,1,1,1.568579E-05
26,3,11,0.001040937
27,1,1,1.568579E-05
27,3,11,0.001039971
28,1,1,1.568579E-05
28,3,11,0.00103898
29,1,1,1.568579E-05
29,3,11,0.001037965
30,1,1,1.568579E-05
30,3,11,0.001036925
31,1,1,1.568579E-05
31,3,11,0.001035857
32,1,1,1.568579E-05
32,3,11,0.00103476
33,1,1,1.568579E-05
33,3,11,0.001033641
34,1,1,1.568579E-05
34,3,11,0.001032511
35,1,1,1.568579E-05
35,3,11,0.001031355
36,1,1,1.568579E-05
36,3,11,0.001030167
37,1,1,1.568579E-05
37,3,11,0.001232948
38,1,1,1.568579E-05
38,3,11,0.001231718
39,1,1,1.568579E-05
39,3,11,0.001230454
40,1,1,1.568579E-05
40,3,11,0.001229151
41,1,1,1.568579E-05
41,3,11,0.001227807
42,1,1,1.568579E-05
42,3,11,0.001226427
43,1,1,1.568579E-05
43,3,11,0.001225009
44,1,1,1.568579E-05
44,3,11,0.001223557
45,1,1,1.568579E-05
45,3,11,0.001222052
46,1,1,1.568579E-05
46,3,11,0.001220517
47,1,1,1.568579E-05
47,3,11,0.00121893
48,1,1,1.568579E-05
48,3,11,0.00121731
49,1,1,1.568579E-05
49,3,11,0.0015765
50,1,1,1.568579E-05
50,3,11,0.001574848
51,1,1,1.568579E-05
51,3,11,0.001573129
52,1,1,1.568579E-05
52,3,11,0.001571332
53,1,1,1.568579E-05
53,3,11,0.00156946
54,1,1,1.568579E-05
54,3,11,0.001567514
55,1,1,1.568579E-05
55,3,11,0.001565492
56,1,1,1.568579E-05
56,3,11,0.001563395
57,1,1,1.568579E-05
57,3,11,0.001561226
58,1,1,1.568579E-05
58,3,11,0.001558984
59,1,1,1.568579E-05
59,3,11,0.001556673
60,1,1,1.568579E-05
60,3,11,0.001554292
61,1,1,1.568579E-05
61,3,11,0.004833136
62,1,1,1.568579E-05
62,3,11,0.004841025
63,1,1,1.568579E-05
63,3,11,0.004848471
64,1,1,1.568579E-05
64,3,11,0.004855482
65,1,1,1.568579E-05
65,3,11,0.00486206
66,1,1,1.568579E-05
66,3,11,0.004868208
67,1,1,1.568579E-05
67,3,11,0.004873925
68,1,1,1.568579E-05
68,3,11,0.004879214
69,1,1,1.568579E-05
69,3,11,0.004884077
70,1,1,1.568579E-05
70,3,11,0.004888516
71,1,1,1.568579E-05
71,3,11,0.004892535
72,1,1,1.568579E-05
72,3,11,0.004896135
73,1,1,1.568579E-05
73,3,11,0.004072929
74,1,1,1.568579E-05
74,3,11,0.004071881
75,1,1,1.568579E-05
75,3,11,0.004070499
76,1,1,1.568579E-05
76,3,11,0.00406879
77,1,1,1.568579E-05
77,3,11,0.004066758
78,1,1,1.568579E-05
78,3,11,0.004064401
79,1,1,1.568579E-05
79,3,11,0.004061768
80,1,1,1.568579E-05
80,3,11,0.004058792
81,1,1,1.568579E-05
81,3,11,0.004055523
82,1,1,1.568579E-05
82,3,11,0.00405197
83,1,1,1.568579E-05
83,3,11,0.004048138
84,1,1,1.568579E-05
84,3,11,0.004044032
85,1,1,1.568579E-05
85,3,11,0.005269117
86,1,1,1.568579E-05
86,3,11,0.005269499
87,1,1,1.568579E-05
87,3,11,0.005269475
88,1,1,1.568579E-05
88,3,11,0.005269064
89,1,1,1.568579E-05
89,3,11,0.005268267
90,1,1,1.568579E-05
90,3,11,0.005267106
91,1,1,1.568579E-05
91,3,11,0.005265573
92,1,1,1.568579E-05
