EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:37:13 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.122365,0.6488185,0.3351118,1.891825,1.359065,1.75042,2.068516,1.524361,1.366134,0.8675891,0.3209615,3.082862,0.8042782,1.441866,1.308718,1.572395,0.8174495,2.177883,2.432155,45.82768,186.4407,0
1986,1.125547,0.6584263,0.3052979,1.7859,1.330998,1.503798,1.635678,1.170763,1.074361,0.7546015,0.313955,2.701726,1.278279,1.423634,1.414847,1.143858,0.7568614,2.171479,2.433348,45.83434,186.4675,0
1987,1.124789,0.6247247,0.2264484,2.300316,1.35032,1.581323,1.742813,1.220155,1.120211,0.7769946,0.3141256,3.439606,1.288155,1.358541,1.331282,1.602708,0.6842105,2.162048,2.435327,45.79541,186.4471,0
1988,1.122512,0.5923279,0.3334013,2.428781,1.375253,1.696115,1.843721,1.29338,1.138188,0.785496,0.3163263,1.409692,1.23692,1.357741,1.611239,1.141559,0.7405031,2.180123,2.437983,45.73965,186.4848,0
1989,1.135275,0.5763597,0.2040103,1.872329,1.333283,1.730437,1.950517,1.398513,1.257103,0.8221394,0.3203325,1.778244,0.8623326,1.332993,1.462947,1.216437,0.7252722,2.235481,2.441423,45.70691,186.529,0
1990,1.140356,0.5663556,0.1854149,1.705764,1.287714,1.594074,1.911165,1.395216,1.268505,0.8344259,0.3607333,1.575911,0.9381202,1.453062,1.247617,1.278978,0.7088106,2.315003,2.444568,45.83212,186.4769,0
1991,1.144232,0.5697798,0.1912704,1.81252,1.344132,1.5472,1.764103,1.300578,1.177277,0.8067746,0.3503324,2.221623,0.9730436,1.586004,1.407251,1.34887,0.7396863,2.381271,2.448126,45.89594,186.363,0
1992,1.16338,0.5695996,0.2007448,1.729469,1.33338,1.481603,1.632228,1.203425,1.139029,0.7947161,0.364849,2.136696,0.9565714,1.650793,1.389122,1.406603,0.7920387,2.43329,2.452235,45.88431,186.3236,0
1993,1.192417,0.5817595,0.2177976,1.810536,1.326051,1.469826,1.602787,1.096423,1.024281,0.7694669,0.3795832,2.193567,0.9448964,1.701351,1.207222,1.456701,0.8160525,2.472191,2.456155,45.88605,186.3143,0
1994,1.217882,0.5902029,0.2412158,1.700256,1.321599,1.449123,1.588046,1.124998,1.009531,0.7451079,0.373884,2.433089,0.9427507,1.799776,1.191072,1.493954,0.8387396,2.482295,2.459697,45.89737,186.3049,0
1995,1.242626,0.5964052,0.2650214,2.27194,1.336651,1.495986,1.686661,1.2309,1.132649,0.7629598,0.3831655,2.398998,0.8308169,1.853211,1.18232,1.538103,0.9613047,2.465267,2.461219,45.8996,186.2762,0
1996,1.262786,0.5976549,0.2406395,1.732595,1.325379,1.471527,1.596732,1.161968,1.108707,0.8067947,0.3984978,2.670928,0.8619204,1.876792,1.253293,1.532193,0.9491376,2.42765,2.461978,45.88401,186.3137,0
1997,1.277102,0.6124652,0.2659899,1.788318,1.338479,1.501281,1.644818,1.148695,1.101063,0.8415308,0.3673094,2.574321,0.9392447,1.837229,1.314201,1.548968,0.9763537,2.384392,2.461657,45.91832,186.2887,0
1998,1.287636,0.6138888,0.3463643,1.937678,1.362241,1.574493,1.664743,1.19847,1.112679,0.8616784,0.3780916,2.338687,0.8666468,1.740803,1.375461,1.523828,0.9835796,2.346841,2.460955,45.9171,186.2746,0
1999,1.298636,0.6242515,0.400943,2.17275,1.368441,1.479287,1.592923,1.136697,1.136505,0.8634055,0.3612062,2.528159,0.7715401,1.6901,1.472898,1.521648,1.009124,2.319314,2.459849,45.87241,186.2926,0
2000,1.30669,0.646595,0.3614203,1.764574,1.320275,1.445497,1.572766,1.167316,1.124642,0.8862004,0.342439,2.468732,0.830372,1.559128,1.550725,1.515622,0.9857028,2.2956,2.457702,45.8365,186.3501,0
2001,1.29961,0.6423326,0.3752232,2.015371,1.33929,1.459296,1.637293,1.170944,1.168258,0.891923,0.3229658,2.646904,0.8912668,1.464538,1.382635,1.504797,1.040481,2.268173,2.454871,45.87944,186.3568,0
2002,1.294305,0.6279574,0.359721,2.44626,1.365201,1.449992,1.569073,1.191862,1.186135,0.9184327,0.3214095,2.502117,0.7449943,1.455594,1.457127,1.529351,1.017582,2.248364,2.453027,45.80442,186.3618,0
2003,1.296565,0.6390744,0.3807583,1.834646,1.324047,1.491204,1.559883,1.130156,1.21109,0.9436181,0.3108113,2.576876,0.7953784,1.440358,1.322722,1.482372,1.055591,2.236068,2.451396,45.77954,186.4262,0
2004,1.290966,0.6508153,0.365371,1.849171,1.335739,1.444698,1.646547,1.192288,1.189787,0.9661859,0.3127103,2.663189,0.8266314,1.456201,1.193922,1.479212,1.061906,2.217283,2.449001,45.83865,186.4151,0
2005,1.28408,0.6469839,0.3810849,1.920444,1.353011,1.486588,1.572144,1.218161,1.232556,0.9557729,0.3127401,2.708189,0.7863224,1.515792,1.239265,1.454014,1.054322,2.201097,2.447096,45.86064,186.384,0
2006,1.281051,0.6563187,0.4012296,1.843576,1.351111,1.473054,1.639447,1.231522,1.276192,0.947592,0.3157499,2.758738,0.8078141,1.54906,1.301785,1.576865,1.082214,2.182632,2.445548,45.83859,186.3859,0
2007,1.282471,0.6626955,0.4279169,2.154731,1.34437,1.457943,1.610434,1.20423,1.165825,0.9348717,0.3194203,2.682139,0.8341423,1.527496,1.358059,1.423015,1.07268,2.160416,2.443649,45.84352,186.4126,0
2008,1.283519,0.658002,0.4284116,1.962584,1.355915,1.413292,1.577847,1.185994,1.179576,0.89077,0.3196098,2.674394,0.8273699,1.494848,1.244861,1.426566,1.042702,2.1487,2.442348,45.73014,186.4518,0
2009,1.274301,0.6727438,0.468436,1.79303,1.292064,1.464292,1.570298,1.1687,1.179221,0.8917702,0.3185097,2.597359,0.8069388,1.477667,1.251148,1.377954,1.160364,2.133428,2.439756,45.78677,186.4905,0
2010,1.260759,0.6571327,0.3966657,1.933304,1.335807,1.421294,1.648964,1.213558,1.200409,0.8975549,0.3185299,2.687847,0.8588188,1.470821,1.130066,1.372569,0.9152558,2.129809,2.438708,45.84027,186.4532,0
2011,1.244394,0.6798374,0.404077,1.818008,1.332927,1.425881,1.556904,1.216159,1.188486,0.8961858,0.331183,2.701308,0.803576,1.519653,1.099379,1.388053,0.9400588,2.142007,2.439498,45.83846,186.4171,0
2012,1.235268,0.656387,0.390112,2.059756,1.328653,1.391278,1.552948,1.125425,1.149204,0.8908275,0.3348881,2.801912,0.7668843,1.568521,1.181795,1.379906,0.9520955,2.154608,2.44071,45.8384,186.4072,0
2013,1.240503,0.6605505,0.429002,1.809725,1.325326,1.387386,1.534568,1.111741,1.066836,0.8670084,0.3243016,2.738638,0.7244534,1.568518,1.168561,1.463956,0.9278918,2.16819,2.441954,45.81078,186.4264,0
2014,1.242874,0.6595326,0.4347401,1.766413,1.305616,1.421381,1.59681,1.147437,1.116735,0.8442851,0.3347983,2.845879,0.6920521,1.570935,1.123063,1.421462,0.9219399,2.179735,2.442631,45.83991,186.4232,0
2015,1.242944,0.6647004,0.4484522,1.754009,1.318847,1.42965,1.641741,1.175856,1.114378,0.8491642,0.3284114,2.6181,0.771332,1.59855,1.149629,1.404648,0.9081504,2.193754,2.443593,45.8853,186.3876,0
2016,1.242604,0.6735658,0.5277017,2.257707,1.333511,1.40627,1.604202,1.153018,1.095331,0.8401747,0.3392134,2.935926,0.6922074,1.632599,1.130806,1.442658,0.9304588,2.2018,2.444908,45.86967,186.3557,0
2017,1.248531,0.6718035,0.4594955,1.632467,1.302531,1.392919,1.548403,1.096653,1.053842,0.8298207,0.3358769,2.972033,0.9000488,1.641613,1.140976,1.46023,0.9510708,2.19757,2.445467,45.85102,186.3922,0
