EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:37:13 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of spiny dogfish"

year\group,"spiny dogfish",
1985,0.001209702
1986,0.001194047
1987,0.001171972
1988,0.001147798
1989,0.001115019
1990,0.001052923
1991,0.000990344
1992,0.0009481452
1993,0.0009109817
1994,0.0008874179
1995,0.0008896676
1996,0.0008890459
1997,0.0009006551
1998,0.00092074
1999,0.0009435819
2000,0.0009775488
2001,0.001030005
2002,0.001084702
2003,0.001138717
2004,0.001190003
2005,0.001229057
2006,0.001263487
2007,0.001289072
2008,0.001299316
2009,0.001315732
2010,0.001309559
2011,0.001282075
2012,0.001255929
2013,0.001237768
2014,0.001220389
2015,0.001202171
2016,0.001185183
2017,0.001172901
