EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:37:14 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,3.365988,3.587007,3.832131,2.599926,2.74483,2.74483,2.910439,2.910439,2.910439,2.910424,3.441775,3.996391,3.942019,3.670599,3.730063,3.368037,3.368053,3.062847,2.180331,2.379842,1,1
2,3.366112,3.585425,3.828487,2.583068,2.744877,2.744877,2.910484,2.910484,2.910484,2.910732,3.442876,3.995564,3.938289,3.670475,3.729124,3.368087,3.368061,3.062873,2.180325,2.379858,1,1
3,3.364434,3.582713,3.830677,2.54172,2.745633,2.745633,2.911235,2.911235,2.911235,2.911958,3.443954,3.997055,3.940628,3.670465,3.729162,3.368491,3.368425,3.063489,2.180361,2.380257,1,1
4,3.364808,3.587298,3.8408,2.583041,2.745581,2.745581,2.911187,2.911187,2.911187,2.912588,3.445386,3.999237,3.947411,3.671052,3.731412,3.368536,3.368432,3.063464,2.18037,2.38025,1,1
5,3.365611,3.589638,3.841834,2.599709,2.745156,2.745156,2.910766,2.910766,2.910766,2.913034,3.44657,3.999054,3.947736,3.671551,3.731792,3.368394,3.368254,3.06312,2.180351,2.380031,1,1
6,3.366112,3.588527,3.839097,2.587025,2.745104,2.745104,2.910712,2.910712,2.910712,2.914021,3.44763,3.998376,3.945905,3.671851,3.73135,3.368417,3.368247,3.063065,2.180345,2.379994,1,1
7,3.366167,3.588514,3.840508,2.579984,2.745238,2.745238,2.910844,2.910844,2.910844,2.915349,3.448707,3.998846,3.947817,3.672421,3.731727,3.368535,3.368339,3.063166,2.180346,2.380059,1,1
8,3.366162,3.589073,3.843589,2.576122,2.745442,2.745442,2.911048,2.911048,2.911048,2.916892,3.449814,3.999732,3.951216,3.673109,3.732477,3.368695,3.368476,3.063333,2.180352,2.380169,1,1
9,3.366214,3.589906,3.847156,2.574045,2.745659,2.745659,2.911264,2.911264,2.911264,2.918579,3.450943,4.000693,3.955112,3.673856,3.733358,3.368868,3.368631,3.063514,2.180362,2.380291,1,1
10,3.366347,3.590859,3.850689,2.572978,2.745859,2.745859,2.911465,2.911465,2.911465,2.920371,3.452086,4.001589,3.9591,3.674636,3.734255,3.369037,3.368788,3.063685,2.180373,2.380407,1,1
11,3.366554,3.591857,3.853984,2.572493,2.746031,2.74603,2.911638,2.911638,2.911638,2.922244,3.453236,4.00237,3.963037,3.675435,3.735113,3.369194,3.368937,3.063832,2.180384,2.380508,1,1
12,3.36682,3.59286,3.85698,2.572349,2.74617,2.74617,2.911778,2.911778,2.911778,2.924186,3.45439,4.003031,3.966884,3.676245,3.735914,3.369337,3.369076,3.063953,2.180393,2.380592,1,1
13,3.367274,3.594262,3.860206,2.572403,2.746279,2.746279,2.911888,2.911888,2.911888,2.92619,3.45661,4.003575,3.970532,3.67706,3.736633,3.36956,3.369273,3.064047,2.180399,2.380659,1,1
14,3.367783,3.595618,3.863058,2.57281,2.746334,2.746334,2.911944,2.911944,2.911944,2.926095,3.458907,4.003937,3.977091,3.677896,3.737254,3.369675,3.369421,3.064094,2.180399,2.380694,1,1
15,3.368344,3.596936,3.865397,2.57356,2.746348,2.746348,2.911958,2.911958,2.911958,2.925851,3.461266,4.004129,3.98315,3.6787,3.737767,3.369767,3.369547,3.064106,2.180394,2.380706,1,1
16,3.369062,3.598434,3.867114,2.577575,2.746277,2.746277,2.911889,2.911889,2.911889,2.925423,3.463696,4.004086,3.988593,3.679472,3.738178,3.369818,3.369629,3.064047,2.180381,2.38067,1,1
17,3.370308,3.600732,3.867672,2.592683,2.745908,2.745908,2.911521,2.911521,2.911521,2.924602,3.4662,4.003531,3.992883,3.680217,3.738463,3.369723,3.369562,3.063741,2.180346,2.380472,1,1
18,3.37051,3.599971,3.866437,2.568079,2.746076,2.746076,2.911686,2.911686,2.911686,2.924221,3.468663,4.003161,3.996814,3.680752,3.738142,3.369876,3.36974,3.063863,2.180335,2.380549,1,1
19,3.370811,3.602029,3.871732,2.57311,2.746127,2.746127,2.911736,2.911736,2.911736,2.92364,3.471324,4.004007,4.003941,3.681551,3.739129,3.369987,3.369869,3.063902,2.180321,2.380575,1,1
