EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:37:14 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

timestep,value
1,2.959207
2,2.959262
3,2.960378
4,2.96101
5,2.960494
6,2.959993
7,2.959878
8,2.959865
9,2.959831
10,2.959727
11,2.959541
12,2.959275
13,3.182699
14,3.171566
15,3.161263
16,3.15245
17,3.144408
18,3.137773
19,3.132526
20,3.127561
21,3.123993
22,3.119151
23,3.114219
24,3.111006
25,3.057135
26,3.055418
27,3.054296
28,3.052507
29,3.050011
30,3.047819
31,3.046121
32,3.044476
33,3.042126
34,3.040494
35,3.040503
36,3.040954
37,3.003629
38,3.004847
39,3.006253
40,3.008014
41,3.009606
42,3.011491
43,3.013237
44,3.017532
45,3.021754
46,3.026191
47,3.02995
48,3.033624
49,2.970517
50,2.975406
51,2.980471
52,2.985975
53,2.992177
54,2.998923
55,3.005531
56,3.010641
57,3.014678
58,3.018115
59,3.021549
60,3.024488
61,3.059529
62,3.062653
63,3.06616
64,3.069539
65,3.07194
66,3.073166
67,3.073174
68,3.072826
69,3.071205
70,3.069296
71,3.066606
72,3.063838
73,3.076276
74,3.071445
75,3.066399
76,3.061713
77,3.058181
78,3.053552
79,3.051124
80,3.04934
81,3.047962
82,3.047118
83,3.046723
84,3.046596
85,3.129017
86,3.127945
87,3.126973
88,3.126318
89,3.125707
90,3.125516
91,3.12562
92,3.126098
93,3.12682
94,3.127699
95,3.128692
96,3.129788
97,3.16118
98,3.162585
99,3.164184
100,3.165955
101,3.167867
102,3.16995
103,3.171541
104,3.173232
105,3.174541
106,3.175665
107,3.176962
108,3.178293
109,3.197221
110,3.198338
111,3.199181
112,3.199831
113,3.200258
114,3.200771
115,3.201488
116,3.202382
117,3.203515
118,3.204725
119,3.205919
120,3.20705
121,3.164658
122,3.166078
123,3.167991
124,3.170094
125,3.170222
126,3.171295
127,3.1707
128,3.170116
129,3.170134
130,3.169829
131,3.169239
132,3.168417
133,3.206461
134,3.204695
135,3.202943
136,3.201765
137,3.201575
138,3.201971
139,3.203146
140,3.204619
141,3.206198
142,3.207785
143,3.209335
144,3.21084
145,3.187944
146,3.189637
147,3.191301
148,3.192274
149,3.191657
150,3.190234
151,3.187093
152,3.183434
153,3.180014
154,3.175594
155,3.171835
156,3.169362
157,3.132946
158,3.131563
159,3.130296
160,3.129258
161,3.128578
162,3.128122
163,3.128035
164,3.128088
165,3.12835
166,3.129466
167,3.129022
168,3.128907
169,3.199945
170,3.198241
171,3.197158
172,3.196349
173,3.195385
174,3.195186
175,3.195054
176,3.194523
177,3.193175
178,3.191641
179,3.191545
180,3.192141
181,3.254278
182,3.254796
183,3.255376
184,3.255924
185,3.256404
186,3.256854
187,3.257753
188,3.259155
189,3.260975
190,3.262946
191,3.264431
192,3.265677
193,3.232264
194,3.232989
195,3.233063
196,3.232335
197,3.232042
198,3.231982
199,3.231241
200,3.22967
201,3.227183
202,3.225142
203,3.224607
204,3.219637
205,3.196006
206,3.197269
207,3.19659
208,3.195466
209,3.196793
210,3.195744
211,3.194505
212,3.195551
213,3.197175
214,3.19679
215,3.195616
216,3.196682
217,3.221873
218,3.22371
219,3.225658
220,3.22753
221,3.229302
222,3.230862
223,3.232153
224,3.233173
225,3.234132
226,3.235796
227,3.237418
228,3.237708
229,3.222908
230,3.222443
231,3.22067
232,3.218454
233,3.215836
234,3.21287
235,3.210251
236,3.208029
237,3.206056
238,3.202694
239,3.19884
240,3.195074
241,3.173888
242,3.170795
243,3.168219
244,3.165974
245,3.163993
246,3.162226
247,3.160507
248,3.159209
249,3.15773
250,3.155834
251,3.154384
252,3.153139
253,3.184146
254,3.182242
255,3.180342
256,3.178445
257,3.176565
258,3.174714
259,3.172912
260,3.17122
261,3.16976
262,3.168501
263,3.167378
264,3.166353
265,3.203116
266,3.201676
267,3.200358
268,3.199121
269,3.197961
270,3.196877
271,3.196296
272,3.193743
273,3.191059
274,3.192168
275,3.192789
276,3.191499
277,3.235605
278,3.236384
279,3.235843
280,3.235607
281,3.235245
282,3.234625
283,3.233759
284,3.232625
285,3.231253
286,3.230736
287,3.230982
288,3.231951
289,3.22965
290,3.230448
291,3.231296
292,3.232095
293,3.232815
294,3.233456
295,3.234029
296,3.234324
297,3.234756
298,3.233973
299,3.23219
300,3.228805
301,3.146372
302,3.143408
303,3.140221
304,3.137125
305,3.134275
306,3.131733
307,3.129553
308,3.128572
309,3.127322
310,3.12484
311,3.123791
312,3.12355
313,3.162827
314,3.162444
315,3.162019
316,3.161491
317,3.160845
318,3.160065
319,3.159152
320,3.158247
321,3.157755
322,3.15754
323,3.157473
324,3.157495
325,3.204537
326,3.204361
327,3.20447
328,3.204178
329,3.204472
330,3.206021
331,3.206906
332,3.206895
333,3.206056
334,3.20631
335,3.207093
336,3.20755
337,3.227368
338,3.227301
339,3.227398
340,3.227857
341,3.228107
342,3.228239
343,3.229194
344,3.230678
345,3.232344
346,3.234033
347,3.235715
348,3.237541
349,3.176891
350,3.179346
351,3.181644
352,3.183759
353,3.185985
354,3.18765
355,3.188658
356,3.188944
357,3.188995
358,3.188955
359,3.188893
360,3.188423
361,3.161698
362,3.161164
363,3.160613
364,3.160091
365,3.157746
366,3.155654
367,3.156194
368,3.156201
369,3.155952
370,3.15561
371,3.155878
372,3.1558
373,3.196201
374,3.195172
375,3.19545
376,3.195332
377,3.193451
378,3.192207
379,3.192327
380,3.19075
381,3.188218
382,3.187819
383,3.187627
384,3.187691
385,3.281777
386,3.278758
387,3.277185
388,3.276646
389,3.276858
390,3.277118
391,3.277414
392,3.27825
393,3.279418
394,3.280699
395,3.282042
396,3.283411
