EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:37:13 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Value

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.680775E-06,0,0,0,0,0,0,0,0,0,0.005140335,0,0,0,0,0,0,0,0,0,0,0
1986,1.86184E-06,0,0,0,0,0,0,0,0,0,0.003322667,0,0,0,0,0,0,0,0,0,0,0
1987,2.032989E-06,0,0,0,0,0,0,0,0,0,0.00343357,0,0,0,0,0,0,0,0,0,0,0
1988,2.309581E-06,0,0,0,0,0,0,0,0,0,0.004114842,0,0,0,0,0,0,0,0,0,0,0
1989,2.63562E-06,0,0,0,0,0,0,0,0,0,0.005337006,0,0,0,0,0,0,0,0,0,0,0
1990,2.923904E-06,0,0,0,0,0,0,0,0,0,0.0165812,0,0,0,0,0,0,0,0,0,0,0
1991,3.580333E-06,0,0,0,0,0,0,0,0,0,0.01380944,0,0,0,0,0,0,0,0,0,0,0
1992,4.677189E-06,0,0,0,0,0,0,0,0,0,0.01800569,0,0,0,0,0,0,0,0,0,0,0
1993,6.042866E-06,0,0,0,0,0,0,0,0,0,0.02219786,0,0,0,0,0,0,0,0,0,0,0
1994,7.478671E-06,0,0,0,0,0,0,0,0,0,0.02082042,0,0,0,0,0,0,0,0,0,0,0
1995,8.938653E-06,0,0,0,0,0,0,0,0,0,0.02360746,0,0,0,0,0,0,0,0,0,0,0
1996,1.023367E-05,0,0,0,0,0,0,0,0,0,0.02777407,0,0,0,0,0,0,0,0,0,0,0
1997,1.110386E-05,0,0,0,0,0,0,0,0,0,0.01912688,0,0,0,0,0,0,0,0,0,0,0
1998,1.165783E-05,0,0,0,0,0,0,0,0,0,0.02230386,0,0,0,0,0,0,0,0,0,0,0
1999,1.165677E-05,0,0,0,0,0,0,0,0,0,0.01762011,0,0,0,0,0,0,0,0,0,0,0
2000,1.099378E-05,0,0,0,0,0,0,0,0,0,0.01242657,0,0,0,0,0,0,0,0,0,0,0
2001,1.010348E-05,0,0,0,0,0,0,0,0,0,0.006840289,0,0,0,0,0,0,0,0,0,0,0
2002,9.631622E-06,0,0,0,0,0,0,0,0,0,0.006475119,0,0,0,0,0,0,0,0,0,0,0
2003,9.219848E-06,0,0,0,0,0,0,0,0,0,0.003167936,0,0,0,0,0,0,0,0,0,0,0
2004,8.84258E-06,0,0,0,0,0,0,0,0,0,0.003786419,0,0,0,0,0,0,0,0,0,0,0
2005,8.393705E-06,0,0,0,0,0,0,0,0,0,0.003794558,0,0,0,0,0,0,0,0,0,0,0
2006,8.151171E-06,0,0,0,0,0,0,0,0,0,0.004792529,0,0,0,0,0,0,0,0,0,0,0
2007,7.883782E-06,0,0,0,0,0,0,0,0,0,0.005999381,0,0,0,0,0,0,0,0,0,0,0
2008,7.254334E-06,0,0,0,0,0,0,0,0,0,0.006028391,0,0,0,0,0,0,0,0,0,0,0
2009,6.483516E-06,0,0,0,0,0,0,0,0,0,0.00560784,0,0,0,0,0,0,0,0,0,0,0
2010,5.722932E-06,0,0,0,0,0,0,0,0,0,0.005587915,0,0,0,0,0,0,0,0,0,0,0
2011,5.23469E-06,0,0,0,0,0,0,0,0,0,0.00976909,0,0,0,0,0,0,0,0,0,0,0
2012,5.335363E-06,0,0,0,0,0,0,0,0,0,0.01088758,0,0,0,0,0,0,0,0,0,0,0
2013,5.556832E-06,0,0,0,0,0,0,0,0,0,0.007409533,0,0,0,0,0,0,0,0,0,0,0
2014,5.693964E-06,0,0,0,0,0,0,0,0,0,0.01079239,0,0,0,0,0,0,0,0,0,0,0
2015,5.820206E-06,0,0,0,0,0,0,0,0,0,0.008730434,0,0,0,0,0,0,0,0,0,0,0
2016,6.033006E-06,0,0,0,0,0,0,0,0,0,0.01219261,0,0,0,0,0,0,0,0,0,0,0
2017,6.166869E-06,0,0,0,0,0,0,0,0,0,0.01109813,0,0,0,0,0,0,0,0,0,0,0
