EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:49:07 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TotalCatch

year,value
1985,0.7312658
1986,0.4529267
1987,0.5227407
1988,0.6533512
1989,0.7356891
1990,0.717849
1991,0.6947346
1992,0.5467642
1993,0.4818156
1994,0.4689529
1995,0.6755702
1996,0.6073452
1997,0.659144
1998,0.6714537
1999,0.5213468
2000,0.4226899
2001,0.5130373
2002,0.4681853
2003,0.4854933
2004,0.4888684
2005,0.4568408
2006,0.4417776
2007,0.3926874
2008,0.3384671
2009,0.4083546
2010,0.3808796
2011,0.3697269
2012,0.327089
2013,0.2971194
2014,0.3478931
2015,0.3942623
2016,0.3937474
2017,0.3741409
