EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:49:07 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,AvgWeightOrProdCons

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.003119878,0.087951,0.4466211,0.003052678,0.04679054,0.1492489,0.2906909,0.4383872,0.5584591,0.7082291,0.1773481,0.001110636,0.1515595,0.002382694,0.07295945,0.002741629,0.1175138,0.3000136,0.1950089,0.2965718,0,0
1986,0.003264984,0.08021251,0.418529,0.002860306,0.05132701,0.1493647,0.2921689,0.4658772,0.5858749,0.7091341,0.1773481,0.001014062,0.1850676,0.002463827,0.07096372,0.002910954,0.1195631,0.3000136,0.1950089,0.2965718,0,0
1987,0.003357415,0.07585451,0.403997,0.00277569,0.05433639,0.1761962,0.3096271,0.4893283,0.6545107,0.7669893,0.1773481,0.0009079056,0.25197,0.00254437,0.07422411,0.00275132,0.1266401,0.3000136,0.1950089,0.2965718,0,0
1988,0.003090807,0.07914104,0.4311683,0.00284908,0.05141667,0.1860671,0.3644867,0.519337,0.6855691,0.8445911,0.1773481,0.001491059,0.3027988,0.002701669,0.07554559,0.002903112,0.1338331,0.3000136,0.1950089,0.2965718,0,0
1989,0.002718816,0.08589409,0.510066,0.003189732,0.04625115,0.1630878,0.3696904,0.5890802,0.7053946,0.8726916,0.1773481,0.001724994,0.1991463,0.002652384,0.07657403,0.00307238,0.1170864,0.3000136,0.1950089,0.2965718,0,0
1990,0.002353254,0.08642197,0.6039155,0.00326962,0.04525116,0.1379396,0.3109159,0.5845249,0.7743547,0.873194,0.1773481,0.001658173,0.1849058,0.002407902,0.07712181,0.002890935,0.1164831,0.3000136,0.1950089,0.2965718,0,0
1991,0.002361618,0.07732534,0.6661075,0.003206967,0.04822369,0.1360653,0.2602314,0.4896642,0.7658241,0.9144821,0.1773481,0.001475898,0.1664316,0.002306965,0.07534584,0.002822692,0.1191388,0.3000136,0.1950089,0.2965718,0,0
1992,0.002476082,0.06449759,0.7041176,0.002916322,0.05299202,0.1543914,0.2639806,0.4162271,0.65567,0.9633722,0.1773481,0.001273336,0.1866844,0.002283623,0.07619847,0.002823999,0.1222511,0.3000136,0.1950089,0.2965718,0,0
1993,0.002529748,0.05624251,0.7437589,0.002660543,0.0544214,0.1775812,0.3027038,0.4192341,0.5636031,0.9090258,0.1773481,0.001242134,0.2091992,0.002226027,0.08031771,0.002847555,0.1254259,0.3000136,0.1950089,0.2965718,0,0
1994,0.002502382,0.05243308,0.7939017,0.002769513,0.05068533,0.1822974,0.3449779,0.4666744,0.5487566,0.7788949,0.1773481,0.001214255,0.229796,0.00218106,0.0848896,0.00286709,0.1261664,0.3000136,0.1950089,0.2965718,0,0
1995,0.002445069,0.04990618,0.822045,0.003003954,0.04633184,0.1599399,0.3428738,0.5156335,0.5873672,0.7038085,0.1773481,0.001207698,0.2452871,0.002131151,0.08739195,0.002912795,0.1224017,0.3000136,0.1950089,0.2965718,0,0
1996,0.00242995,0.04590228,0.7664061,0.003094317,0.04507014,0.1378649,0.2916926,0.5041477,0.6362521,0.6893899,0.1773481,0.001128375,0.2469842,0.002101509,0.0870804,0.002908211,0.116876,0.3000136,0.1950089,0.2965718,0,0
1997,0.002428922,0.04106034,0.6721308,0.003124136,0.04720969,0.1340936,0.2485514,0.422653,0.6129973,0.7058144,0.1773481,0.001097432,0.2572193,0.002115682,0.08619499,0.002866229,0.1156671,0.3000136,0.1950089,0.2965718,0,0
1998,0.002536424,0.03664411,0.5705557,0.002931867,0.05168688,0.1487658,0.2530381,0.3707237,0.5248306,0.7164922,0.1773481,0.001185389,0.2505636,0.002201428,0.08614314,0.002883407,0.116798,0.3000136,0.1950089,0.2965718,0,0
1999,0.002729536,0.03349586,0.4795535,0.002606071,0.05478327,0.1727952,0.294055,0.3948545,0.4827112,0.6868204,0.1773481,0.001194068,0.2324433,0.0023196,0.0866622,0.002938357,0.1184762,0.3000136,0.1950089,0.2965718,0,0
2000,0.002817024,0.03205753,0.4151162,0.002651064,0.05280509,0.1861034,0.3389334,0.4578315,0.5220366,0.6601853,0.1773481,0.001194759,0.22907,0.002442221,0.08590108,0.002974099,0.119019,0.3000136,0.1950089,0.2965718,0,0
2001,0.002704633,0.03215558,0.380688,0.002817479,0.04955991,0.1741847,0.3558994,0.515309,0.5970364,0.6866365,0.1773481,0.001145094,0.2335612,0.002426724,0.08462893,0.003019872,0.1174982,0.3000136,0.1950089,0.2965718,0,0
