EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,CatchFleetGroup

timestep,fleet,group,value
1,1,1,1.332637E-07
1,3,11,0.0004283262
2,1,1,1.34509E-07
2,3,11,0.0004282971
3,1,1,1.357306E-07
3,3,11,0.0004282652
4,1,1,1.369173E-07
4,3,11,0.0004282364
5,1,1,1.380663E-07
5,3,11,0.0004282134
6,1,1,1.391825E-07
6,3,11,0.0004281965
7,1,1,1.402754E-07
7,3,11,0.0004281852
8,1,1,1.413547E-07
8,3,11,0.0004281786
9,1,1,1.424286E-07
9,3,11,0.0004281752
10,1,1,1.435022E-07
10,3,11,0.0004281744
11,1,1,1.445772E-07
11,3,11,0.0004281751
12,1,1,1.457893E-07
12,3,11,0.0004281255
13,1,1,1.472079E-07
13,3,11,0.0002765448
14,1,1,1.485653E-07
14,3,11,0.0002763912
15,1,1,1.496405E-07
15,3,11,0.0002762504
16,1,1,1.503145E-07
16,3,11,0.0002761333
17,1,1,1.505681E-07
17,3,11,0.0002760421
18,1,1,1.504562E-07
18,3,11,0.0002759753
19,1,1,1.500747E-07
19,3,11,0.0002759289
20,1,1,1.495303E-07
20,3,11,0.0002758983
21,1,1,1.489185E-07
21,3,11,0.0002758793
22,1,1,1.483116E-07
22,3,11,0.0002758677
23,1,1,1.47753E-07
23,3,11,0.0002758609
24,1,1,1.467157E-07
24,3,11,0.0002759193
25,1,1,1.451581E-07
25,3,11,0.0002853918
26,1,1,1.441866E-07
26,3,11,0.0002857793
27,1,1,1.443447E-07
27,3,11,0.0002861293
28,1,1,1.456238E-07
28,3,11,0.0002864109
29,1,1,1.477201E-07
29,3,11,0.0002866227
30,1,1,1.502346E-07
30,3,11,0.0002867755
31,1,1,1.527965E-07
31,3,11,0.0002868828
32,1,1,1.551231E-07
32,3,11,0.0002869572
33,1,1,1.57035E-07
33,3,11,0.0002870085
34,1,1,1.584476E-07
34,3,11,0.0002870444
35,1,1,1.593513E-07
35,3,11,0.0002870702
36,1,1,1.598028E-07
36,3,11,0.000287084
37,1,1,1.598456E-07
37,3,11,0.0003439157
38,1,1,1.595461E-07
38,3,11,0.0003438996
39,1,1,1.589986E-07
39,3,11,0.000343885
40,1,1,1.583112E-07
40,3,11,0.0003438747
41,1,1,1.575952E-07
41,3,11,0.0003438692
42,1,1,1.569574E-07
42,3,11,0.0003438686
43,1,1,1.564965E-07
43,3,11,0.000343872
44,1,1,1.56303E-07
44,3,11,0.0003438788
45,1,1,1.564599E-07
45,3,11,0.0003438884
46,1,1,1.570444E-07
46,3,11,0.0003439003
47,1,1,1.581309E-07
47,3,11,0.000343914
48,1,1,1.59831E-07
48,3,11,0.0003439001
49,1,1,1.620621E-07
49,3,11,0.0004456838
50,1,1,1.646698E-07
50,3,11,0.0004455365
51,1,1,1.675605E-07
51,3,11,0.0004454052
52,1,1,1.707086E-07
52,3,11,0.0004453007
53,1,1,1.741506E-07
53,3,11,0.0004452249
54,1,1,1.779676E-07
54,3,11,0.0004451747
55,1,1,1.822653E-07
55,3,11,0.0004451456
56,1,1,1.87158E-07
56,3,11,0.0004451328
57,1,1,1.927557E-07
57,3,11,0.0004451318
