EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:48 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,7.087029,2.985902,1.793936,18.16302,9.058699,6.382626,5.28427,4.544301,4.169027,3.779558,1.806563,13.06939,3.1677,9.958549,3.764809,10.85825,3.645242,7.282461,12.39253,153.5799,0,0
2,7.081095,2.973558,1.783848,18.09464,9.003358,6.376957,5.323447,4.560554,4.167892,3.756351,1.801817,13.12649,3.176455,9.940619,3.756196,10.81746,3.624561,7.222594,12.33272,153.0534,0,0
3,7.074404,2.961469,1.774059,18.13804,8.969462,6.374253,5.357139,4.583898,4.169969,3.740118,1.796983,13.179,3.184774,9.930742,3.747116,10.81395,3.60617,7.16943,12.29462,152.9093,0,0
4,7.066134,2.949906,1.764881,18.22002,8.954757,6.377118,5.389933,4.615384,4.177012,3.73194,1.792813,13.22373,3.193114,9.930275,3.738765,10.83837,3.592531,7.126771,12.275,152.9714,0,0
5,7.058027,2.938955,1.756354,18.29906,8.954218,6.385073,5.423276,4.654031,4.18859,3.73108,1.789586,13.26129,3.201575,9.93804,3.731668,10.87572,3.583967,7.095098,12.26898,153.124,0,0
6,7.051581,2.928551,1.748395,18.35643,8.962449,6.396329,5.457017,4.697982,4.203265,3.736015,1.787307,13.29299,3.210137,9.951561,3.72589,10.91297,3.579677,7.073115,12.27186,153.2976,0,0
7,7.04752,2.91855,1.740839,18.38966,8.974895,6.408844,5.490413,4.745234,4.219333,3.745067,1.785852,13.31899,3.218702,9.968175,3.721236,10.94188,3.578449,7.058846,12.27981,153.4547,0,0
8,7.045858,2.908784,1.733496,18.40584,8.988274,6.420841,5.522678,4.794027,4.235222,3.756721,1.785047,13.33724,3.227145,9.985645,3.717403,10.95851,3.579068,7.050276,12.29008,153.5796,0,0
9,7.046152,2.899103,1.726193,18.41651,9.000553,6.431006,5.553237,4.843007,4.249674,3.769765,1.784721,13.34334,3.235349,10.0024,3.714076,10.96158,3.580519,7.045657,12.30088,153.6691,0,0
10,7.047754,2.88939,1.718799,18.43431,9.010733,6.4385,5.581792,4.891248,4.261784,3.783306,1.784728,13.33111,3.243222,10.01756,3.710989,10.95112,3.58205,7.04362,12.31115,153.7268,0,0
11,7.050012,2.87957,1.711239,18.47126,9.018545,6.442881,5.608299,4.938201,4.270971,3.796736,1.784955,13.29381,3.250709,10.03081,3.707951,10.92751,3.583162,7.043161,12.32036,153.7589,0,0
12,7.077401,2.854783,1.697883,17.78498,8.606178,6.125596,5.374884,4.751304,4.074979,3.629172,1.762905,13.19301,3.249113,9.966902,3.672343,10.67778,3.488703,6.699366,11.79275,146.3645,0,0
13,7.117332,2.818487,1.675707,17.23598,8.241253,5.730342,4.966314,4.407123,3.782787,3.408904,1.727328,13.14372,3.293659,9.876093,3.638644,10.076,3.326673,6.302725,11.37443,142.1235,0,0
14,7.107449,2.777534,1.648453,17.43407,8.007435,5.48792,4.717924,4.185133,3.588482,3.239162,1.691039,13.07105,3.310526,9.808184,3.583858,10.01514,3.195719,5.944741,11.08704,140.3461,0,0
15,7.059714,2.735137,1.616266,17.99207,7.900373,5.340733,4.547166,4.02752,3.452288,3.116695,1.658878,13.00335,3.322107,9.791471,3.527886,10.14288,3.096258,5.653578,10.91921,140.1388,0,0
16,6.994328,2.693714,1.581961,18.64391,7.901361,5.277989,4.449035,3.932262,3.371939,3.041193,1.632747,12.96089,3.330614,9.828293,3.476408,10.3746,3.032968,5.434988,10.84828,140.8632,0,0
17,6.929532,2.654644,1.547577,19.21373,7.983532,5.282728,4.41137,3.890107,3.339322,3.006282,1.612887,12.95236,3.337694,9.909147,3.432242,10.62842,3.003522,5.282517,10.84827,142.0352,0,0
18,6.878049,2.618422,1.514391,19.61279,8.118134,5.335916,4.419301,3.888939,3.344055,3.003023,1.598666,12.97858,3.344398,10.01916,3.396237,10.84743,3.002088,5.184097,10.8943,143.3029,0,0
19,6.846466,2.584967,1.483035,19.82514,8.27924,5.41918,4.457981,3.91644,3.375654,3.022079,1.589061,13.03574,3.351262,10.14231,3.367974,11.00453,3.021446,5.126258,10.96538,144.443,0,0
20,6.83611,2.55398,1.45371,19.88283,8.446849,5.516642,4.514297,3.961689,3.424834,3.055019,1.582951,13.11812,3.358459,10.26439,3.346356,11.09811,3.054379,5.096569,11.0457,145.3454,0,0
21,6.84456,2.525186,1.426407,19.83986,8.608198,5.615866,4.577762,4.015975,3.484178,3.095001,1.579302,13.22008,3.365968,10.37488,3.330072,11.14349,3.09455,5.084847,11.12476,145.9852,0,0
22,6.86724,2.498435,1.401067,19.75272,8.757385,5.708056,4.640757,4.072999,3.548307,3.136976,1.57726,13.33766,3.373703,10.46781,3.317891,11.16453,3.136993,5.083485,11.1966,146.3891,0,0
23,6.898814,2.473685,1.377652,19.66947,8.894003,5.787694,4.698304,4.12867,3.613714,3.177558,1.576181,13.46937,3.381594,10.54159,3.308815,11.18762,3.178224,5.087261,11.25863,146.6071,0,0
24,6.834447,2.480895,1.36483,21.72631,10.25797,6.716302,5.404784,4.770937,4.205566,3.67849,1.621013,13.69936,3.412966,10.77921,3.382603,11.82743,3.458975,5.83399,12.70423,166.228,0,0
25,6.751979,2.522537,1.372802,22.63402,11.33807,7.592503,6.190759,5.481659,4.854554,4.245829,1.70837,14.93581,3.480287,11.06576,3.523308,13.02356,3.882085,6.767144,13.80155,174.1106,0,0
26,6.882945,2.574507,1.400506,21.05898,11.81473,8.046216,6.679824,5.944601,5.290031,4.643419,1.797017,15.23771,3.565603,11.19154,3.681394,12.86128,4.227155,7.56378,14.37243,173.44,0,0
27,7.111794,2.631214,1.435986,19.20251,11.8852,8.185129,6.906337,6.177343,5.520002,4.86878,1.873178,15.40567,3.660946,11.10636,3.821031,12.14159,4.426175,8.178724,14.58012,170.1945,0,0
28,7.328236,2.689849,1.476129,17.81269,11.74095,8.124744,6.941258,6.235737,5.590562,4.957162,1.932817,15.39381,3.761033,10.86174,3.931721,11.3734,4.497654,8.620684,14.57177,166.7496,0,0
29,7.475563,2.747813,1.519545,16.99522,11.51025,7.960689,6.857911,6.181699,5.555836,4.952461,1.976915,15.23362,3.863603,10.53746,4.014075,10.78831,4.480728,8.920554,14.45216,163.8652,0,0
30,7.541374,2.8028,1.565269,16.64893,11.26706,7.757295,6.712565,6.064991,5.46079,4.892368,2.008327,14.98711,3.967596,10.20225,4.073311,10.43314,4.412002,9.113833,14.2869,161.6837,0,0
31,7.538401,2.85336,1.612597,16.61347,11.05036,7.552494,6.542259,5.919782,5.337157,4.804258,2.03017,14.70967,4.072409,9.901789,4.115699,10.27251,4.318332,9.232228,14.11321,160.1343,0,0
32,7.48864,2.899075,1.661276,16.74058,10.87514,7.36611,6.368797,5.767144,5.205046,4.706013,2.045162,14.43553,4.177652,9.659391,4.146967,10.24302,4.216932,9.30077,13.95006,159.0888,0,0
33,7.413827,2.940307,1.711561,16.88923,10.74646,7.206897,6.203571,5.618816,5.076047,4.608311,2.055431,14.17855,4.283,9.480684,4.171726,10.27571,4.117795,9.337683,13.8056,158.4191,0,0
34,7.331363,2.977974,1.764265,16.98187,10.65743,7.077405,6.051472,5.480494,4.956096,4.516928,2.062547,13.93888,4.388145,9.359032,4.193503,10.31205,4.026042,9.355434,13.68199,158.0167,0,0
35,7.253433,3.013165,1.820632,16.96326,10.60188,6.977057,5.913625,5.354233,4.847642,4.434518,2.067616,13.71,4.492714,9.280622,4.214865,10.31241,3.943804,9.362093,13.57833,157.7976,0,0
36,7.188826,3.044989,1.881682,16.87132,10.46731,6.875705,5.75841,5.211856,4.725562,4.338172,2.067705,13.48017,4.594052,9.227476,4.231495,10.25812,3.858722,9.307715,13.41961,156.8499,0,0
37,7.140279,3.065276,1.955688,16.8569,10.33584,6.839562,5.679707,5.11774,4.625634,4.247899,2.064699,12.10439,4.681146,9.21765,4.328134,9.913671,3.790141,9.241573,13.29532,156.4321,0,0
38,7.101931,3.085308,2.024038,16.95141,10.19608,6.798645,5.59326,5.029742,4.537404,4.168775,2.061216,11.9678,4.764759,9.242643,4.382064,9.946132,3.720871,9.180532,13.20424,156.3774,0,0
39,7.075005,3.105181,2.09826,17.10067,10.06311,6.774794,5.527777,4.960239,4.465818,4.102715,2.058237,11.84352,4.842466,9.294671,4.430994,10.00328,3.668145,9.129283,13.14013,156.5153,0,0
40,7.060135,3.125212,2.177558,17.26557,9.929876,6.762722,5.481709,4.906406,4.408363,4.048335,2.056153,11.73251,4.914035,9.362159,4.476552,10.06877,3.631879,9.08846,13.09625,156.7397,0,0
41,7.056431,3.145384,2.260539,17.42139,9.787114,6.757554,5.452476,4.8649,4.362066,4.003679,2.055037,11.6319,4.979413,9.434102,4.51959,10.13129,3.610917,9.056804,13.06676,156.9893,0,0
42,7.061937,3.165494,2.345383,17.5481,9.6284,6.756904,5.437194,4.832519,4.324138,3.966822,2.054807,11.54001,5.038745,9.502096,4.56038,10.18218,3.603715,9.032413,13.04713,157.2323,0,0
43,7.074384,3.185333,2.430327,17.64335,9.447331,6.762123,5.433123,4.80648,4.292209,3.936122,2.05534,11.4589,5.092414,9.561101,4.598881,10.22125,3.60831,9.013411,13.03412,157.4544,0,0
44,7.091362,3.20468,2.513668,17.71472,9.245216,6.773542,5.437896,4.784496,4.264387,3.910281,2.056502,11.39511,5.140917,9.609272,4.634782,10.2528,3.622644,8.998223,13.02549,157.6517,0,0
45,7.11052,3.223296,2.593754,17.76897,9.026982,6.79576,5.449672,4.76475,4.239212,3.888323,2.058179,11.35809,5.184797,9.647459,4.667583,10.28375,3.644708,8.98566,13.01979,157.8251,0,0
46,7.129856,3.240988,2.669192,17.81548,8.801693,6.827441,5.467175,4.745832,4.21559,3.869535,2.060276,11.36322,5.224546,9.67862,4.696785,10.32257,3.672611,8.974877,13.01611,157.9776,0,0
47,7.147645,3.257591,2.73879,17.86315,8.575121,6.872929,5.489699,4.726672,4.192703,3.853403,2.062717,11.43169,5.260544,9.707274,4.721935,10.37892,3.70464,8.965311,13.01387,158.1127,0,0
48,7.170786,3.262903,2.795434,17.49696,8.155775,6.697269,5.385719,4.583665,4.059826,3.739111,2.049643,11.57991,5.281577,9.693905,4.719419,10.34376,3.683488,8.707357,12.68295,154.0798,0,0
49,7.190467,3.252264,2.799495,17.26636,7.806779,6.513462,5.298645,4.480185,3.961274,3.626432,2.027993,11.57822,5.188064,9.610909,4.652856,10.17936,3.626416,8.414267,12.43273,152.0919,0,0
50,7.180618,3.237256,2.80758,17.43243,7.565841,6.359293,5.220107,4.381497,3.870953,3.531666,2.006199,11.4999,5.114544,9.524439,4.598405,10.16329,3.588276,8.151608,12.27051,151.5751,0,0
51,7.152369,3.219422,2.80173,17.76615,7.423244,6.258166,5.175869,4.319349,3.812398,3.465559,1.987499,11.44472,5.036544,9.455359,4.542431,10.24869,3.565837,7.938049,12.18321,151.8854,0,0
52,7.119313,3.199933,2.785162,18.1265,7.358961,6.206504,5.163086,4.292529,3.783684,3.426784,1.97302,11.41502,4.957415,9.410854,4.488428,10.38291,3.560752,7.776092,12.15243,152.5917,0,0
53,7.091621,3.179344,2.760052,18.4231,7.353399,6.191059,5.175038,4.295666,3.779466,3.410791,1.96275,11.41073,4.879844,9.391292,4.43786,10.51954,3.570536,7.660142,12.16013,153.4149,0,0
54,7.075643,3.157992,2.728342,18.62463,7.386804,6.197209,5.205499,4.321966,3.793341,3.412043,1.95615,11.42952,4.805561,9.394122,4.391186,10.63022,3.591007,7.581427,12.19117,154.1907,0,0
55,7.073848,3.136064,2.691651,18.73515,7.444106,6.208366,5.251444,4.364761,3.819139,3.425223,1.952491,11.46592,4.735465,9.415778,4.348212,10.70428,3.617728,7.530826,12.23411,154.8387,0,0
