EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.011077,1,1,1.025581,1,1,1,1,1,1,1,1.040002,1,1.021513,1,1.023546,1,1,1,1,1,1
1986,1.082429,1,1,1.295104,1,1,1,1,1,1,1,1.332904,1,1.248047,1,1.296659,1,1,1,1,1,1
1987,1.264266,1,1,0.8679721,1,1,1,1,1,1,1,1.647635,1,1.031244,1,0.9722589,1,1,1,1,1,1
1988,0.9321632,1,1,0.8333833,1,1,1,1,1,1,1,0.8934864,1,0.7184493,1,0.8047441,1,1,1,1,1,1
1989,0.7644637,1,1,1.003736,1,1,1,1,1,1,1,0.5248848,1,0.6902602,1,0.905302,1,1,1,1,1,1
1990,0.8764812,1,1,1.009593,1,1,1,1,1,1,1,0.5768709,1,0.8914025,1,0.9797503,1,1,1,1,1,1
1991,0.9673726,1,1,0.7315953,1,1,1,1,1,1,1,0.5746568,1,0.7427516,1,0.7649591,1,1,1,1,1,1
1992,0.7623541,1,1,1.35514,1,1,1,1,1,1,1,0.5135171,1,0.9074702,1,1.193226,1,1,1,1,1,1
1993,1.340477,1,1,0.9224765,1,1,1,1,1,1,1,1.1814,1,1.10684,1,1.036617,1,1,1,1,1,1
1994,1.17674,1,1,0.7500677,1,1,1,1,1,1,1,0.9706429,1,0.718703,1,0.7570245,1,1,1,1,1,1
1995,0.949112,1,1,0.861578,1,1,1,1,1,1,1,0.7503963,1,0.6798244,1,0.7843764,1,1,1,1,1,1
1996,0.9764699,1,1,0.9692789,1,1,1,1,1,1,1,0.8464543,1,0.8462984,1,0.9075291,1,1,1,1,1,1
1997,1.14046,1,1,1.092303,1,1,1,1,1,1,1,1.082029,1,1.010846,1,1.10674,1,1,1,1,1,1
1998,1.336294,1,1,0.7867991,1,1,1,1,1,1,1,0.9118529,1,0.7746312,1,0.883233,1,1,1,1,1,1
1999,1.163938,1,1,0.8527711,1,1,1,1,1,1,1,0.894419,1,0.7228447,1,0.8718715,1,1,1,1,1,1
2000,1.16605,1,1,0.9652529,1,1,1,1,1,1,1,0.9496832,1,0.7395675,1,0.9603224,1,1,1,1,1,1
2001,1.191525,1,1,0.881607,1,1,1,1,1,1,1,0.9546641,1,0.6728096,1,0.8980591,1,1,1,1,1,1
2002,1.143102,1,1,0.8874351,1,1,1,1,1,1,1,0.9816608,1,0.6742082,1,0.8904381,1,1,1,1,1,1
2003,1.144406,1,1,0.9728353,1,1,1,1,1,1,1,1.067315,1,0.7323496,1,0.981962,1,1,1,1,1,1
2004,1.219425,1,1,0.7785465,1,1,1,1,1,1,1,1.018695,1,0.620616,1,0.8227515,1,1,1,1,1,1
2005,1.015233,1,1,1.585389,1,1,1,1,1,1,1,1.192225,1,0.9498935,1,1.445808,1,1,1,1,1,1
2006,1.434057,1,1,0.7098061,1,1,1,1,1,1,1,0.9957316,1,0.5825514,1,0.8354723,1,1,1,1,1,1
2007,0.8891814,1,1,1.495328,1,1,1,1,1,1,1,1.201509,1,0.815877,1,1.256371,1,1,1,1,1,1
2008,1.330948,1,1,1.221434,1,1,1,1,1,1,1,1.590245,1,0.9777822,1,1.377337,1,1,1,1,1,1
2009,1.332823,1,1,1.044541,1,1,1,1,1,1,1,1.338069,1,0.82745,1,1.141067,1,1,1,1,1,1
2010,1.29772,1,1,0.6711804,1,1,1,1,1,1,1,1.413304,1,0.5537665,1,0.7444291,1,1,1,1,1,1
2011,0.8823936,1,1,1.623989,1,1,1,1,1,1,1,1.73595,1,0.9499119,1,1.431371,1,1,1,1,1,1
2012,1.412907,1,1,0.8662569,1,1,1,1,1,1,1,1.940225,1,0.8447307,1,1.020586,1,1,1,1,1,1
2013,1.03701,1,1,1.367846,1,1,1,1,1,1,1,1.926502,1,0.9849623,1,1.253618,1,1,1,1,1,1
2014,1.369403,1,1,1.194724,1,1,1,1,1,1,1,2,1,1.139557,1,1.365851,1,1,1,1,1,1
2015,1.350597,1,1,0.7263834,1,1,1,1,1,1,1,1.821036,1,0.7129042,1,0.8202946,1,1,1,1,1,1
2016,0.9720144,1,1,1.358547,1,1,1,1,1,1,1,1.764024,1,0.9520885,1,1.169191,1,1,1,1,1,1
2017,1.281169,1,1,1.44564,1,1,1,1,1,1,1,2,1,1.30084,1,1.542662,1,1,1,1,1,1
