EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,MortFleetGroup

timestep,fleet,group,value
1,1,1,1.568579E-05
1,3,11,0.001577655
2,1,1,1.568579E-05
2,3,11,0.001577681
3,1,1,1.568579E-05
3,3,11,0.001577815
4,1,1,1.568579E-05
4,3,11,0.001578066
5,1,1,1.568579E-05
5,3,11,0.001578423
6,1,1,1.568579E-05
6,3,11,0.001578866
7,1,1,1.568579E-05
7,3,11,0.00157937
8,1,1,1.568579E-05
8,3,11,0.001579916
9,1,1,1.568579E-05
9,3,11,0.001580488
10,1,1,1.568579E-05
10,3,11,0.001581071
11,1,1,1.568579E-05
11,3,11,0.001581658
12,1,1,1.568579E-05
12,3,11,0.001582243
13,1,1,1.568579E-05
13,3,11,0.00102249
14,1,1,1.568579E-05
14,3,11,0.00102294
15,1,1,1.568579E-05
15,3,11,0.00102396
16,1,1,1.568579E-05
16,3,11,0.001025502
17,1,1,1.568579E-05
17,3,11,0.001027483
18,1,1,1.568579E-05
18,3,11,0.001029808
19,1,1,1.568579E-05
19,3,11,0.001032388
20,1,1,1.568579E-05
20,3,11,0.001035148
21,1,1,1.568579E-05
21,3,11,0.00103803
22,1,1,1.568579E-05
22,3,11,0.001040993
23,1,1,1.568579E-05
23,3,11,0.001044008
24,1,1,1.568579E-05
24,3,11,0.001047057
25,1,1,1.568579E-05
25,3,11,0.001084679
26,1,1,1.568579E-05
26,3,11,0.001086357
27,1,1,1.568579E-05
27,3,11,0.001086563
28,1,1,1.568579E-05
28,3,11,0.001085439
29,1,1,1.568579E-05
29,3,11,0.00108325
30,1,1,1.568579E-05
30,3,11,0.001080267
31,1,1,1.568579E-05
31,3,11,0.001076717
32,1,1,1.568579E-05
32,3,11,0.001072778
33,1,1,1.568579E-05
33,3,11,0.001068577
34,1,1,1.568579E-05
34,3,11,0.001064202
35,1,1,1.568579E-05
35,3,11,0.001059712
36,1,1,1.568579E-05
36,3,11,0.001055146
37,1,1,1.568579E-05
37,3,11,0.001258821
38,1,1,1.568579E-05
38,3,11,0.001253639
39,1,1,1.568579E-05
39,3,11,0.001248537
40,1,1,1.568579E-05
40,3,11,0.001243509
41,1,1,1.568579E-05
41,3,11,0.001238537
42,1,1,1.568579E-05
42,3,11,0.001233606
43,1,1,1.568579E-05
43,3,11,0.001228696
44,1,1,1.568579E-05
44,3,11,0.001223794
45,1,1,1.568579E-05
45,3,11,0.001218887
46,1,1,1.568579E-05
46,3,11,0.001213966
47,1,1,1.568579E-05
47,3,11,0.001209022
48,1,1,1.568579E-05
48,3,11,0.001204052
49,1,1,1.568579E-05
49,3,11,0.001555101
50,1,1,1.568579E-05
50,3,11,0.001549807
51,1,1,1.568579E-05
51,3,11,0.001545043
52,1,1,1.568579E-05
52,3,11,0.001540747
53,1,1,1.568579E-05
53,3,11,0.001536823
54,1,1,1.568579E-05
54,3,11,0.00153317
55,1,1,1.568579E-05
55,3,11,0.001529698
56,1,1,1.568579E-05
56,3,11,0.001526334
57,1,1,1.568579E-05
57,3,11,0.001523022
58,1,1,1.568579E-05
58,3,11,0.001519719
59,1,1,1.568579E-05
59,3,11,0.0015164
60,1,1,1.568579E-05
60,3,11,0.001513046
61,1,1,1.568579E-05
61,3,11,0.004701756
62,1,1,1.568579E-05
62,3,11,0.004706119
63,1,1,1.568579E-05
63,3,11,0.004710269
64,1,1,1.568579E-05
64,3,11,0.00471418
65,1,1,1.568579E-05
65,3,11,0.004717814
66,1,1,1.568579E-05
66,3,11,0.004721129
67,1,1,1.568579E-05
67,3,11,0.00472409
68,1,1,1.568579E-05
68,3,11,0.004726669
69,1,1,1.568579E-05
69,3,11,0.004728844
70,1,1,1.568579E-05
70,3,11,0.004730603
71,1,1,1.568579E-05
71,3,11,0.004731939
72,1,1,1.568579E-05
72,3,11,0.00473285
73,1,1,1.568579E-05
73,3,11,0.00393423
74,1,1,1.568579E-05
74,3,11,0.003926882
75,1,1,1.568579E-05
75,3,11,0.003915146
76,1,1,1.568579E-05
76,3,11,0.003899326
77,1,1,1.568579E-05
77,3,11,0.003880049
78,1,1,1.568579E-05
78,3,11,0.003857991
79,1,1,1.568579E-05
79,3,11,0.003833753
80,1,1,1.568579E-05
80,3,11,0.003807824
81,1,1,1.568579E-05
81,3,11,0.003780582
82,1,1,1.568579E-05
82,3,11,0.003752309
83,1,1,1.568579E-05
83,3,11,0.003723214
84,1,1,1.568579E-05
84,3,11,0.003693447
85,1,1,1.568579E-05
85,3,11,0.0047797
86,1,1,1.568579E-05
86,3,11,0.004753505
87,1,1,1.568579E-05
87,3,11,0.004734079
88,1,1,1.568579E-05
88,3,11,0.004720981
89,1,1,1.568579E-05
89,3,11,0.004713409
90,1,1,1.568579E-05
90,3,11,0.004710469
91,1,1,1.568579E-05
91,3,11,0.004711306
92,1,1,1.568579E-05
