EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:48 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of spiny dogfish"

year\group,"spiny dogfish",
1985,0.001217438
1986,0.001268047
1987,0.001144992
1988,0.001078168
1989,0.00108672
1990,0.001044797
1991,0.0009093417
1992,0.0009863664
1993,0.0009631764
1994,0.0008675336
1995,0.0008880144
1996,0.0009525215
1997,0.001073633
1998,0.001086827
1999,0.00112831
2000,0.00120945
2001,0.001253923
2002,0.001307556
2003,0.001393182
2004,0.001393345
2005,0.001562267
2006,0.001464957
2007,0.001580319
2008,0.001688002
2009,0.001657898
2010,0.001493937
2011,0.001609469
2012,0.001501371
2013,0.001520052
2014,0.001546421
2015,0.00133735
2016,0.001379323
2017,0.001452788
