EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

year,value
1985,1.455963
1986,1.451792
1987,1.386534
1988,1.426352
1989,1.510159
1990,1.533647
1991,1.503098
1992,1.600715
1993,1.509686
1994,1.519253
1995,1.609059
1996,1.662265
1997,1.658933
1998,1.553011
1999,1.565319
2000,1.586973
2001,1.57589
2002,1.584256
2003,1.590653
2004,1.537254
2005,1.601889
2006,1.429333
2007,1.544731
2008,1.503955
2009,1.45303
2010,1.379494
2011,1.468604
2012,1.411687
2013,1.477324
2014,1.439858
2015,1.366257
2016,1.463528
2017,1.473672
