EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:42:38 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FIB

year,value
1985,0.02704044
1986,0.0009115388
1987,0.008469949
1988,0.01869354
1989,0.02195073
1990,0.01334719
1991,0.01055551
1992,-8.779837E-05
1993,-0.002394716
1994,-0.003362937
1995,0.004952832
1996,-0.0001650622
1997,0.003659347
1998,0.007835454
1999,-0.0002110739
2000,-0.005490275
2001,-0.001336067
2002,-0.0037713
2003,-0.003441923
2004,-0.002599692
2005,-0.00163854
2006,-0.002412212
2007,-0.004154867
2008,-0.006838486
2009,-0.003590396
2010,-0.00428624
2011,-0.005936692
2012,-0.007872195
2013,-0.008560109
2014,-0.00617449
2015,-0.003878172
2016,-0.005043022
2017,-0.006954352
