EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:42:38 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

timestep,fleet,group,value
1,1,1,1.332505E-07
1,3,11,0.0004283338
2,1,1,1.344674E-07
2,3,11,0.0004283386
3,1,1,1.35682E-07
3,3,11,0.0004283438
4,1,1,1.369068E-07
4,3,11,0.000428349
5,1,1,1.381474E-07
5,3,11,0.000428354
6,1,1,1.394044E-07
6,3,11,0.0004283591
7,1,1,1.406758E-07
7,3,11,0.000428364
8,1,1,1.419578E-07
8,3,11,0.0004283688
9,1,1,1.432457E-07
9,3,11,0.0004283735
10,1,1,1.445342E-07
10,3,11,0.0004283781
11,1,1,1.458185E-07
11,3,11,0.0004283826
12,1,1,1.47094E-07
12,3,11,0.000428387
13,1,1,1.483645E-07
13,3,11,0.0002768593
14,1,1,1.496335E-07
14,3,11,0.0002768639
15,1,1,1.508968E-07
15,3,11,0.0002768686
16,1,1,1.521502E-07
16,3,11,0.0002768735
17,1,1,1.533911E-07
17,3,11,0.0002768785
18,1,1,1.546176E-07
18,3,11,0.0002768837
19,1,1,1.558292E-07
19,3,11,0.0002768892
20,1,1,1.570262E-07
20,3,11,0.0002768948
21,1,1,1.5821E-07
21,3,11,0.0002769007
22,1,1,1.593824E-07
22,3,11,0.0002769066
23,1,1,1.605458E-07
23,3,11,0.0002769127
24,1,1,1.617029E-07
24,3,11,0.0002769189
25,1,1,1.628938E-07
25,3,11,0.0002860912
26,1,1,1.640971E-07
26,3,11,0.0002860983
27,1,1,1.653308E-07
27,3,11,0.0002861054
28,1,1,1.666053E-07
28,3,11,0.0002861126
29,1,1,1.679297E-07
29,3,11,0.0002861197
30,1,1,1.693134E-07
30,3,11,0.0002861267
31,1,1,1.707661E-07
31,3,11,0.0002861338
32,1,1,1.722986E-07
32,3,11,0.0002861408
33,1,1,1.739228E-07
33,3,11,0.0002861479
34,1,1,1.756516E-07
34,3,11,0.000286155
35,1,1,1.774989E-07
35,3,11,0.0002861621
36,1,1,1.794795E-07
36,3,11,0.0002861693
37,1,1,1.815586E-07
37,3,11,0.0003428416
38,1,1,1.837389E-07
38,3,11,0.000342851
39,1,1,1.860247E-07
39,3,11,0.0003428608
40,1,1,1.884191E-07
40,3,11,0.0003428708
41,1,1,1.909235E-07
41,3,11,0.0003428813
42,1,1,1.935373E-07
42,3,11,0.0003428921
43,1,1,1.962575E-07
43,3,11,0.0003429032
44,1,1,1.990793E-07
44,3,11,0.0003429145
45,1,1,2.019956E-07
45,3,11,0.000342926
46,1,1,2.049975E-07
46,3,11,0.0003429375
47,1,1,2.080743E-07
47,3,11,0.000342949
48,1,1,2.112142E-07
48,3,11,0.0003429604
49,1,1,2.142933E-07
49,3,11,0.0004446204
50,1,1,2.172915E-07
50,3,11,0.000444641
51,1,1,2.201943E-07
51,3,11,0.0004446617
52,1,1,2.229904E-07
52,3,11,0.0004446825
53,1,1,2.256731E-07
53,3,11,0.0004447034
54,1,1,2.282402E-07
54,3,11,0.0004447242
55,1,1,2.306935E-07
55,3,11,0.000444745
56,1,1,2.330382E-07
56,3,11,0.0004447658
57,1,1,2.35283E-07
57,3,11,0.0004447864
58,1,1,2.374388E-07
58,3,11,0.0004448069
59,1,1,2.39519E-07
59,3,11,0.0004448271
60,1,1,2.415392E-07
60,3,11,0.0004448472
61,1,1,2.437055E-07
61,3,11,0.001381013
62,1,1,2.460406E-07
62,3,11,0.001381142
63,1,1,2.485599E-07
63,3,11,0.00138127
64,1,1,2.512813E-07
64,3,11,0.001381397
65,1,1,2.542224E-07
65,3,11,0.001381524
66,1,1,2.574012E-07
66,3,11,0.00138165
67,1,1,2.60835E-07
67,3,11,0.001381775
68,1,1,2.645405E-07
68,3,11,0.0013819
69,1,1,2.68534E-07
69,3,11,0.001382023
70,1,1,2.728306E-07
70,3,11,0.001382145
71,1,1,2.774442E-07
71,3,11,0.001382265
72,1,1,2.823881E-07
72,3,11,0.001382385
73,1,1,2.874424E-07
73,3,11,0.001150258
74,1,1,2.926219E-07
74,3,11,0.001150353
75,1,1,2.979397E-07
75,3,11,0.001150447
76,1,1,3.034043E-07
76,3,11,0.001150539
77,1,1,3.090231E-07
77,3,11,0.00115063
78,1,1,3.148024E-07
78,3,11,0.001150718
79,1,1,3.207485E-07
79,3,11,0.001150805
80,1,1,3.268674E-07
80,3,11,0.00115089
81,1,1,3.331647E-07
81,3,11,0.001150974
82,1,1,3.396464E-07
82,3,11,0.001151055
83,1,1,3.463186E-07
83,3,11,0.001151135
84,1,1,3.531876E-07
84,3,11,0.001151213
85,1,1,3.602264E-07
85,3,11,0.001499846
86,1,1,3.674222E-07
86,3,11,0.001499959
87,1,1,3.747586E-07
87,3,11,0.00150007
88,1,1,3.822275E-07
88,3,11,0.001500178
89,1,1,3.898258E-07
89,3,11,0.001500284
90,1,1,3.975531E-07
90,3,11,0.001500387
91,1,1,4.054106E-07
91,3,11,0.001500487
92,1,1,4.13401E-07
92,3,11,0.001500586
93,1,1,4.215273E-07
93,3,11,0.001500681
94,1,1,4.297927E-07
94,3,11,0.001500774
95,1,1,4.382004E-07
95,3,11,0.001500864
96,1,1,4.467533E-07
96,3,11,0.001500952
97,1,1,4.554696E-07
97,3,11,0.001849034
98,1,1,4.643269E-07
98,3,11,0.001849175
99,1,1,4.733053E-07
99,3,11,0.001849311
100,1,1,4.823922E-07
100,3,11,0.001849444
101,1,1,4.915802E-07
101,3,11,0.001849574
102,1,1,5.008656E-07
102,3,11,0.001849699
103,1,1,5.102471E-07
103,3,11,0.001849821
104,1,1,5.197257E-07
104,3,11,0.001849938
105,1,1,5.293033E-07
105,3,11,0.001850052
106,1,1,5.389821E-07
106,3,11,0.001850163
107,1,1,5.487645E-07
107,3,11,0.001850269
108,1,1,5.586525E-07
108,3,11,0.001850372
109,1,1,5.686785E-07
109,3,11,0.001734487
110,1,1,5.78829E-07
110,3,11,0.001734584
111,1,1,5.890919E-07
111,3,11,0.001734677
112,1,1,5.994544E-07
112,3,11,0.001734766
113,1,1,6.099044E-07
113,3,11,0.00173485
114,1,1,6.20431E-07
114,3,11,0.001734931
115,1,1,6.310238E-07
115,3,11,0.001735008
116,1,1,6.416731E-07
116,3,11,0.001735082
117,1,1,6.523696E-07
117,3,11,0.001735151
118,1,1,6.631043E-07
118,3,11,0.001735217
119,1,1,6.73868E-07
119,3,11,0.00173528
120,1,1,6.846522E-07
120,3,11,0.001735339
121,1,1,6.954945E-07
121,3,11,0.001967369
122,1,1,7.063347E-07
122,3,11,0.001967336
123,1,1,7.171424E-07
123,3,11,0.001967304
124,1,1,7.278966E-07
124,3,11,0.001967272
