EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:32:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,7.072765,3.005548,1.842003,19.50207,8.399734,6.501115,5.557567,4.821449,4.294105,3.835052,1.814263,13.24115,3.275212,9.95658,3.794588,10.8843,3.646138,7.318232,12.46646,154.7619,0,0
1986,7.083102,2.925712,1.834435,15.08131,8.297752,6.180971,5.350288,4.769618,4.166732,3.770972,1.826563,12.99014,3.653501,9.970325,3.867601,10.50813,3.606321,7.329374,12.47168,154.6196,0,0
1987,7.108305,2.848372,1.81786,19.54536,8.876888,6.293421,5.200842,4.645823,4.136931,3.693913,1.843399,13.6105,4.143302,9.932698,3.850129,10.93233,3.627961,7.333939,12.47723,154.4953,0,0
1988,7.114126,2.791559,2.037306,16.26609,7.721137,6.544835,5.405711,4.639069,4.121588,3.717089,1.86507,11.82114,4.493835,9.917527,4.089083,10.4825,3.577796,7.315243,12.4872,154.7429,0,0
1989,7.080593,2.728104,1.96798,16.141,8.72437,6.282575,5.655371,4.860379,4.186119,3.765934,1.893606,12.11278,4.291449,9.936275,4.005103,10.62943,3.640421,7.313217,12.50309,154.8498,0,0
1990,7.120961,2.699351,2.073147,18.22954,8.277855,6.29608,5.445862,4.970739,4.339428,3.803654,1.953307,11.9876,4.141696,10.00104,3.811965,10.65497,3.648003,7.311042,12.51802,154.8653,0,0
1991,7.17237,2.687788,2.14016,16.09276,7.691498,6.47535,5.320951,4.764745,4.348381,3.880697,2.020669,12.51858,4.096937,10.10001,3.765578,10.69482,3.618959,7.31345,12.53552,154.8385,0,0
1992,7.199488,2.666556,2.185016,18.55859,8.102674,6.026606,5.382471,4.59954,4.110989,3.925789,2.075898,12.45716,4.066216,10.12406,3.761598,10.73677,3.616963,7.31286,12.55285,154.8408,0,0
1993,7.245403,2.574991,2.223612,17.44067,7.834023,6.290655,4.986566,4.665247,3.986099,3.774871,2.128497,12.51789,4.039868,10.17626,3.637878,10.77497,3.617297,7.307045,12.57074,154.9254,0,0
1994,7.215357,2.515566,2.303502,17.45573,7.437605,6.142179,5.203438,4.316424,4.09295,3.646115,2.169115,12.6277,4.068912,10.21355,3.592807,10.81662,3.611748,7.280252,12.59084,155.3952,0,0
1995,7.210443,2.356382,2.154366,16.85765,7.934238,6.050341,5.203424,4.635407,3.884219,3.727433,2.173033,12.65444,3.901056,10.30025,3.486762,10.85209,3.648695,7.287361,12.6076,155.3678,0,0
1996,7.225413,2.186136,2.057335,17.89175,8.391586,6.102125,5.0676,4.562692,4.123595,3.662964,2.172415,12.9637,3.790315,10.33551,3.53456,10.84778,3.663685,7.300002,12.61634,155.1345,0,0
