EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:32:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

year,value
1985,2.95729
1986,3.136392
1987,3.054033
1988,3.01309
1989,2.951532
1990,2.995383
1991,3.054008
1992,3.134945
1993,3.178034
1994,3.176083
1995,3.122348
1996,3.165251
1997,3.155318
1998,3.138868
1999,3.21859
2000,3.247867
2001,3.192521
2002,3.19744
2003,3.21119
2004,3.176171
2005,3.138147
2006,3.180417
2007,3.212312
2008,3.232371
2009,3.196868
2010,3.117668
2011,3.166108
2012,3.215137
2013,3.238761
2014,3.169395
2015,3.128539
2016,3.166957
2017,3.261125
