EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:32:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

timestep,value
1,2.955475
2,2.953331
3,2.955391
4,2.955996
5,2.95724
6,2.958186
7,2.957859
8,2.958421
9,2.959155
10,2.959783
11,2.960215
12,2.956429
13,3.173551
14,3.164802
15,3.157282
16,3.143902
17,3.130821
18,3.129554
19,3.127776
20,3.12593
21,3.12394
22,3.121843
23,3.119704
24,3.117602
25,3.064053
26,3.061771
27,3.060723
28,3.060315
29,3.055202
30,3.051989
31,3.052197
32,3.051505
33,3.05041
34,3.049187
35,3.047976
36,3.043072
37,3.001609
38,3.004288
39,3.00686
40,3.008202
41,3.010576
42,3.012887
43,3.014784
44,3.016431
45,3.018065
46,3.01981
47,3.021718
48,3.021855
49,2.958049
50,2.960585
51,2.960223
52,2.95962
53,2.951966
54,2.94909
55,2.948061
56,2.947259
57,2.946593
58,2.945992
59,2.945434
60,2.94551
61,2.970177
62,2.971737
63,2.972259
64,2.976066
65,2.981818
66,2.989804
67,2.997915
68,3.005175
69,3.011666
70,3.017577
71,3.023062
72,3.027337
73,3.045506
74,3.051178
75,3.050981
76,3.053081
77,3.048726
78,3.048114
79,3.051636
80,3.054533
81,3.057179
82,3.059728
83,3.062258
84,3.065186
85,3.143965
86,3.138878
87,3.135285
88,3.133362
89,3.125507
90,3.123421
91,3.128344
92,3.13246
93,3.135944
94,3.138932
95,3.141494
96,3.14175
97,3.174807
98,3.175862
99,3.176432
100,3.178412
101,3.176108
102,3.176503
103,3.1784
104,3.179918
105,3.180769
106,3.181282
107,3.181686
108,3.176224
109,3.189807
110,3.185104
111,3.18037
112,3.180562
113,3.179063
114,3.177308
115,3.175846
116,3.173916
117,3.171915
118,3.170051
119,3.168408
120,3.160641
121,3.118699
122,3.116369
123,3.116534
124,3.118091
125,3.119277
126,3.120282
127,3.122238
128,3.124329
129,3.12622
130,3.127785
131,3.128995
132,3.129356
133,3.165445
134,3.161555
135,3.160162
136,3.161595
137,3.158401
138,3.15795
139,3.162285
140,3.166053
141,3.169192
142,3.1719
143,3.174331
144,3.174143
145,3.15099
146,3.151913
147,3.155122
148,3.159328
149,3.152405
150,3.148005
151,3.152854
152,3.15588
153,3.157847
154,3.159145
155,3.160028
156,3.160295
157,3.128069
158,3.124359
159,3.122491
160,3.12718
161,3.131346
162,3.13606
163,3.140627
164,3.1448
165,3.148489
166,3.151702
167,3.15446
168,3.15683
169,3.223173
170,3.216624
171,3.218214
172,3.220858
173,3.222117
174,3.222526
175,3.221932
176,3.220533
177,3.218755
178,3.216901
179,3.215137
180,3.206315
181,3.260744
182,3.260555
183,3.257867
184,3.247282
185,3.234164
186,3.241081
187,3.24492
188,3.246596
189,3.246837
190,3.246131
191,3.244756
192,3.243476
193,3.18837
194,3.174699
195,3.177353
196,3.17282
197,3.179792
198,3.188625
199,3.195955
200,3.201334
201,3.204985
202,3.207382
203,3.208914
204,3.210026
205,3.192715
206,3.19065
207,3.189627
208,3.189307
209,3.186939
210,3.193465
211,3.19839
212,3.202034
213,3.204878
214,3.207235
215,3.209275
216,3.204765
217,3.221331
218,3.221383
219,3.217552
220,3.21329
221,3.209553
222,3.20847
223,3.208651
224,3.208202
225,3.207442
226,3.206713
227,3.206218
228,3.20547
229,3.190681
230,3.183277
231,3.178103
232,3.180434
233,3.179363
234,3.175762
235,3.176011
236,3.174869
237,3.172883
238,3.170369
239,3.167583
240,3.16472
241,3.14465
242,3.144348
243,3.131511
244,3.118947
245,3.118976
246,3.128634
247,3.136322
248,3.141767
249,3.14543
250,3.147819
251,3.149292
252,3.150068
253,3.17693
254,3.174684
255,3.1721
256,3.167397
257,3.174083
258,3.178972
259,3.18242
260,3.184873
261,3.186666
262,3.188015
263,3.189041
264,3.189827
265,3.22852
266,3.225439
267,3.221516
268,3.217299
269,3.214259
270,3.21233
271,3.210071
272,3.207687
273,3.205411
274,3.203379
275,3.201639
276,3.200182
277,3.241486
278,3.232787
279,3.233565
280,3.230732
281,3.232765
282,3.234119
283,3.234028
