EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:32:50 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TotalCatch

timestep,value
1,0.8176126
2,0.8064434
3,0.7955676
4,0.7869439
5,0.7778077
6,0.7702875
7,0.7634041
8,0.7571224
9,0.7514267
10,0.7463066
11,0.741751
12,0.7407914
13,0.5025632
14,0.5024825
15,0.5020931
16,0.5030059
17,0.5024566
18,0.4997242
19,0.4960851
20,0.4921997
21,0.4884216
22,0.4849449
23,0.4818746
24,0.4797686
25,0.5587271
26,0.5538624
27,0.5482841
28,0.5424866
29,0.5390602
30,0.5364836
31,0.5348075
32,0.5335897
33,0.5326174
34,0.5318022
35,0.5311165
36,0.5323581
37,0.6522976
38,0.6452814
39,0.6385547
40,0.6344992
41,0.631233
42,0.6289088
43,0.6270255
44,0.6253853
45,0.6239237
46,0.622646
47,0.6215692
48,0.6229404
49,0.6220547
50,0.6252712
51,0.6326129
52,0.6435584
53,0.662248
54,0.6784525
55,0.6933926
56,0.7071467
57,0.7198737
58,0.7318152
59,0.7431032
60,0.7537763
61,0.6557954
62,0.6626571
63,0.6660816
64,0.6651317
65,0.6638995
66,0.6610962
67,0.6579809
68,0.6548546
69,0.6518567
70,0.64906
71,0.6464596
72,0.6443612
73,0.586244
74,0.581789
75,0.5806251
76,0.5785774
77,0.5822726
78,0.5838948
79,0.5845411
80,0.5843413
81,0.5834098
82,0.5819324
83,0.5800434
84,0.5778271
85,0.459978
86,0.4647385
87,0.4709069
88,0.477085
89,0.4838559
90,0.4877001
91,0.489948
92,0.4911427
93,0.4916325
94,0.4916722
95,0.4914606
96,0.4917402
97,0.4322383
98,0.433741
99,0.435903
100,0.4371917
101,0.4405354
102,0.4426578
103,0.4444236
104,0.4459414
105,0.4473058
106,0.4485322
107,0.4496467
108,0.4528641
109,0.422154
110,0.427174
111,0.43148
112,0.436062
113,0.4424068
114,0.448185
115,0.4534853
116,0.4582596
117,0.46251
118,0.4662755
119,0.4696211
120,0.4752366
121,0.6375273
122,0.642364
123,0.6454244
124,0.6476017
125,0.6490144
126,0.648998
127,0.6483209
128,0.647366
129,0.646338
130,0.6453559
131,0.6444931
132,0.6446603
133,0.5549827
134,0.5583208
135,0.5609499
136,0.5613624
137,0.5616302
138,0.5598912
139,0.5574003
140,0.5545468
141,0.5515795
142,0.5486081
143,0.5456915
144,0.5437475
145,0.6068076
146,0.6030663
147,0.5972862
148,0.5918467
149,0.5919632
150,0.5912752
151,0.5901512
152,0.5885309
153,0.5864376
154,0.5840279
155,0.5813891
156,0.5790641
157,0.6522386
158,0.6503754
159,0.646613
160,0.6394671
161,0.6329525
162,0.6256547
163,0.6183123
164,0.6112832
165,0.6047151
166,0.5986601
167,0.5931253
168,0.58808
169,0.4932178
170,0.4926599
171,0.4910276
172,0.4901775
173,0.4899056
174,0.4895736
175,0.489307
176,0.4891611
177,0.4891419
178,0.489225
179,0.4893911
180,0.4920779
181,0.4054972
182,0.4086389
183,0.4110546
184,0.4160956
185,0.4207341
186,0.4242896
187,0.427121
188,0.4294291
189,0.4313484
190,0.432983
191,0.4344466
192,0.4361089
193,0.5302898
194,0.5324536
195,0.5348585
196,0.5354068
197,0.5335336
198,0.5302302
199,0.5263162
200,0.522153
201,0.5179752
202,0.5139356
203,0.5100986
204,0.5063328
205,0.4422094
206,0.4399228
207,0.4362637
208,0.4351102
209,0.4331887
210,0.431107
211,0.4287753
212,0.4262526
213,0.4236118
214,0.4208926
215,0.4181314
216,0.4168882
217,0.4345843
218,0.4346749
219,0.4361543
220,0.4388981
221,0.4402816
222,0.4404704
223,0.4399013
224,0.4388852
225,0.4376166
226,0.4362248
227,0.4347824
228,0.433843
229,0.4683006
230,0.4698943
231,0.4710805
232,0.4721296
233,0.4739213
234,0.4754885
235,0.4769562
236,0.4783579
237,0.4796998
238,0.4810286
239,0.4823136
240,0.483525
241,0.5011823
242,0.5016207
243,0.5037541
244,0.5064901
245,0.5064406
246,0.5048461
247,0.5024474
248,0.4997024
249,0.4968654
250,0.4940776
251,0.491422
252,0.4889673
253,0.5147821
254,0.5109305
255,0.5073917
256,0.5033753
257,0.4990042
258,0.4942156
259,0.4892729
260,0.4843378
261,0.4794972
262,0.4747951
263,0.470267
264,0.4659281
265,0.4414904
266,0.4389721
267,0.4378662
268,0.4370713
269,0.4358803
270,0.4343807
271,0.4327075
272,0.4309614
273,0.4291871
274,0.427412
275,0.4256624
276,0.4239613
277,0.3709352
278,0.3711599
279,0.3721984
280,0.3729655
281,0.3735666
282,0.3739518
283,0.3742102
284,0.374398
285,0.3745651
286,0.374726
287,0.3748942
288,0.3750901
289,0.4559417
290,0.4543634
291,0.4548861
292,0.4555763
293,0.4552461
294,0.4542269
295,0.4527743
296,0.4511161
297,0.4493971
298,0.4477015
299,0.4460911
300,0.4445991
301,0.4126136
302,0.412065
303,0.4111519
304,0.409659
305,0.4076407
306,0.405383
307,0.4030491
308,0.4007401
309,0.3985115
310,0.3963866
311,0.3943691
312,0.3924509
313,0.369912
314,0.3689003
315,0.3695669
316,0.3703942
317,0.3712651
318,0.3718687
319,0.3722583
320,0.3724776
321,0.3725683
322,0.3725797
323,0.3725434
324,0.3725034
325,0.3240995
326,0.3247067
327,0.3251448
328,0.3252678
329,0.325117
330,0.3248128
331,0.3244188
332,0.3239903
333,0.3235834
334,0.3232353
335,0.3229736
336,0.3228404
337,0.2910587
338,0.2919371
339,0.2932209
340,0.2940425
341,0.294581
342,0.2948566
343,0.2949773
344,0.2950031
345,0.2949691
346,0.294893
347,0.2947845
348,0.2946593
349,0.3428537
350,0.3436419
351,0.3455327
352,0.3479368
353,0.3512558
354,0.3544413
355,0.3571787
356,0.3594648
357,0.3613693
358,0.3629651
359,0.3643155
360,0.3654732
361,0.4159904
362,0.41745
363,0.4202421
364,0.4232137
365,0.4273998
366,0.4313076
367,0.4348743
368,0.4379441
369,0.4405787
370,0.4428663
371,0.4448847
372,0.446699
373,0.4320629
374,0.4335388
375,0.4350779
376,0.4357053
377,0.436715
378,0.4375481
379,0.4382386
380,0.4388216
381,0.439329
382,0.4398016
383,0.4402544
384,0.440705
385,0.400376
386,0.4009108
387,0.4015226
388,0.4015961
389,0.4007918
390,0.3992318
391,0.3973857
392,0.395483
393,0.3936357
394,0.3918999
395,0.3902934
396,0.3888303
