EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 3:49:26 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,full_compensation
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.01428476,5.009108E-06,0.001204742,0.01514132,7.538397E-05,0.0009611247,0.002613484,0.0007984308,0.0006550917,0.0001620396,8.350999E-05,0.0054013,0.0002704518,0.0152995,1.382919E-05,0.001507332,0.003134972,0.08711322,0,0,0,0,0
0.02857047,4.982087E-06,0.001201986,0.01505904,0.0001509043,0.001922828,0.005221476,0.001592704,0.001305105,0.0003224991,0.0001662757,0.005403954,0.0002707145,0.01531454,1.385518E-05,0.001509598,0.003144401,0.08740126,0,0,0,0,0
0.04285619,4.955243E-06,0.001199246,0.01497734,0.0002265515,0.002885007,0.007823726,0.002382754,0.001949994,0.0004813663,0.0002482875,0.00540661,0.0002709768,0.01532952,1.388111E-05,0.001511856,0.00315383,0.08768942,0,0,0,0,0
0.0571419,4.92859E-06,0.001196524,0.01489623,0.0003023207,0.003847623,0.01042016,0.00316857,0.002589758,0.0006386395,0.0003295412,0.005409275,0.0002712389,0.01534446,1.390696E-05,0.001514103,0.003163267,0.087978,0,0,0,0,0
0.07142761,4.90212E-06,0.001193819,0.01481572,0.0003782076,0.004810642,0.01301072,0.003950142,0.003224397,0.0007943175,0.0004100322,0.005411941,0.0002715008,0.01535934,1.393274E-05,0.001516341,0.003172705,0.08826669,0,0,0,0,0
0.08571333,4.875845E-06,0.001191133,0.01473586,0.000454207,0.00577402,0.01559532,0.004727457,0.003853909,0.0009483991,0.0004897565,0.005414611,0.000271762,0.01537414,1.395844E-05,0.001518569,0.003182138,0.08855532,0,0,0,0,0
0.09999904,4.849751E-06,0.001188463,0.01465655,0.0005303142,0.006737715,0.01817388,0.005500505,0.004478296,0.001100883,0.0005687103,0.005417287,0.0002720226,0.01538889,1.398406E-05,0.001520784,0.003191581,0.0888444,0,0,0,0,0
0.1142848,4.823855E-06,0.001185813,0.01457787,0.0006065244,0.007701698,0.02074634,0.006269276,0.005097556,0.001251768,0.0006468904,0.005419968,0.000272283,0.01540359,1.400959E-05,0.001522991,0.003201023,0.08913357,0,0,0,0,0
0.1285705,4.798126E-06,0.001183177,0.01449976,0.0006828327,0.008665918,0.02331262,0.007033754,0.005711686,0.001401054,0.0007242916,0.005422649,0.0002725425,0.01541819,1.403505E-05,0.001525188,0.003210458,0.08942261,0,0,0,0,0
0.1428562,4.772601E-06,0.001180561,0.01442227,0.0007592341,0.009630343,0.02587266,0.007793941,0.006320696,0.00154874,0.0008009125,0.005425336,0.0002728017,0.01543276,1.406043E-05,0.001527373,0.0032199,0.08971199,0,0,0,0,0
0.1571419,4.747242E-06,0.001177961,0.01434532,0.0008357239,0.01059493,0.02842635,0.008549803,0.00692457,0.001694824,0.000876748,0.005428026,0.0002730601,0.01544724,1.408572E-05,0.001529548,0.003229344,0.09000157,0,0,0,0,0
0.1714276,4.722086E-06,0.001175379,0.01426902,0.0009122969,0.01155964,0.03097364,0.009301348,0.007523321,0.001839306,0.0009517951,0.00543072,0.0002733177,0.01546164,1.411092E-05,0.001531711,0.003238778,0.09029096,0,0,0,0,0
0.1857133,4.697096E-06,0.001172812,0.01419324,0.0009889475,0.01252442,0.03351447,0.01004856,0.008116943,0.001982186,0.001026052,0.00543342,0.0002735747,0.01547598,1.413605E-05,0.001533865,0.003248225,0.09058077,0,0,0,0,0
0.199999,4.672283E-06,0.001170262,0.01411803,0.001065671,0.01348924,0.03604873,0.01079143,0.008705435,0.002123462,0.001099514,0.00543612,0.0002738309,0.01549023,1.416109E-05,0.001536006,0.003257661,0.09087048,0,0,0,0,0
0.2142847,4.647676E-06,0.001167732,0.01404349,0.001142462,0.01445407,0.03857639,0.01152994,0.009288801,0.002263135,0.001172177,0.005438825,0.0002740863,0.01550445,1.418601E-05,0.001538136,0.003267106,0.0911605,0,0,0,0,0
0.2285705,4.62323E-06,0.001165216,0.01396944,0.001219315,0.01541884,0.04109731,0.01226408,0.00986704,0.002401204,0.001244042,0.005441534,0.0002743405,0.01551853,1.421086E-05,0.001540254,0.003276543,0.09145039,0,0,0,0,0
0.2428562,4.598973E-06,0.001162718,0.01389599,0.001296227,0.01638355,0.04361149,0.01299384,0.01044014,0.002537668,0.001315105,0.005444246,0.0002745945,0.01553257,1.423562E-05,0.001542363,0.003285983,0.09174054,0,0,0,0,0
0.2571419,4.574889E-06,0.001160236,0.01382312,0.001373188,0.0173481,0.04611881,0.01371922,0.01100813,0.00267253,0.001385361,0.005446958,0.0002748468,0.01554648,1.426029E-05,0.001544459,0.003295412,0.09203033,0,0,0,0,0
0.2714276,4.550976E-06,0.001157769,0.01375076,0.001450197,0.01831248,0.04861916,0.01444019,0.01157097,0.002805786,0.00145481,0.005449677,0.0002750984,0.01556033,1.428486E-05,0.001546543,0.003304849,0.09232059,0,0,0,0,0
0.2857133,4.527243E-06,0.00115532,0.013679,0.001527246,0.01927665,0.05111252,0.01515674,0.01212869,0.002937436,0.001523449,0.005452397,0.0002753487,0.01557407,1.430933E-05,0.001548615,0.003314276,0.09261059,0,0,0,0,0
0.299999,4.503687E-06,0.001152886,0.01360777,0.00160433,0.02024057,0.05359884,0.01586889,0.0126813,0.003067486,0.001591277,0.005455119,0.0002755982,0.01558773,1.433372E-05,0.001550676,0.003323709,0.0929009,0,0,0,0,0
0.3142847,4.480302E-06,0.001150468,0.01353709,0.001681444,0.02120418,0.05607797,0.0165766,0.01322876,0.003195927,0.001658291,0.005457846,0.0002758465,0.0156013,1.435801E-05,0.001552726,0.003333135,0.0931911,0,0,0,0,0
0.3285705,4.457096E-06,0.001148067,0.013467,0.001758583,0.02216743,0.05854983,0.01727984,0.01377111,0.003322766,0.001724487,0.005460573,0.0002760936,0.01561477,1.438219E-05,0.001554762,0.003342558,0.09348131,0,0,0,0,0
0.3428562,4.434067E-06,0.001145683,0.01339744,0.001835739,0.02313031,0.06101443,0.01797866,0.01430834,0.003448006,0.001789868,0.005463306,0.0002763398,0.01562816,1.440628E-05,0.001556788,0.003351982,0.09377166,0,0,0,0,0
0.3571419,4.411207E-06,0.001143313,0.01332844,0.001912909,0.02409275,0.06347162,0.01867299,0.01484042,0.003571638,0.001854427,0.00546604,0.0002765846,0.01564144,1.443027E-05,0.001558799,0.0033614,0.09406189,0,0,0,0,0
0.3714276,4.388508E-06,0.001140958,0.01325994,0.001990086,0.02505471,0.06592134,0.01936285,0.0153674,0.003693669,0.001918166,0.005468776,0.0002768278,0.01565461,1.445416E-05,0.0015608,0.003370814,0.09435212,0,0,0,0,0
0.3857133,4.365983E-06,0.001138619,0.01319198,0.002067263,0.02601613,0.06836349,0.02004823,0.01588926,0.003814101,0.001981084,0.005471514,0.00027707,0.01566769,1.447794E-05,0.001562788,0.003380229,0.09464248,0,0,0,0,0
0.399999,4.343634E-06,0.001136297,0.01312459,0.002144438,0.026977,0.07079803,0.02072908,0.01640598,0.003932928,0.002043175,0.005474254,0.0002773108,0.01568066,1.450161E-05,0.001564761,0.003389634,0.09493259,0,0,0,0,0
