EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 4:38:07 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,stationary_stock
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.01428476,1.58403E-06,0.000737796,0.00316403,7.499378E-05,0.0009506493,0.002578009,0.0007857065,0.0006431092,0.0001575798,7.903065E-05,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.02857047,1.58403E-06,0.000737796,0.00316403,0.0001501093,0.001901848,0.005150708,0.001567391,0.00128136,0.0003137063,0.0001574744,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.04285619,1.58403E-06,0.000737796,0.00316403,0.0002253372,0.002853498,0.007717856,0.00234499,0.001914706,0.0004683654,0.0002353197,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.0571419,1.58403E-06,0.000737796,0.00316403,0.0003006733,0.003805563,0.01027939,0.003118494,0.002543145,0.0006215547,0.0003125608,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.07142761,1.58403E-06,0.000737796,0.00316403,0.000376113,0.004758007,0.01283523,0.003887891,0.003166676,0.0007732708,0.0003891916,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.08571333,1.58403E-06,0.000737796,0.00316403,0.0004516519,0.005710794,0.01538532,0.004653171,0.003785294,0.000923511,0.000465206,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.09999904,1.58403E-06,0.000737796,0.00316403,0.0005272857,0.006663888,0.01792959,0.005414324,0.004399001,0.001072273,0.0005405991,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1142848,1.58403E-06,0.000737796,0.00316403,0.0006030097,0.007617251,0.02046796,0.006171337,0.005007789,0.001219553,0.0006153639,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1285705,1.58403E-06,0.000737796,0.00316403,0.0006788191,0.008570846,0.02300037,0.006924198,0.00561166,0.00136535,0.0006894956,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1428562,1.58403E-06,0.000737796,0.00316403,0.0007547096,0.009524636,0.02552675,0.007672901,0.006210611,0.001509659,0.0007629882,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1571419,1.58403E-06,0.000737796,0.00316403,0.0008306766,0.01047858,0.02804701,0.00841743,0.006804637,0.00165248,0.0008358361,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1714276,1.58403E-06,0.000737796,0.00316403,0.0009067148,0.01143264,0.03056111,0.009157773,0.007393739,0.001793809,0.0009080336,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1857133,1.58403E-06,0.000737796,0.00316403,0.0009828199,0.01238679,0.03306895,0.009893926,0.007977912,0.001933644,0.0009795765,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
