Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1985, 3954.201, 11821.34, 0, 6.711873, 0.8061804, 13.49415, 0, 67.39457, 2.600697, 8.992534, 18.11521, 26.20658, 3.565459, 63.98453, 1111.446, 1204.84, 1653.135, 31.69504, 0.3063114, 0.2918816, 2494.767, 0.6320398, 3.009399, 3.154771, 0.9771028, -0.007494374, 0.1581392, 0.1683513, 0.165075, 
1986, 4105.934, 12230.63, 0, 6.558887, 0.7745541, 13.60092, 0, 67.91856, 2.360569, 8.786515, 18.61923, 27.26038, 3.429139, 59.90952, 1178.545, 1019.268, 1496.88, 29.71519, 0.3050008, 0.2910331, 2564.55, 0.6267669, 2.994509, 3.242669, 0.9498928, -0.007510176, 0.1646088, 0.1752246, 0.1718349, 
1987, 4307.434, 12645.41, 0, 6.690752, 0.7923275, 13.73968, 0, 67.98325, 2.231578, 8.562404, 18.74114, 27.22608, 3.347574, 60.37813, 1260.977, 1262.194, 1776.128, 31.11408, 0.1826019, 0.290278, 2690.197, 0.6254693, 2.948045, 3.278213, 0.8907163, -0.0106096, 0.1704717, 0.1809047, 0.177596, 
1988, 2835.803, 8448.345, 0, 6.376402, 0.8457107, 13.48923, 0, 68.60906, 3.393898, 7.285706, 16.55851, 26.62565, 4.096787, 65.65589, 628.1739, 734.9954, 986.6584, 21.39715, 0.08966484, 0.2850425, 1750.085, 0.6170753, 2.979468, 3.337295, 0.8781477, -0.01525712, 0.128802, 0.1383366, 0.1352458, 
1989, 5530.72, 15276.51, 0, 7.140236, 0.9400725, 13.79859, 0, 67.29496, 2.369496, 8.456639, 15.71743, 23.76759, 3.297755, 73.50886, 1759.438, 2165.956, 2891.993, 42.87259, 0.104047, 0.2895704, 3383.376, 0.6169494, 2.82404, 3.061905, 0.830826, -0.01379582, 0.1794319, 0.1887031, 0.185798, 
1990, 8606.358, 23675.81, 0, 7.17577, 0.681556, 13.92835, 0, 66.47883, 1.154397, 10.5811, 18.82055, 23.215, 2.734128, 60.04964, 3096.148, 2627.725, 3898.147, 59.22783, 0.1501901, 0.2985165, 5162.57, 0.6011708, 2.760171, 3.23671, 0.8541093, -0.009754389, 0.2172176, 0.227158, 0.224073, 
1991, 4488.541, 13589.28, 0, 6.659611, 0.7336527, 13.50803, 0, 67.20873, 2.099555, 9.790427, 18.7776, 26.75759, 3.301059, 58.43995, 1351.86, 1094.92, 1636.421, 34.17757, 0.1885207, 0.2968675, 2846.568, 0.6370534, 3.048632, 3.31925, 0.9599296, -0.01037317, 0.1700976, 0.1815732, 0.1778778, 
1992, 3939.966, 11686, 0, 6.823791, 0.9041471, 13.42837, 0, 67.41718, 2.685702, 8.740803, 15.78406, 25.24219, 3.524182, 69.91707, 1093.155, 1323.16, 1766.558, 32.64112, 0.2473065, 0.290755, 2486.732, 0.6323277, 2.991144, 3.116559, 0.9654195, -0.009519519, 0.1600768, 0.1703729, 0.1670831, 
1993, 6054.086, 17299.45, 0, 6.908317, 0.722125, 13.80142, 0, 67.18775, 1.651452, 9.728941, 19.53143, 25.88053, 3.009463, 58.43319, 2010.806, 1743.559, 2566.341, 42.77063, 0.360118, 0.2950381, 3720.605, 0.6188889, 2.889892, 3.239469, 0.9347119, -0.003861384, 0.1943385, 0.2046587, 0.2014108, 
1994, 4839.684, 14299.41, 0, 6.902761, 0.8199038, 13.57483, 0, 67.27953, 2.003468, 9.419499, 17.68316, 25.85246, 3.149354, 63.44924, 1485.764, 1511.549, 2115.816, 36.9442, 0.2468752, 0.2939444, 3046.7, 0.6307406, 2.961853, 3.337274, 0.957339, -0.01054034, 0.1823027, 0.1931637, 0.1897288, 
