EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"7/22/2022 9:37:24 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,7.154029,2.941488,1.788889,15.97775,7.83495,5.357588,4.403391,3.786834,3.489806,3.22137,1.739635,12.9741,3.147321,9.736578,3.669178,10.22767,3.365726,6.270171,10.85671,131.2438,0,0
2,7.269825,2.842916,1.731197,14.30239,6.678743,4.476522,3.668333,3.12135,2.865698,2.644034,1.638601,12.85524,3.107663,9.446951,3.505291,9.398592,2.955752,5.147536,9.601168,115.806,0,0
3,7.316546,2.726019,1.648563,13.98153,5.58952,3.640554,2.957643,2.486942,2.269364,2.090334,1.533916,12.69107,3.048569,9.2315,3.309674,9.010318,2.539012,4.047453,8.441988,100.8645,0,0
4,7.341203,2.592165,1.546022,13.87073,4.456543,2.793273,2.24774,1.864633,1.68733,1.54952,1.433673,12.53725,2.97394,9.137018,3.095985,8.920969,2.127445,2.999893,7.278992,82.35218,0,0
5,7.191978,2.47152,1.437571,18.32133,4.51288,2.725413,2.073172,1.697299,1.521175,1.396514,1.367747,12.48333,2.899834,9.302999,2.920312,9.622787,1.893078,2.591363,7.355189,92.54322,0,0
6,6.742248,2.371158,1.348711,24.19904,5.70467,3.372011,2.425487,1.965205,1.744125,1.604836,1.341735,12.59515,2.844584,9.745298,2.813903,11.57587,1.919231,2.713175,8.33437,119.1014,0,0
7,6.12647,2.331918,1.294416,29.74594,8.798566,5.294768,3.709087,2.996986,2.639499,2.439837,1.377015,12.96526,2.82849,10.51978,2.834067,14.37258,2.369262,3.715586,11.00458,167.0567,0,0
8,5.688739,2.395481,1.293406,32.00434,12.1181,7.710955,5.592473,4.554229,3.996256,3.706417,1.5078,13.69396,2.868468,11.54586,3.042019,16.0951,3.361556,5.463204,14.02837,197.1345,0,0
9,5.891928,2.488588,1.33153,28.58038,13.34309,9.00281,6.872777,5.676024,4.97616,4.63397,1.67191,14.68878,2.941773,12.3077,3.322824,16.4314,4.287819,6.986168,15.39232,193.4733,0,0
10,6.493608,2.552537,1.375085,22.81195,13.17396,9.257076,7.371974,6.180902,5.417837,5.074491,1.802468,15.58528,3.012403,12.49288,3.558796,14.37875,4.781344,7.980213,15.60404,181.5682,0,0
11,7.113126,2.632757,1.422322,20.29432,13.28185,9.563854,7.844011,6.678717,5.856108,5.531854,1.933277,16.16178,3.084878,12.3784,3.79499,12.5176,5.113086,9.18789,16.31765,181.2211,0,0
12,7.573251,2.677587,1.470675,17.4568,11.53851,8.301463,7.048791,6.063044,5.302758,5.034032,1.952333,16.07155,3.128597,11.68027,3.853381,10.6263,4.863428,8.759039,14.43963,156.6932,0,0
13,7.903921,2.694688,1.495182,13.91492,10.41126,7.21259,6.219961,5.376346,4.69691,4.473272,1.905141,15.62113,3.197958,10.81013,3.833002,8.916243,4.372447,8.07588,13.15945,145.0163,0,0
14,7.938476,2.694427,1.509065,14.52952,9.627074,6.415605,5.57295,4.824137,4.206838,4.016456,1.844973,15.01034,3.230254,10.05848,3.766549,8.444039,3.95411,7.416062,12.30912,140.0915,0,0
15,7.807901,2.665689,1.508473,15.13741,8.948659,5.66195,4.942923,4.273516,3.717252,3.550992,1.773044,14.41589,3.246357,9.470003,3.666433,8.491502,3.563611,6.630136,11.40452,133.4336,0,0
16,7.64904,2.607849,1.489531,15.36262,8.117784,4.862617,4.249314,3.65986,3.172336,3.025565,1.684286,13.8835,3.242651,9.012567,3.52534,8.630339,3.154376,5.664896,10.33112,122.9909,0,0
