EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"7/22/2022 9:37:25 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.079284,1,1,1.462576,1,1,1,1,1,1,1,1.429064,1,1.392404,1,1.486959,1,1,1,1,1,1
1986,1.223651,1,1,1.250882,1,1,1,1,1,1,1,1.895622,1,1.2295,1,1.359722,1,1,1,1,1,1
1987,1.334535,1,1,1.182567,1,1,1,1,1,1,1,2,1,1.245727,1,1.322762,1,1,1,1,1,1
1988,1.356764,1,1,1.797709,1,1,1,1,1,1,1,2,1,1.648681,1,1.99382,1,1,1,1,1,1
1989,1.383206,1,1,1.096785,1,1,1,1,1,1,1,1.909136,1,1.072941,1,1.383672,1,1,1,1,1,1
1990,0.4588754,1,1,0.5703618,1,1,1,1,1,1,1,1.117805,1,0.4271083,1,0.5755551,1,1,1,1,1,1
1991,0.6059825,1,1,1.338329,1,1,1,1,1,1,1,0.6498535,1,0.812941,1,1.169792,1,1,1,1,1,1
1992,1.338577,1,1,1.392744,1,1,1,1,1,1,1,1.534599,1,1.751451,1,1.575225,1,1,1,1,1,1
1993,1.282722,1,1,0.8774427,1,1,1,1,1,1,1,1.277865,1,0.8333878,1,0.8901613,1,1,1,1,1,1
1994,1.243879,1,1,1.045706,1,1,1,1,1,1,1,1.428625,1,1.206304,1,1.128002,1,1,1,1,1,1
1995,1.256565,1,1,1.72706,1,1,1,1,1,1,1,1.934429,1,1.541075,1,1.789662,1,1,1,1,1,1
1996,1.684416,1,1,0.6878061,1,1,1,1,1,1,1,1.774823,1,0.7632992,1,0.8448348,1,1,1,1,1,1
1997,0.9083623,1,1,1.086078,1,1,1,1,1,1,1,0.9764671,1,0.611227,1,0.8500166,1,1,1,1,1,1
1998,1.095765,1,1,0.9903864,1,1,1,1,1,1,1,1.175851,1,0.8916839,1,0.9708897,1,1,1,1,1,1
1999,1.07609,1,1,1.844278,1,1,1,1,1,1,1,1.663977,1,1.444585,1,1.825343,1,1,1,1,1,1
2000,1.624143,1,1,0.8191519,1,1,1,1,1,1,1,1.798123,1,0.7961329,1,0.9650877,1,1,1,1,1,1
2001,1.231884,1,1,1.126431,1,1,1,1,1,1,1,1.856631,1,0.9077528,1,1.166948,1,1,1,1,1,1
2002,1.160105,1,1,1.900327,1,1,1,1,1,1,1,2,1,1.45613,1,1.926733,1,1,1,1,1,1
2003,1.796486,1,1,0.670178,1,1,1,1,1,1,1,1.239938,1,0.5394974,1,0.8563788,1,1,1,1,1,1
2004,0.9748914,1,1,0.6648046,1,1,1,1,1,1,1,1.167965,1,0.4710855,1,0.6186647,1,1,1,1,1,1
2005,0.8694471,1,1,0.9973404,1,1,1,1,1,1,1,1.06065,1,0.6892848,1,0.8668701,1,1,1,1,1,1
2006,1.155387,1,1,0.7404947,1,1,1,1,1,1,1,1.206963,1,0.7868645,1,0.7896724,1,1,1,1,1,1
2007,0.9180262,1,1,1.048954,1,1,1,1,1,1,1,0.688943,1,0.6316352,1,0.9164594,1,1,1,1,1,1
2008,1.285878,1,1,1.383438,1,1,1,1,1,1,1,1.496373,1,1.384469,1,1.557231,1,1,1,1,1,1
2009,1.41095,1,1,0.7706192,1,1,1,1,1,1,1,1.129103,1,0.7261105,1,0.851423,1,1,1,1,1,1
2010,0.9912756,1,1,0.8829467,1,1,1,1,1,1,1,0.8924894,1,0.507924,1,0.7246538,1,1,1,1,1,1
2011,1.066035,1,1,1.252478,1,1,1,1,1,1,1,1.267729,1,1.010403,1,1.198135,1,1,1,1,1,1
2012,1.058506,1,1,1.493811,1,1,1,1,1,1,1,1.427606,1,1.028816,1,1.395714,1,1,1,1,1,1
2013,1.502385,1,1,1.210875,1,1,1,1,1,1,1,1.804349,1,1.165352,1,1.465384,1,1,1,1,1,1
2014,1.354625,1,1,0.9483776,1,1,1,1,1,1,1,1.524445,1,0.7893907,1,1.016255,1,1,1,1,1,1
2015,1.209744,1,1,1.390843,1,1,1,1,1,1,1,1.948612,1,1.022173,1,1.397473,1,1,1,1,1,1
2016,1.342017,1,1,1.700628,1,1,1,1,1,1,1,2,1,1.210729,1,1.83422,1,1,1,1,1,1
2017,1.606088,1,1,1.563445,1,1,1,1,1,1,1,1.99048,1,1.264849,1,1.763855,1,1,1,1,1,1
