EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"7/22/2022 9:37:25 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

timestep,value
1,2.486325
2,2.457501
3,2.824198
4,2.881789
5,2.381904
6,1.612962
7,1.624946
8,1.66774
9,1.714916
10,1.719037
11,1.688296
12,1.368654
13,1.338047
14,2.33447
15,2.344959
16,2.439906
17,2.458415
18,2.391847
19,1.369227
20,1.707847
21,1.471163
22,1.497887
23,1.505497
24,1.855465
25,1.8769
26,1.905924
27,1.558037
28,1.572808
29,1.58411
30,2.516674
31,2.47153
32,2.58133
33,2.437611
34,1.522125
35,1.553847
36,1.599879
37,1.658755
38,2.01506
39,2.001851
40,1.689384
41,1.696742
42,1.704218
43,1.968551
44,1.97074
45,1.754209
46,1.766904
47,1.9728
48,1.782845
49,1.779399
50,1.776261
51,1.9457
52,1.944477
53,1.958886
54,1.997653
55,2.054159
56,2.120823
57,1.895481
58,1.861775
59,1.810863
60,1.743576
61,1.668649
62,2.56404
63,2.569655
64,2.580079
65,1.403663
66,2.589634
67,2.59864
68,1.307315
69,1.31339
70,1.323531
71,1.335014
72,1.346479
73,3.062698
74,3.161358
75,3.212422
76,3.248823
77,3.27716
78,3.355964
79,3.132813
80,1.363797
81,1.55577
82,1.576795
83,1.392705
84,1.423488
85,1.461969
86,1.50307
87,1.546283
88,1.590665
89,1.636643
90,2.021396
91,2.08358
92,2.0836
93,2.066318
94,2.055339
95,1.680136
96,1.666906
97,1.507322
98,1.509555
99,1.514903
100,1.524361
101,2.96323
102,2.924095
103,2.919004
104,3.328022
105,2.960559
106,2.96551
107,1.58773
108,2.02222
109,2.011184
110,2.006443
111,2.00937
112,1.602195
113,1.606183
114,2.814579
115,2.805764
116,1.587615
117,1.574321
118,1.559974
119,1.545463
120,1.531117
121,1.519622
122,1.507165
123,1.493
124,1.476503
125,1.495234
126,1.512054
127,1.525856
128,1.492231
129,1.460469
130,1.645005
131,1.629633
132,1.625468
133,1.628205
