EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"7/22/2022 9:37:25 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

timestep,value
1,3.229447
2,3.308125
3,3.401517
4,3.574252
5,3.304505
6,3.088001
7,2.944253
8,2.932593
9,2.969818
10,3.007236
11,3.004538
12,3.092963
13,3.270705
14,3.275724
15,3.294861
16,3.339674
17,3.407138
18,3.322145
19,3.221719
20,3.146302
21,3.176073
22,3.208595
23,3.169424
24,3.079674
25,3.079234
26,3.136364
27,3.170345
28,3.147403
29,3.234459
30,3.303653
31,3.389735
32,3.48141
33,3.413968
34,3.346003
35,3.321373
36,3.314609
37,3.367529
38,3.334558
39,3.348183
40,3.374641
41,3.367056
42,3.397063
43,3.270957
44,3.300965
45,3.333861
46,3.356416
47,3.273247
48,3.323059
49,3.165774
50,3.122148
51,3.091316
52,3.024105
53,2.986752
54,2.991762
55,3.006645
56,3.027312
57,3.047329
58,3.059449
59,3.08462
60,3.135648
61,3.207687
62,3.232044
63,3.260702
64,3.262578
65,3.233823
66,3.253898
67,3.258916
68,3.233813
69,3.235604
70,3.198243
71,3.23427
72,3.22894
73,3.329536
74,3.375578
75,3.367599
76,3.38305
77,3.402292
78,3.429436
79,3.446597
80,3.294188
81,3.185452
82,3.199564
83,3.212306
84,3.205407
85,3.178974
86,3.194921
87,3.187897
88,3.199017
89,3.20235
90,3.08988
91,3.02806
92,3.015396
93,3.037485
94,3.073266
95,3.092257
96,3.099208
97,3.061472
98,3.087211
99,3.075944
100,3.078142
101,3.183575
102,3.276788
103,3.377419
104,3.49833
105,3.42326
106,3.351247
107,3.269467
108,3.190775
109,3.197205
110,3.219241
111,3.214181
112,3.306484
113,3.36229
114,3.410334
115,3.412487
116,3.368421
117,3.343644
118,3.385232
119,3.410432
120,3.41734
121,3.40818
122,3.393095
123,3.412717
124,3.444106
125,3.405932
126,3.35342
127,3.373989
128,3.451126
129,3.504194
130,3.19966
131,3.184464
132,3.223304
133,3.172514
