EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"7/22/2022 9:37:25 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

timestep,fleet,group,value
1,1,1,1.336005E-07
1,3,11,0.0004283322
2,1,1,1.358089E-07
2,3,11,0.000427517
3,1,1,1.383059E-07
3,3,11,0.0004260346
4,1,1,1.409862E-07
4,3,11,0.0004239127
5,1,1,1.429072E-07
5,3,11,0.0004212701
6,1,1,1.424152E-07
6,3,11,0.0004183961
7,1,1,1.386628E-07
7,3,11,0.0004155665
8,1,1,1.327189E-07
8,3,11,0.0004133207
9,1,1,1.276943E-07
9,3,11,0.0004120942
10,1,1,1.25318E-07
10,3,11,0.0004117891
11,1,1,1.256958E-07
11,3,11,0.0004122102
12,1,1,1.282718E-07
12,3,11,0.0004132069
13,1,1,1.326256E-07
13,3,11,0.000413944
14,1,1,1.374188E-07
14,3,11,0.0004143035
15,1,1,1.41768E-07
15,3,11,0.0004142595
16,1,1,1.454128E-07
16,3,11,0.0004137163
17,1,1,1.483724E-07
17,3,11,0.0004125851
18,1,1,1.501051E-07
18,3,11,0.0004109076
19,1,1,1.496558E-07
19,3,11,0.0004089491
20,1,1,1.46889E-07
20,3,11,0.0004069311
21,1,1,1.428766E-07
21,3,11,0.0004050061
22,1,1,1.38988E-07
22,3,11,0.0004030481
23,1,1,1.351852E-07
23,3,11,0.0004010236
24,1,1,1.305531E-07
24,3,11,0.0003991649
25,1,1,1.253701E-07
25,3,11,0.000397974
26,1,1,1.2127E-07
26,3,11,0.0003975932
27,1,1,1.189924E-07
27,3,11,0.000397575
28,1,1,1.179529E-07
28,3,11,0.0003978377
29,1,1,1.176676E-07
29,3,11,0.0003984465
30,1,1,1.181987E-07
30,3,11,0.000398742
31,1,1,1.190182E-07
31,3,11,0.0003985112
32,1,1,1.198547E-07
32,3,11,0.0003976235
33,1,1,1.200937E-07
33,3,11,0.0003961395
34,1,1,1.189838E-07
34,3,11,0.0003943128
35,1,1,1.165473E-07
35,3,11,0.0003922894
36,1,1,1.132176E-07
36,3,11,0.0003901354
37,1,1,1.09392E-07
37,3,11,0.0003878817
38,1,1,1.051834E-07
38,3,11,0.0003855686
39,1,1,1.00766E-07
39,3,11,0.0003832753
40,1,1,9.66044E-08
40,3,11,0.000380966
41,1,1,9.276647E-08
41,3,11,0.0003786123
42,1,1,8.932236E-08
42,3,11,0.0003762219
43,1,1,8.583518E-08
43,3,11,0.0003737845
44,1,1,8.20715E-08
44,3,11,0.0003716081
45,1,1,7.897575E-08
45,3,11,0.0003695323
46,1,1,7.660954E-08
46,3,11,0.0003674421
47,1,1,7.444384E-08
47,3,11,0.000365348
48,1,1,7.229816E-08
48,3,11,0.0003634675
49,1,1,7.063218E-08
49,3,11,0.0003615465
50,1,1,6.911236E-08
50,3,11,0.0003594993
51,1,1,6.726179E-08
51,3,11,0.0003574851
52,1,1,6.498868E-08
52,3,11,0.0003556513
53,1,1,6.258102E-08
53,3,11,0.0003543998
54,1,1,6.079871E-08
54,3,11,0.0003541376
55,1,1,6.006665E-08
55,3,11,0.000355082
56,1,1,6.027772E-08
56,3,11,0.0003572732
57,1,1,6.103942E-08
57,3,11,0.0003606046
58,1,1,6.202686E-08
58,3,11,0.0003649931
59,1,1,6.284878E-08
59,3,11,0.0003704448
60,1,1,6.283734E-08
60,3,11,0.000376564
61,1,1,6.177626E-08
61,3,11,0.0003826935
62,1,1,5.969982E-08
62,3,11,0.0003886342
63,1,1,5.671116E-08
63,3,11,0.000394184
64,1,1,5.31381E-08
64,3,11,0.0003991667
65,1,1,4.946348E-08
65,3,11,0.0004037694
66,1,1,4.584792E-08
66,3,11,0.0004082414
67,1,1,4.236746E-08
67,3,11,0.0004123209
68,1,1,3.919282E-08
68,3,11,0.0004160345
69,1,1,3.638785E-08
69,3,11,0.0004195249
70,1,1,3.408169E-08
70,3,11,0.0004227946
71,1,1,3.218834E-08
71,3,11,0.000426016
72,1,1,3.066921E-08
72,3,11,0.000428849
73,1,1,2.949251E-08
73,3,11,0.0004313494
74,1,1,2.861176E-08
74,3,11,0.0004333855
75,1,1,2.814249E-08
75,3,11,0.000434844
76,1,1,2.818575E-08
76,3,11,0.0004358627
77,1,1,2.882014E-08
77,3,11,0.0004364161
78,1,1,3.01087E-08
78,3,11,0.0004364697
79,1,1,3.213867E-08
79,3,11,0.0004359977
80,1,1,3.500657E-08
80,3,11,0.0004350868
81,1,1,3.86622E-08
81,3,11,0.000434053
82,1,1,4.323207E-08
82,3,11,0.0004331183
83,1,1,4.904834E-08
83,3,11,0.0004321874
