Year,Pounds,Metric Tons,Dollars,Collection
2007,161831.00,73.00,32308.00,Commercial
2008,144876.00,66.00,33427.00,Commercial
2009,34607801.00,15698.00,4115174.00,Commercial
2010,50797969.00,23042.00,5112254.00,Commercial
2011,74647519.00,33860.00,6000090.00,Commercial
2012,85738384.00,38891.00,7285362.00,Commercial
2013,40094880.00,18187.00,7501949.00,Commercial
2014,388463.00,176.00,87312.00,Commercial
2015,535708.00,243.00,124428.00,Commercial
2016,347584.00,158.00,79632.00,Commercial
2017,352917.00,160.00,85423.00,Commercial
