EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/11/2022 6:03:12 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,amo_lag1_pcp
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985


Time,"Total B","Commercial B","Fish B","Invertebrates B","Invertebrates / Fish B","Demersal B","Pelagic B","Demersal / Pelagic B","Predatory B","Kempton's Q","Shannon diversity","Total C","Fish C","Invertebrate C","Invertebrates / Fish C","Demersal C","Pelagic C","Demersal / pelagic C","Predatory C",Discards,"TL catch",MTI,"TL community","TL community 2","TL community 3.25","TL community 4","Intrinsic Vul. Index","Endemics B","Endemics C","IUCN species B","IUCN species C","Mammals, birds & reptiles B","Mammals, birds & reptiles C","ML of fish community","ML of fish C","MW of fish community","MW of fish C","MLS of fish community","MLS of fish C"
1,53.14839,3.198339,0,0,0,0,0,0,0.234485,1.568001,1.461307,0.8142937,0,0,0,0,0,0,0.06430388,0.8031901,2.959891,3.703703,1.804034,2.353245,3.733333,4.055526,0,0,0,0,0,0,0,0,0,0,0,0,0
2,53.23886,3.365642,0,0,0,0,0,0,0.2311513,1.543205,1.474815,0.8027359,0,0,0,0,0,0,0.06334005,0.7916321,2.957812,3.699904,1.805801,2.354184,3.73107,4.055497,0,0,0,0,0,0,0,0,0,0,0,0,0
3,53.21693,3.312905,0,0,0,0,0,0,0.2282232,1.521081,1.470122,0.7921671,0,0,0,0,0,0,0.06248728,0.7810635,2.956863,3.6963,1.805096,2.353666,3.728944,4.055468,0,0,0,0,0,0,0,0,0,0,0,0,0
4,53.31492,3.459876,0,0,0,0,0,0,0.2254998,1.501402,1.480586,0.7848755,0,0,0,0,0,0,0.0616912,0.7737719,2.955747,3.692891,1.806797,2.354619,3.726947,4.055438,0,0,0,0,0,0,0,0,0,0,0,0,0
5,53.28046,3.371582,0,0,0,0,0,0,0.2228962,1.484089,1.473186,0.7774526,0,0,0,0,0,0,0.06092871,0.766349,2.955451,3.689489,1.805759,2.353948,3.724956,4.055408,0,0,0,0,0,0,0,0,0,0,0,0,0
6,53.20387,3.241417,0,0,0,0,0,0,0.2200476,1.469292,1.462316,0.7699808,0,0,0,0,0,0,0.06010223,0.7588772,2.957465,3.685883,1.80409,2.352883,3.722842,4.055378,0,0,0,0,0,0,0,0,0,0,0,0,0
7,53.18088,3.248003,0,0,0,0,0,0,0.2172254,1.45699,1.463015,0.7637192,0,0,0,0,0,0,0.05928454,0.7526156,2.957878,3.682385,1.803955,2.352739,3.720819,4.05535,0,0,0,0,0,0,0,0,0,0,0,0,0
8,53.20358,3.311366,0,0,0,0,0,0,0.214653,1.447154,1.468079,0.7587958,0,0,0,0,0,0,0.05853534,0.7476922,2.95639,3.679121,1.804571,2.353055,3.718936,4.055321,0,0,0,0,0,0,0,0,0,0,0,0,0
9,53.25496,3.392207,0,0,0,0,0,0,0.2124383,1.440061,1.473875,0.7551899,0,0,0,0,0,0,0.05788331,0.7440863,2.954514,3.676141,1.805512,2.353582,3.717225,4.055291,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53.16543,3.225017,0,0,0,0,0,0,0.2100629,1.435895,1.460153,0.7500861,0,0,0,0,0,0,0.0571896,0.7389826,2.955424,3.672956,1.803442,2.352308,3.715374,4.055261,0,0,0,0,0,0,0,0,0,0,0,0,0
11,53.11226,3.172862,0,0,0,0,0,0,0.2074498,1.434686,1.456004,0.7453808,0,0,0,0,0,0,0.05643383,0.7342771,2.957333,3.669662,1.802623,2.351746,3.713478,4.055233,0,0,0,0,0,0,0,0,0,0,0,0,0
12,53.2231,3.396845,0,0,0,0,0,0,0.2052588,1.436033,1.473969,0.7438198,0,0,0,0,0,0,0.05579216,0.7327161,2.953783,3.666836,1.805075,2.353259,3.711868,4.055203,0,0,0,0,0,0,0,0,0,0,0,0,0
13,53.2067,3.326348,0,0,0,0,0,0,0.1966933,1.446968,1.468011,0.5038676,0,0,0,0,0,0,0.129072,0.492764,3.170577,3.82759,1.804303,2.352643,3.706467,4.055116,0,0,0,0,0,0,0,0,0,0,0,0,0
14,53.15243,3.205687,0,0,0,0,0,0,0.1883348,1.463127,1.457879,0.5018021,0,0,0,0,0,0,0.1229428,0.4906985,3.16626,3.818605,1.802798,2.351561,3.700988,4.055029,0,0,0,0,0,0,0,0,0,0,0,0,0
15,53.16544,3.234265,0,0,0,0,0,0,0.1805415,1.486393,1.460776,0.5005863,0,0,0,0,0,0,0.1172335,0.4894827,3.159399,3.809618,1.803017,2.351496,3.695714,4.054942,0,0,0,0,0,0,0,0,0,0,0,0,0
16,53.11729,3.148559,0,0,0,0,0,0,0.1733435,1.50466,1.453903,0.4996887,0,0,0,0,0,0,0.1119585,0.4885851,3.150675,3.800628,1.801881,2.350606,3.690579,4.054854,0,0,0,0,0,0,0,0,0,0,0,0,0
17,53.04965,3.047318,0,0,0,0,0,0,0.1665661,1.518634,1.445703,0.499134,0,0,0,0,0,0,0.1070065,0.4880304,3.144621,3.791558,1.800472,2.349539,3.685534,4.054767,0,0,0,0,0,0,0,0,0,0,0,0,0
18,53.06339,3.110301,0,0,0,0,0,0,0.1603693,1.532483,1.453083,0.4996301,0,0,0,0,0,0,0.1024705,0.4885264,3.135612,3.782667,1.800985,2.349647,3.680766,4.054679,0,0,0,0,0,0,0,0,0,0,0,0,0
19,53.04058,3.081715,0,0,0,0,0,0,0.1548191,1.545961,1.451446,0.4984278,0,0,0,0,0,0,0.0983851,0.4873242,3.127698,3.773993,1.800515,2.34919,3.676232,4.054592,0,0,0,0,0,0,0,0,0,0,0,0,0
20,53.00977,3.033774,0,0,0,0,0,0,0.1496904,1.558292,1.448003,0.4966173,0,0,0,0,0,0,0.09460942,0.4855137,3.123072,3.765386,1.799818,2.348613,3.671818,4.054504,0,0,0,0,0,0,0,0,0,0,0,0,0
21,52.97324,2.980086,0,0,0,0,0,0,0.14494,1.569346,1.444077,0.495139,0,0,0,0,0,0,0.09111396,0.4840354,3.119052,3.756848,1.799038,2.34799,3.667522,4.054418,0,0,0,0,0,0,0,0,0,0,0,0,0
22,53.02711,3.07807,0,0,0,0,0,0,0.1406574,1.579421,1.453587,0.4948562,0,0,0,0,0,0,0.08794616,0.4837526,3.112943,3.74857,1.800117,2.34849,3.663465,4.054333,0,0,0,0,0,0,0,0,0,0,0,0,0
23,52.99557,3.019843,0,0,0,0,0,0,0.1368367,1.588262,1.449119,0.492245,0,0,0,0,0,0,0.08509731,0.4811413,3.109373,3.740494,1.799367,2.347956,3.659571,4.054247,0,0,0,0,0,0,0,0,0,0,0,0,0
24,52.94037,2.935092,0,0,0,0,0,0,0.1332627,1.595124,1.442199,0.4891807,0,0,0,0,0,0,0.08243936,0.4780771,3.108914,3.732455,1.798251,2.347228,3.65575,4.054164,0,0,0,0,0,0,0,0,0,0,0,0,0
25,52.84477,2.809696,0,0,0,0,0,0,0.1297148,1.584094,1.431304,0.5687015,0,0,0,0,0,0,0.08112769,0.5575979,3.057945,3.75054,1.796506,2.346113,3.651581,4.054064,0,0,0,0,0,0,0,0,0,0,0,0,0
26,52.79963,2.783224,0,0,0,0,0,0,0.1263804,1.575692,1.430205,0.5613931,0,0,0,0,0,0,0.0784506,0.5502895,3.057564,3.74225,1.795979,2.3457,3.647584,4.053964,0,0,0,0,0,0,0,0,0,0,0,0,0
27,52.84489,2.908545,0,0,0,0,0,0,0.1234252,1.570079,1.442913,0.554009,0,0,0,0,0,0,0.07603372,0.5429053,3.055198,3.734364,1.797286,2.346487,3.643914,4.053864,0,0,0,0,0,0,0,0,0,0,0,0,0
28,52.78424,2.811968,0,0,0,0,0,0,0.1208073,1.566332,1.4349,0.5454137,0,0,0,0,0,0,0.07384883,0.53431,3.056088,3.726716,1.796042,2.345739,3.64041,4.053763,0,0,0,0,0,0,0,0,0,0,0,0,0
